sample_name,library,organism,read1,read2,read_length,read_type
ACCx-2A5AE757-20D5-49B6-95FF-CAE08E8197A0-X012-S05-L033-B1-T1-P024,ATAC,human,read1,read2,75,paired
ACCx-2A5AE757-20D5-49B6-95FF-CAE08E8197A0-X012-S05-L034-B1-T2-P025,ATAC,human,read1,read2,75,paired
ACCx-3D0CD3BD-3960-46FB-92C3-777F11CCD0FC-X011-S06-L011-B1-T1-P024,ATAC,human,read1,read2,75,paired
ACCx-3D0CD3BD-3960-46FB-92C3-777F11CCD0FC-X011-S06-L012-B1-T2-P026,ATAC,human,read1,read2,75,paired
ACCx-4D0D43F5-D8F0-4735-92D5-F40E321C7A05-X010-S09-L065-B1-T1-P019,ATAC,human,read1,read2,75,paired
ACCx-4D0D43F5-D8F0-4735-92D5-F40E321C7A05-X010-S09-L066-B1-T2-P020,ATAC,human,read1,read2,75,paired
ACCx-81A262BD-3078-4BDB-8EB1-30DD6D7948C3-X027-S03-L081-B1-T1-P063,ATAC,human,read1,read2,75,paired
ACCx-81A262BD-3078-4BDB-8EB1-30DD6D7948C3-X027-S03-L082-B1-T2-P067,ATAC,human,read1,read2,75,paired
ACCx-B6E6F014-A599-4A58-A7A5-1F748471D662-X013-S12-L070-B1-T1-P026,ATAC,human,read1,read2,75,paired
ACCx-EDEB779F-A603-479D-AAFE-428BC7E4B8DB-X038-S03-L077-B1-T1-P094,ATAC,human,read1,read2,75,paired
ACCx-EDEB779F-A603-479D-AAFE-428BC7E4B8DB-X038-S03-L078-B1-T2-P089,ATAC,human,read1,read2,75,paired
BLCA-1067A79F-15D6-4D64-BBC3-268BE15434A1-X019-S01-L048-B1-T1-P041,ATAC,human,read1,read2,75,paired
BLCA-1067A79F-15D6-4D64-BBC3-268BE15434A1-X019-S01-L049-B1-T2-P039,ATAC,human,read1,read2,75,paired
BLCA-3E71B261-9C29-4025-973A-3901B0826643-X009-S04-L031-B1-T1-P021,ATAC,human,read1,read2,75,paired
BLCA-3E71B261-9C29-4025-973A-3901B0826643-X009-S04-L032-B1-T2-P029,ATAC,human,read1,read2,75,paired
