GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,cell line,treatment,BioSample,SRA
GSE100750,1a: PC9_OCSA ATAC-seq,GSM2692559,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692559_1a_PC9_OCSA.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692559/suppl/GSM2692559_1a_PC9_OCSA.bw,1a: PC9_OCSA ATAC-seq,60963278,BW,hg19,BED ,PC9,DMSO,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312233,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,1a: PC9_OCSA ATAC-seq,GSM2692559,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692559_1a_PC9_OCSA_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692559/suppl/GSM2692559_1a_PC9_OCSA_peaks.bed.gz,1a: PC9_OCSA ATAC-seq,594054,BED,hg19,BED ,PC9,DMSO,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312233,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,1b: PC9_OCSA ATAC-seq,GSM2692560,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692560_1b_PC9_OCSA.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692560/suppl/GSM2692560_1b_PC9_OCSA.bw,1b: PC9_OCSA ATAC-seq,61311501,BW,hg19,BED ,PC9,DMSO,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312232,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,1b: PC9_OCSA ATAC-seq,GSM2692560,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692560_1b_PC9_OCSA_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692560/suppl/GSM2692560_1b_PC9_OCSA_peaks.bed.gz,1b: PC9_OCSA ATAC-seq,583768,BED,hg19,BED ,PC9,DMSO,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312232,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,1c: PC9_OCSA ATAC-seq,GSM2692561,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692561_1c_PC9_OCSA.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692561/suppl/GSM2692561_1c_PC9_OCSA.bw,1c: PC9_OCSA ATAC-seq,59679335,BW,hg19,BED ,PC9,DMSO,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312231,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,1c: PC9_OCSA ATAC-seq,GSM2692561,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692561_1c_PC9_OCSA_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692561/suppl/GSM2692561_1c_PC9_OCSA_peaks.bed.gz,1c: PC9_OCSA ATAC-seq,619166,BED,hg19,BED ,PC9,DMSO,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312231,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,2a: DTP_OCSA ATAC-seq,GSM2692562,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692562_2a_DTP_OCSA.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692562/suppl/GSM2692562_2a_DTP_OCSA.bw,2a: DTP_OCSA ATAC-seq,61680677,BW,hg19,BED ,PC9,8 day 1 μM erlotinib,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312230,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,2a: DTP_OCSA ATAC-seq,GSM2692562,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692562_2a_DTP_OCSA_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692562/suppl/GSM2692562_2a_DTP_OCSA_peaks.bed.gz,2a: DTP_OCSA ATAC-seq,625254,BED,hg19,BED ,PC9,8 day 1 μM erlotinib,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312230,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,2b: DTP_OCSA ATAC-seq,GSM2692563,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692563_2b_DTP_OCSA.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692563/suppl/GSM2692563_2b_DTP_OCSA.bw,2b: DTP_OCSA ATAC-seq,60161591,BW,hg19,BED ,PC9,8 day 1 μM erlotinib,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312229,https://www.ncbi.nlm.nih.gov/sra?term
GSE100750,2b: DTP_OCSA ATAC-seq,GSM2692563,Public on Jul 03 2017,Jul 03 2017,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Prior to the assay, cells were cryopreserved in culture media containing 5% DMSO. The cells were then thawed in a 37C water bath, pelleted at 500g for 5 min at 4C, washed with cold PBS, and tagmented as previously described (Buenrostro et al. 2013) with some modifications., Cell pellets were resuspended in lysis buffer (10 mM Tris-HCl, pH 7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% IGEPAL CA-630), pelleted at 500g for 10 min at 4C, and tagmented using the enzyme and buffer provided in the Nextera Library Prep Kit (Illumina). Tagmented DNA was then purified using the MinElute PCR purification kit (Qiagen), amplified with 10 cycles of PCR, and purified using Agencourt AMPure XP beads (Beckman Coulter).","Sequencing reads were aligned to human genome build hg19 using BWA with the MEM mode. Aligned reads mapped to mitochondria genome, aligned reads with no proper pairs, low mapping quality and duplicates, supplementary alignments were further removed for downstream analysis., For comparative analysis, the number of usable reads for each sample were normalized to the smallest number of usable reads among all samples under comparison., Usable reads of all triplicates were combined for each experimental condition after normalization of read counts for downstream analysis., All peaks were detected using MACS 1.4.2 with p-value 1e-7 and nomodel option. Peak filtering was performed by removing false peaks in the ENCODE blacklist.",GPL18573,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE74180, GSE100750",0,GSM2692563_2b_DTP_OCSA_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2692nnn/GSM2692563/suppl/GSM2692563_2b_DTP_OCSA_peaks.bed.gz,2b: DTP_OCSA ATAC-seq,664391,BED,hg19,BED ,PC9,8 day 1 μM erlotinib,https://www.ncbi.nlm.nih.gov/biosample/SAMN07312229,https://www.ncbi.nlm.nih.gov/sra?term
