GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Reanalyzed by,BioSample,SRA,"Five thousand CCRF-CEM parental and SLFN11-del cells were treated with DMSO, CPT (100 nM) or hydroxyurea (0.5 mM) for 2 and 4 hours. To prepare nuclei, cells were lysed using cold lysis buffer (10 mM Tris-Cl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% IGEPAL CA-630). Immediately following the nuclei preparation, the pellet was re-suspended in the transposase reaction mix [25 μl 2x TD buffer, 2.5 μl Transposase (Illumina) and 22.5 μl of nuclease free water], and incubated for 30 minutes at 37 °C. Directly following transposition, the sample was purified using a DNA Clean and Concentrator-5 (ZYMO RESEARCH) and eluted with 25 μl of DNA elution buffer. Following purification, we amplified library fragments using 1x NEBnext PCR master mix and 1.25 μM of custom Nextera PCR primers 1 and 2, using the following PCR conditions",strain,cell type,"For peak calling, the SICER program and MACS2 program were used. Nascent strand reads were called by comparison to genomic reads of corresponding cell line. SICER algorithm was used with the following parameters",Genome_build,Supplementary_files_format_and_content,cell line,"Fifty thousand K562-Vector, K562-WT, K562-E669Q cells were treated with DMSO or CPT (1000 nM) for 4 hours. To prepare nuclei, cells were lysed using cold lysis buffer (10 mM Tris-Cl, pH 7.4, 10 mM NaCl, 3 mM MgCl2 and 0.1% IGEPAL CA-630). Immediately following the nuclei preparation, the pellet was re-suspended in the transposase reaction mix [25 μl 2x TD buffer, 2.5 μl Transposase (Illumina) and 22.5 μl of nuclease free water], and incubated for 30 minutes at 37 °C. Directly following transposition, the sample was purified using a DNA Clean and Concentrator-5 (ZYMO RESEARCH) and eluted with 25 μl of DNA elution buffer. Following purification, we amplified library fragments using 1x NEBnext PCR master mix and 1.25 μM of custom Nextera PCR primers 1 and 2, using the following PCR conditions"
GSE101512,ATAC-seq from CCRF-CEM parental cells CPT0H,GSM2705231,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with DSMO treatment",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705231_CEMATACControl_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705231/suppl/GSM2705231_CEMATACControl_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ATAC-seq from CCRF-CEM parental cells CPT0H,1968641,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357661,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM parental cells CPT0H,GSM2705231,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with DSMO treatment",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705231_CEMATACcontrol_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705231/suppl/GSM2705231_CEMATACcontrol_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ATAC-seq from CCRF-CEM parental cells CPT0H,840714,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357661,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM parental cells CPT2H,GSM2705232,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with camptothecin 100 nM treatment for 2 hours",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705232_CEMATACCPT2H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705232/suppl/GSM2705232_CEMATACCPT2H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ATAC-seq from CCRF-CEM parental cells CPT2H,1896817,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357660,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM parental cells CPT2H,GSM2705232,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with camptothecin 100 nM treatment for 2 hours",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705232_CEMATACCPT2h_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT2.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705232/suppl/GSM2705232_CEMATACCPT2h_vs_genCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT2.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ATAC-seq from CCRF-CEM parental cells CPT2H,600865,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357660,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM parental cells CPT4H,GSM2705233,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with camptothecin 100 nM treatment for 4 hours",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705233_CEMATACCPT4H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705233/suppl/GSM2705233_CEMATACCPT4H_gemCEM_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ATAC-seq from CCRF-CEM parental cells CPT4H,2305346,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357659,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM parental cells CPT4H,GSM2705233,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with camptothecin 100 nM treatment for 4 hours",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705233_CEMATACCPT4H_vs_geneCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT4.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705233/suppl/GSM2705233_CEMATACCPT4H_vs_geneCEM_SICER_result_cluster_details_sample_1_CCRF_WT0.sorted.bam_CCRF_WT4.bam.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ATAC-seq from CCRF-CEM parental cells CPT4H,633584,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357659,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT0H,GSM2705234,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with DSMO treatment",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705234_CB45ATACcontrol_vs_genCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705234/suppl/GSM2705234_CB45ATACcontrol_vs_genCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT0H,2557624,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357658,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM SLFN11-knockout,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT0H,GSM2705234,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with DSMO treatment",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705234_CB45ATACcontrol_vs_genCB45_SICER_result_cluster_details_sample_1_CB45_KO.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705234/suppl/GSM2705234_CB45ATACcontrol_vs_genCB45_SICER_result_cluster_details_sample_1_CB45_KO.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT0H,846776,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357658,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM SLFN11-knockout,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT2H,GSM2705235,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with camptothecin 100 nM treatment for 2 hours",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705235_CB45ATACHU2H_gCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705235/suppl/GSM2705235_CB45ATACHU2H_gCB45_MACS2_result_cluster_details_sample_1_macs_peaks.xls.bed.gz,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT2H,3885152,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357657,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM SLFN11-knockout,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
GSE101512,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT2H,GSM2705235,Public on Jan 18 2018,Jul 17 2017,May 17 2019,SRA,1,Leukemic lymphoblasts,Homo sapiens,9606,"Cells were treated with DMSO for 4 hours, or 100 nM camptothecin, or 0.5 mM hydroxyures for 2 and 4 hours.","Cancer cells were grown in RPMI1640 medium, 10% FBS",genomic DNA,"Illumina Genomic DNA protocol (Illumina Paired-END DNA Sample Prep Kit)., Illumina paired-end sequencing","PCR amplified DNA, ATAC-seq DNA with camptothecin 100 nM treatment for 2 hours",Illumina single read 105bp or 125bp sequencing,GPL10999,"Junko,,Murai",junko.murai@nih.gov,NCI,37 Convent Dr.,Bethesda,20892,USA,Illumina Genome Analyzer IIx,other,genomic,ATAC-seq,"GSE101512, GSE101516",0,GSM2705235_CB45ATCCPT2H_vs_geneCB45SICER_result_cluster_details_sample_1_CB45_KO_2.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2705nnn/GSM2705235/suppl/GSM2705235_CB45ATCCPT2H_vs_geneCB45SICER_result_cluster_details_sample_1_CB45_KO_2.sorted.bam.bb-W200-G600-FDR0.010000-island.bed.gz,ATAC-seq from CCRF-CEM SLFN11-KO cells CPT2H,701730,BED,GSE131417,https://www.ncbi.nlm.nih.gov/biosample/SAMN07357657,https://www.ncbi.nlm.nih.gov/sra?term,"72°C for 5 minutes, 98°C for 30 seconds, followed by thermo-cycling at 98°C for 10 seconds, 63°C for 30 seconds and 72°C for 1 minute. We amplified the full libraries for 5 cycles, after 5 cycles we took an aliquot of the PCR reaction and added 10 μl of the PCR cocktail with Syber Green at a final concentration of 0.6x. We ran this reaction for 20 cycles, to determine the additional number of cycles needed for the remaining 45 μL reaction. Libraries were amplified for a total of 10–12 cycles and purified using a PCRClean DX yielding a final library concentration of ~30 nM in 20 μl.",CCRF-CEM SLFN11-knockout,Cultured cancer cell line,"Window size 200 bp, Fragment size 150 bp, Gap size 600 bp, and FDR 0.01. MACS2 broad peak algorithm was also used for peak findings and quantification of signal value with the following parameters: q-value 0.01, Bandwidth 300, mfold 5-50 and Redundancy/duplicate threshold ‘auto’.",hg19,Bed file format of replication initiation peaks,,
