GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,cell line,treatment,target protein,antibody,Reads were aligned to the hg19 build of the human genome using Bowtie V 1.1.2 with the following arguments,Peaks were called using macs2 V 2.1.0.20140616 with the following arguments,Genome_build,Supplementary_files_format_and_content,BioSample,SRA
GSE109891,Ishi_Dex_E2_ChIP_ER,GSM2973394,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973394_Ishi_Dex_E2_ChIP_ER.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973394/suppl/GSM2973394_Ishi_Dex_E2_ChIP_ER.bw,Ishi_Dex_E2_ChIP_ER,76655032,BW,Ishikawa,100 nM Dexamethasone and 10 nM Estradiol for 1 hour,ER,ER HC-20 (Santa Cruz sc-543),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439024,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_Dex_E2_ChIP_ER,GSM2973394,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973394_Ishi_Dex_E2_ChIP_ER_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973394/suppl/GSM2973394_Ishi_Dex_E2_ChIP_ER_peaks.txt.gz,Ishi_Dex_E2_ChIP_ER,73039,TXT,Ishikawa,100 nM Dexamethasone and 10 nM Estradiol for 1 hour,ER,ER HC-20 (Santa Cruz sc-543),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439024,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_Dex_E2_ChIP_GR,GSM2973395,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973395_Ishi_Dex_E2_ChIP_GR.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973395/suppl/GSM2973395_Ishi_Dex_E2_ChIP_GR.bw,Ishi_Dex_E2_ChIP_GR,51430603,BW,Ishikawa,100 nM Dexamethasone and 10 nM Estradiol for 1 hour,GR,GR E-20 (Santa Cruz sc-1003),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439023,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_Dex_E2_ChIP_GR,GSM2973395,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973395_Ishi_Dex_E2_ChIP_GR_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973395/suppl/GSM2973395_Ishi_Dex_E2_ChIP_GR_peaks.txt.gz,Ishi_Dex_E2_ChIP_GR,48932,TXT,Ishikawa,100 nM Dexamethasone and 10 nM Estradiol for 1 hour,GR,GR E-20 (Santa Cruz sc-1003),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439023,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_E2_ChIP_ER,GSM2973396,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973396_Ishi_E2_ChIP_ER.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973396/suppl/GSM2973396_Ishi_E2_ChIP_ER.bw,Ishi_E2_ChIP_ER,82821468,BW,Ishikawa,10 nM Estradiol for 1 hour,ER,ER HC-20 (Santa Cruz sc-543),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439022,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_E2_ChIP_ER,GSM2973396,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973396_Ishi_E2_ChIP_ER_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973396/suppl/GSM2973396_Ishi_E2_ChIP_ER_peaks.txt.gz,Ishi_E2_ChIP_ER,106119,TXT,Ishikawa,10 nM Estradiol for 1 hour,ER,ER HC-20 (Santa Cruz sc-543),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439022,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_Dex_ChIP_GR,GSM2973397,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973397_Ishi_Dex_ChIP_GR.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973397/suppl/GSM2973397_Ishi_Dex_ChIP_GR.bw,Ishi_Dex_ChIP_GR,62964842,BW,Ishikawa,100 nM Dexamethasone for 1 hour,GR,GR E-20 (Santa Cruz sc-1003),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439021,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_Dex_ChIP_GR,GSM2973397,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973397_Ishi_Dex_ChIP_GR_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973397/suppl/GSM2973397_Ishi_Dex_ChIP_GR_peaks.txt.gz,Ishi_Dex_ChIP_GR,54768,TXT,Ishikawa,100 nM Dexamethasone for 1 hour,GR,GR E-20 (Santa Cruz sc-1003),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439021,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_E2_ChIP_H3K27ac,GSM2973400,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973400_H3K27ac_E2_8hr.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973400/suppl/GSM2973400_H3K27ac_E2_8hr.bw,Ishi_E2_ChIP_H3K27ac,99114542,BW,Ishikawa,10 nM Estradiol for 8 hours,H3K27ac,H3K27ac pAb (Active Motif 39133),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439018,https://www.ncbi.nlm.nih.gov/sra?term
GSE109891,Ishi_E2_ChIP_H3K27ac,GSM2973400,Public on Mar 13 2018,Jan 30 2018,Mar 13 2018,SRA,1,Ishikawa,Homo sapiens,9606,"Cells were treated with 100 nM dexamethasone, 10 nM 17-beta-estradiol, or vehicle control (DMSO) for 1 hour prior to crosslinking.",Ishikawa cells were grown in phenol red-free RPMI-1640 media supplemented with 10% charcoal/dextran treated fetal bovine serum and 50 units/mL penicillin and 50 µg/mL streptomycin for at least 4 days before treatment.,genomic DNA,"Cells were fixed in 1% formaldehyde for 10 minutes at room temperature and then treated with 125 mM Glycine for 5 minutes to stop crosslinking.  Crosslinked cells were then washed with cold PBS and scraped to harvest., ChIP and library construction was performed as described in Reddy et al, Genome Research, 2009",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,UT,84112,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE109891, GSE109893",0,GSM2973400_H3K27ac_E2_8hr_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2973nnn/GSM2973400/suppl/GSM2973400_H3K27ac_E2_8hr_peaks.txt.gz,Ishi_E2_ChIP_H3K27ac,759690,TXT,Ishikawa,10 nM Estradiol for 8 hours,H3K27ac,H3K27ac pAb (Active Motif 39133),bowtie --chunkmbs 512 -m 1 -t --best -q -S -l 32 -e 80 -n 2,macs2 callpeak -B --SPMR --pvalue,hg19,"Excel file,  Chromosome, start, stop, length, summit, pvalue, fold_enrichment, qvalue, and name values for peaks called by macs2",https://www.ncbi.nlm.nih.gov/biosample/SAMN08439018,https://www.ncbi.nlm.nih.gov/sra?term
