GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,Genome_build,Supplementary_files_format_and_content
GSE110636,TALL_JS_2 (total RNA),GSM3004620,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: IMM,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004620_sample_4_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004620/suppl/GSM3004620_sample_4_ReadsPerGene.out.tab.gz,TALL_JS_2 (total RNA),403599,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537243,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_3 (total RNA),GSM3004621,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: TLX,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004621_sample_5_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004621/suppl/GSM3004621_sample_5_ReadsPerGene.out.tab.gz,TALL_JS_3 (total RNA),399119,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537242,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_4 (total RNA),GSM3004622,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: IMM,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004622_sample_10_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004622/suppl/GSM3004622_sample_10_ReadsPerGene.out.tab.gz,TALL_JS_4 (total RNA),402387,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537241,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_5 (total RNA),GSM3004623,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: IMM,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004623_sample_11_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004623/suppl/GSM3004623_sample_11_ReadsPerGene.out.tab.gz,TALL_JS_5 (total RNA),398371,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537240,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_10 (total RNA),GSM3004624,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: TLX,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004624_sample_12_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004624/suppl/GSM3004624_sample_12_ReadsPerGene.out.tab.gz,TALL_JS_10 (total RNA),402498,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537239,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_11 (total RNA),GSM3004625,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: HOXA,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004625_sample_13_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004625/suppl/GSM3004625_sample_13_ReadsPerGene.out.tab.gz,TALL_JS_11 (total RNA),398385,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537238,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_13 (total RNA),GSM3004626,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: TAL,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004626_sample_14_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004626/suppl/GSM3004626_sample_14_ReadsPerGene.out.tab.gz,TALL_JS_13 (total RNA),407571,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537237,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_14 (total RNA),GSM3004627,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: HOXA,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004627_sample_17_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004627/suppl/GSM3004627_sample_17_ReadsPerGene.out.tab.gz,TALL_JS_14 (total RNA),398136,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537233,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_18 (total RNA),GSM3004628,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: IMM,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004628_sample_19_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004628/suppl/GSM3004628_sample_19_ReadsPerGene.out.tab.gz,TALL_JS_18 (total RNA),399748,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537236,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
GSE110636,TALL_JS_23 (total RNA),GSM3004629,Public on Sep 11 2018,Feb 14 2018,Sep 11 2018,SRA,1,bone marrow,Homo sapiens,9606,subgroup: HOXA,total RNA,"RNA was extracted using the miRNAeasy mini kit (Qiagen). TruSeq Stranded Total RNA (w/RiboZero Gold) sample prep kit (Illumina) was used for the preparation of sequencing libraries., RNA libraries were prepared for sequencing using standard Illumina protocols","fastq files were aligned to GRCh38 primary annotation with STARv2.4.2a using a 2-pass strategy. In the first pass gencode.v25 was used as guide, in the second pass all sjdb files from the first pass were used as guide, Genes were quantified by STARv2.4.2a on Gencode.v25",GPL18573,"Karen,,Verboom",karen.verboom@ugent.be,Center for Medical Genetics Ghent,Pediatrics and Genetics,Ghent University,De Pintelaan 185,Ghent,9000,Belgium,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE110636, GSE110637",0,GSM3004629_sample_20_ReadsPerGene.out.tab.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3004nnn/GSM3004629/suppl/GSM3004629_sample_20_ReadsPerGene.out.tab.gz,TALL_JS_23 (total RNA),407474,TAB,https://www.ncbi.nlm.nih.gov/biosample/SAMN08537235,https://www.ncbi.nlm.nih.gov/sra?term,GRCh38,reads per gene as generated by STAR2.4.2a
