GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,cell line,parental or metastasis?,metastatic site,grown_in_culture,dissociation_protocol,generation,BioSample,SRA
GSE112852,ATAC-seq_Brx07_parental_CTC_Rep1,GSM3089837,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC, X07.15K.3","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089837_07.15K.3_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089837/suppl/GSM3089837_07.15K.3_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_Rep1,476790,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC,n/a,yes,NA,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896879,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_Rep2,GSM3089838,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC, X07.50K.3","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089838_07.50K.3_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089838/suppl/GSM3089838_07.50K.3_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_Rep2,504426,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC,n/a,yes,NA,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896852,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_Rep3,GSM3089839,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC, X07.5K.3","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089839_07.5K.3_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089839/suppl/GSM3089839_07.5K.3_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_Rep3,547984,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC,n/a,yes,NA,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896851,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_Rep4,GSM3089840,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC, X07H.R3","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089840_07H.R3_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089840/suppl/GSM3089840_07H.R3_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_Rep4,487573,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC,n/a,yes,NA,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896850,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_Rep5,GSM3089841,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC, X07H","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089841_07H_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089841/suppl/GSM3089841_07H_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_Rep5,676886,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC,n/a,yes,NA,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896849,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_disso_Rep7,GSM3089842,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC undergone dissociation protocol, X07HD.R3","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089842_07HD.R3_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089842/suppl/GSM3089842_07HD.R3_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_disso_Rep7,2412427,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC undergone dissociation protocol,n/a,yes,lungdisso,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896848,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_disso_Rep8,GSM3089843,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC undergone dissociation protocol, X07HD.R4","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089843_07HD.R4_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089843/suppl/GSM3089843_07HD.R4_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_disso_Rep8,2149188,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC undergone dissociation protocol,n/a,yes,lungdisso,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896847,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_parental_CTC_Rep6,GSM3089844,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,culture,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","parental CTC, X07HR","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089844_07HR_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089844/suppl/GSM3089844_07HR_peaks.narrowPeak.gz,ATAC-seq_Brx07_parental_CTC_Rep6,668981,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,parental CTC,n/a,yes,NA,NA,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896846,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_Kidney_mets_80_1,GSM3089845,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,Kidney,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","metastatic sample, X07kidn.80.1","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089845_07kdny.80.1_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089845/suppl/GSM3089845_07kdny.80.1_peaks.narrowPeak.gz,ATAC-seq_Brx07_Kidney_mets_80_1,526210,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,metastatic sample,Kidney,yes,lungdisso,1,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896845,https://www.ncbi.nlm.nih.gov/sra?term
GSE112852,ATAC-seq_Brx07_lung_mets_28_2,GSM3089846,Public on Oct 14 2019,Apr 09 2018,Oct 16 2019,SRA,1,lung,Homo sapiens,9606,"CTC lines were cultured in ultra-low attachment plates with RPMI 1640 medium, supplemented with EGF (20ng/ml), bFGF (20ng/ml), 1X B27 and 1X antibiotic/antimycotic, in 4% O2 and 5% CO2. Metastatic tumors were established by inoculation of 100,000 GFP-LUC labeled CTCs in 100 µl of PBS into the left cardiac ventricles of 6-8 weeks old female NSG mice supplemented with subcutaneous slow release estrogen pills. Metastatic lesions were further dissociated into single-cell suspension by automated dissociation. CTC-derived metastatic cells (GFP+ cells) were sorted for ATAC sequencing.",genomic DNA,"Nuclei preparation was generated by resuspension of 25,000 or 50,000 sorted cells in nonionic lysis buffer (10 mM Tris pH7.4, 10 mM NaCl, 3 mM MgCl2, 0.1% (v/v) Igepal CA630)., Transposition reaction was performed by using the Tn5 transposase (Nextera kit) at 37ºC for 30 minutes. Transposed DNA was further amplified by PCR, and the generated libraries were purified using Agencourt AMPure XP (Beckman Coulter). Library quality was controlled by using a Bioanalyzer high-sensitivity DNA analysis kit (Agilent)","metastatic sample, X07lung.28.2","Sequencing reads were trimmed for Nextera adapter sequences with trimgalore and mapped to hg19 reference using Bowtie2 v2.2.8 with parameters -X 2000 –fr –no-discordant –no-mixed –minins 38. Only non-mitochondrial reads with a minimum mapping quality score (>, Duplicate reads were removed using Picard. All mapped reads were offset by +4 bp for the positive strand and -5 bp for the negative strand., Accessible sites were identified for each sample using MACS2 with parameters -q 0.01 –shift -100 –extsize 200 –nomodel –nolambda. Peaks intersecting with the ENCODE blacklisted regions were removed., Peaks across conditions were merged using BEDtools to obtain a union set, and reads aligning to this set were counted using featurecounts",GPL18573,"Min,,Yu","USC Norris Comprehensive Cancer Center, Keck School of Medicine",University of Southern California,"1450 Biggy Street, NRT 3507",Los Angeles,CA,90033,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE112852, GSE112856",0,GSM3089846_07lung.28.2_peaks.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3089nnn/GSM3089846/suppl/GSM3089846_07lung.28.2_peaks.narrowPeak.gz,ATAC-seq_Brx07_lung_mets_28_2,804970,NARROWPEAK,hg19,"bed files of MACS2 peaks, bigwig files,raw counts table",Brx07,metastatic sample,lung,no,lungdisso,2,https://www.ncbi.nlm.nih.gov/biosample/SAMN08896844,https://www.ncbi.nlm.nih.gov/sra?term
