GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA
GSE122237,FT190_shNTC rep1,GSM3462385,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462385_FT190_shNTC_rep_1_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462385/suppl/GSM3462385_FT190_shNTC_rep_1_ReadsPerGene.txt.gz,FT190_shNTC rep1,280811,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389152,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shNTC rep2,GSM3462386,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462386_FT190_shNTC_rep_2_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462386/suppl/GSM3462386_FT190_shNTC_rep_2_ReadsPerGene.txt.gz,FT190_shNTC rep2,281946,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389151,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shNTC rep3,GSM3462387,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462387_FT190_shNTC_rep_3_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462387/suppl/GSM3462387_FT190_shNTC_rep_3_ReadsPerGene.txt.gz,FT190_shNTC rep3,284506,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389150,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shRNF20_692 rep1,GSM3462388,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462388_FT190_shRNF20_692_rep_1_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462388/suppl/GSM3462388_FT190_shRNF20_692_rep_1_ReadsPerGene.txt.gz,FT190_shRNF20_692 rep1,280926,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389149,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shRNF20_692 rep2,GSM3462389,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462389_FT190_shRNF20_692_rep_2_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462389/suppl/GSM3462389_FT190_shRNF20_692_rep_2_ReadsPerGene.txt.gz,FT190_shRNF20_692 rep2,280541,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389148,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shRNF20_692 rep3,GSM3462390,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462390_FT190_shRNF20_692_rep_3_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462390/suppl/GSM3462390_FT190_shRNF20_692_rep_3_ReadsPerGene.txt.gz,FT190_shRNF20_692 rep3,231368,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389147,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shRNF20_890 rep1,GSM3462391,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462391_FT190_shRNF20_890_rep_1_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462391/suppl/GSM3462391_FT190_shRNF20_890_rep_1_ReadsPerGene.txt.gz,FT190_shRNF20_890 rep1,280085,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389146,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shRNF20_890 rep2,GSM3462392,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462392_FT190_shRNF20_890_rep_2_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462392/suppl/GSM3462392_FT190_shRNF20_890_rep_2_ReadsPerGene.txt.gz,FT190_shRNF20_890 rep2,283345,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389145,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT190_shRNF20_890 rep3,GSM3462393,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT190,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462393_FT190_shRNF20_890_rep_3_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462393/suppl/GSM3462393_FT190_shRNF20_890_rep_3_ReadsPerGene.txt.gz,FT190_shRNF20_890 rep3,283662,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389144,https://www.ncbi.nlm.nih.gov/sra?term
GSE122237,FT194_shNTC rep1,GSM3462394,Public on Feb 25 2019,Nov 06 2018,Feb 26 2019,SRA,1,ovarion cancer cell line,Homo sapiens,9606,cell line name: FT194,total RNA,"RNA was isolated using the RNeasy Plus Mini Kit from Qiagen., mRNA libraries were constructed using the Bioo Scientific NEXTflex Rapid Directional RNA-seq Library Prep Kit.","Base calling and demultiplexing were processed using CASAVA version 1.8, Reads were mapped using the GENCODE release 19 reference using STAR version 2.4.2a, Read counts were generated using the quantMode GeneCounts option in STAR.",GPL16791,"Dave,,Hoon",hoond@jwci.org,Translational Molecular Medicine,John Wayne Cancer Institute,2200 Santa Monica Boulevard,Santa Monica,CA,90404,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE122237, GSE122238",0,GSM3462394_FT194_shNTC_rep_1_ReadsPerGene.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3462nnn/GSM3462394/suppl/GSM3462394_FT194_shNTC_rep_1_ReadsPerGene.txt.gz,FT194_shNTC rep1,281380,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN10389143,https://www.ncbi.nlm.nih.gov/sra?term
