GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,"Raw reads were trimmed using trimmomatic (v0.35, Parameters","Each sample was aligned to hg38 genome using bowtie2 (v2.2.6, Parameters","Peak calling was first performed on after pooling all samples using MACS2 (v2.1.0, parameters",Genome_build,Supplementary_files_format_and_content,BioSample,SRA,cell line,treatment,sgguide,genotype
GSE124224,ATAC-Seq Sample_DMSO_sg12_Control_1,GSM3525976,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525976_Sample_DMSO_sg12_Control_1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525976/suppl/GSM3525976_Sample_DMSO_sg12_Control_1.bw,ATAC-Seq Sample_DMSO_sg12_Control_1,342675949,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621810,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgNT-1,Control
GSE124224,ATAC-Seq Sample_DMSO_sg12_Control_2,GSM3525977,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525977_Sample_DMSO_sg12_Control_2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525977/suppl/GSM3525977_Sample_DMSO_sg12_Control_2.bw,ATAC-Seq Sample_DMSO_sg12_Control_2,456007555,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621809,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgNT-1,Control
GSE124224,ATAC-Seq Sample_DMSO_sg13_Control_1,GSM3525978,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525978_Sample_DMSO_sg13_Control_1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525978/suppl/GSM3525978_Sample_DMSO_sg13_Control_1.bw,ATAC-Seq Sample_DMSO_sg13_Control_1,250158361,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621808,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgNT-2,Control
GSE124224,ATAC-Seq Sample_DMSO_sg13_Control_2,GSM3525979,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525979_Sample_DMSO_sg13_Control_2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525979/suppl/GSM3525979_Sample_DMSO_sg13_Control_2.bw,ATAC-Seq Sample_DMSO_sg13_Control_2,257784654,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621807,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgNT-2,Control
GSE124224,ATAC-Seq Sample_DMSO_sg1_KO_1,GSM3525980,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525980_Sample_DMSO_sg1_KO_1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525980/suppl/GSM3525980_Sample_DMSO_sg1_KO_1.bw,ATAC-Seq Sample_DMSO_sg1_KO_1,162113714,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621805,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgARID1A-1,ARID1A KO
GSE124224,ATAC-Seq Sample_DMSO_sg1_KO_2,GSM3525981,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525981_Sample_DMSO_sg1_KO_2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525981/suppl/GSM3525981_Sample_DMSO_sg1_KO_2.bw,ATAC-Seq Sample_DMSO_sg1_KO_2,172503888,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621804,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgARID1A-1,ARID1A KO
GSE124224,ATAC-Seq Sample_DMSO_sg2_KO_1,GSM3525982,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525982_Sample_DMSO_sg2_KO_1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525982/suppl/GSM3525982_Sample_DMSO_sg2_KO_1.bw,ATAC-Seq Sample_DMSO_sg2_KO_1,194671815,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621802,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgARID1A-2,ARID1A KO
GSE124224,ATAC-Seq Sample_DMSO_sg2_KO_2,GSM3525983,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525983_Sample_DMSO_sg2_KO_2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525983/suppl/GSM3525983_Sample_DMSO_sg2_KO_2.bw,ATAC-Seq Sample_DMSO_sg2_KO_2,233406053,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621800,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgARID1A-2,ARID1A KO
GSE124224,ATAC-Seq Sample_DMSO_sg6_KO_1,GSM3525984,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525984_Sample_DMSO_sg6_KO_1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525984/suppl/GSM3525984_Sample_DMSO_sg6_KO_1.bw,ATAC-Seq Sample_DMSO_sg6_KO_1,231716759,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621799,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgARID1A-3,ARID1A KO
GSE124224,ATAC-Seq Sample_DMSO_sg6_KO_2,GSM3525985,Public on Nov 13 2019,Dec 20 2018,Nov 15 2019,SRA,1,Breast Cancer Cell,Homo sapiens,9606,MCF7 cells were treated with DMSO of Fulvestrant (100nM) for 24 hours.,"MCF7 cells were obtained from ATCC and were cultured in DMEM/F-12 (Corning) and supplemented with 10% FBS, MEM non-essential amino acids (Corning), 50U/ml penicillin, and 50ng/ml streptomycin under normal oxygen conditions (5% CO2, 37 °C)",genomic DNA,"ATAC-seq was performed as described by Buenrostro et al, 2013 with the exception that 0.2% NP40 was used for cell lysis., ATAC-seq libraries were prepared using Illumina's TruSeq ChIP sample prep.Libraries were validated using the Agient Technologies 2100 Bioanalyzer and Qubit high sensitivity assay.","Duplicate reads were then removed using MarkDuplicates (v2.9.0, REMOVE_DUPLICATES, In order to account for Tn5 shift, all positive strand reads in each sample were shifted by +4bps and all negative strand reads were shifted by -5bps., BigWig tracks were generated using MACS2 and then scaled using rtracklayer (v1.40.6).",GPL11154,"Sagar,,Chhangawala",sagar.cornell@gmail.com,PBSB,Weill Cornell Medical College,1300 York Ave.,New York,NY,10065,USA,Illumina HiSeq 2000,other,genomic,ATAC-seq,"GSE124224, GSE124228",0,GSM3525985_Sample_DMSO_sg6_KO_2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3525nnn/GSM3525985/suppl/GSM3525985_Sample_DMSO_sg6_KO_2.bw,ATAC-Seq Sample_DMSO_sg6_KO_2,294828943,BW,"TruSeq3-PE adapters, LEADING:3 TRAILING:3 SLIDINGWINDOW:4:15 MINLEN:36).",-X2000 –local –mm --no-mixed --no-discordant).,--nomodel --extsize 150 --shift -75 --slocal 5000 --llocal 20000 -B --keep-dup all -p 0.05) and then on individual samples (-p 0.01).,hg38,normalized bw files,https://www.ncbi.nlm.nih.gov/biosample/SAMN10621798,https://www.ncbi.nlm.nih.gov/sra?term,MCF-7,DMSO,sgARID1A-3,ARID1A KO
