GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,cell line,tissue,cell type,age,gender,genotype,Library strategy,Genome_build,Supplementary_files_format_and_content,chip antibody
GSE124409,Hi-C WT rep1,GSM3532128,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.2M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532128_wt_r1_40000_iced_chr_matrix.tar.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532128/suppl/GSM3532128_wt_r1_40000_iced_chr_matrix.tar.gz,Hi-C WT rep1,85203083,TAR,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654204,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep1,GSM3532128,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.2M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532128_wt_r1_40000_raw_chr_matrix.tar.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532128/suppl/GSM3532128_wt_r1_40000_raw_chr_matrix.tar.gz,Hi-C WT rep1,33462852,TAR,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654204,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep1,GSM3532128,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.2M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532128_wt_r1_500000_iced_wholegenome.matrix.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532128/suppl/GSM3532128_wt_r1_500000_iced_wholegenome.matrix.gz,Hi-C WT rep1,34028089,MATRIX,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654204,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep1,GSM3532128,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.2M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532128_wt_r1_500000_raw_wholegenome.matrix.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532128/suppl/GSM3532128_wt_r1_500000_raw_wholegenome.matrix.gz,Hi-C WT rep1,11829114,MATRIX,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654204,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep2,GSM3532129,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.3M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532129_wt_r2_40000_iced_chr_matrix.tar.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532129/suppl/GSM3532129_wt_r2_40000_iced_chr_matrix.tar.gz,Hi-C WT rep2,114867192,TAR,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654203,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep2,GSM3532129,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.3M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532129_wt_r2_40000_raw_chr_matrix.tar.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532129/suppl/GSM3532129_wt_r2_40000_raw_chr_matrix.tar.gz,Hi-C WT rep2,43508922,TAR,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654203,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep2,GSM3532129,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.3M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532129_wt_r2_500000_iced_wholegenome.matrix.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532129/suppl/GSM3532129_wt_r2_500000_iced_wholegenome.matrix.gz,Hi-C WT rep2,44149057,MATRIX,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654203,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C WT rep2,GSM3532129,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.3M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532129_wt_r2_500000_raw_wholegenome.matrix.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532129/suppl/GSM3532129_wt_r2_500000_raw_wholegenome.matrix.gz,Hi-C WT rep2,14812386,MATRIX,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654203,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,wild type,Hi-C,hg19,,
GSE124409,Hi-C LMNB1-KO rep1,GSM3532130,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.4M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532130_B1KO_r1_40000_iced_chr_matrix.tar.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532130/suppl/GSM3532130_B1KO_r1_40000_iced_chr_matrix.tar.gz,Hi-C LMNB1-KO rep1,109188904,TAR,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654202,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,LMNB1-/-,Hi-C,hg19,,
GSE124409,Hi-C LMNB1-KO rep1,GSM3532130,Public on Nov 08 2020,Dec 27 2018,Nov 09 2020,SRA,1,MDA-MB-231 breast cancer cells,Homo sapiens,9606,"Cells were grown to about 70-80 % confluence, washed with PBS, crosslinked with 1%, v/v formaldehyde solution, and the reaction was quenched by 0.4M glycine solution.","Human cell line MDA-MB-231 cells were maintained in Dulbecco’s modified Eagle medium with high glucose (Lifetech). The medium contained 10% Fetal bovine serum (FBS) (Lifetech), and 1% of penicillin and streptomycin antibiotics (Lifetech). Cells were maintained at 37 °C and 5% CO2 in a humidified incubator.",genomic DNA,"Cells were lysed and DNA was then cut with MboI and the overhangs were filled with a biotinylated base. Free ends were then ligated together in situ. Crosslinks were reversed, the DNA was sheared to 300-500bp and then biotinylated ligation junctions were recovered with streptavidin beads., Sequencing libraries were generated using standard Illumina library construction protocol. Briefly, ends of sheared DNA were repaired and the blunt ends were added an “A” base to ligate with Illumina's adapters that have a single 'T' base overhang. Then DNA was PCR amplified for 8-12 cycles. At last, products were purified using AMPure XP system and sequenced through XTen (Illumina).","Hi-C data analysis was performed with HiC-Pro. Briefly, reads were first aligned on the hg19 reference genome. Uniquely mapped reads were assigned to restriction fragments. Then the invalid ligation products were filtered out, and eligible read pairs were counted to build Hi-C contact maps. At last, ICE normalization was used to normalize the raw counts data.",GPL20795,"Mengfan,,Li",limf@pku.edu.cn,Peking University,No.5 Yiheyuan Road,Beijing,100871,China,HiSeq X Ten,other,genomic,OTHER,GSE124409,0,GSM3532130_B1KO_r1_40000_raw_chr_matrix.tar.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3532nnn/GSM3532130/suppl/GSM3532130_B1KO_r1_40000_raw_chr_matrix.tar.gz,Hi-C LMNB1-KO rep1,42182255,TAR,https://www.ncbi.nlm.nih.gov/biosample/SAMN10654202,https://www.ncbi.nlm.nih.gov/sra?term,MDA-MB-231,mammary gland/breast,"epithelial, breast cancer cell line",51 years adult,female,LMNB1-/-,Hi-C,hg19,,
