GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_treatment_protocol_ch1,tumor type,cell type,cell line,chip antibody,BioSample,SRA,Genome_build,Supplementary_files_format_and_content,treatment compound,treatment time
GSE124864,LSD1_1,GSM3557211,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557211_LSD1_1_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557211/suppl/GSM3557211_LSD1_1_peaks.txt.gz,LSD1_1,1694341,TXT,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,LSD1 (abcam; rabbit; ab17721),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719165,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,LSD1_1,GSM3557211,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557211_LSD1_1_sort_peaks.narrowPeak.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557211/suppl/GSM3557211_LSD1_1_sort_peaks.narrowPeak.bed.gz,LSD1_1,1209767,BED,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,LSD1 (abcam; rabbit; ab17721),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719165,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,LSD1_2,GSM3557212,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557212_LSD1_2_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557212/suppl/GSM3557212_LSD1_2_peaks.txt.gz,LSD1_2,738048,TXT,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,LSD1 (abcam; rabbit; ab17721),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719221,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,LSD1_2,GSM3557212,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557212_LSD1_2_sort_peaks.narrowPeak.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557212/suppl/GSM3557212_LSD1_2_sort_peaks.narrowPeak.bed.gz,LSD1_2,548900,BED,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,LSD1 (abcam; rabbit; ab17721),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719221,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,RCOR2_1,GSM3557213,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557213_RCOR2_1_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557213/suppl/GSM3557213_RCOR2_1_peaks.txt.gz,RCOR2_1,1546613,TXT,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,RCOR2 (Proteintech; rabbit; 23969-1-AP),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719220,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,RCOR2_1,GSM3557213,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557213_RCOR2_1_sort_peaks.narrowPeak.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557213/suppl/GSM3557213_RCOR2_1_sort_peaks.narrowPeak.bed.gz,RCOR2_1,1110599,BED,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,RCOR2 (Proteintech; rabbit; 23969-1-AP),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719220,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,RCOR2_2,GSM3557214,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557214_RCOR2_2_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557214/suppl/GSM3557214_RCOR2_2_peaks.txt.gz,RCOR2_2,823006,TXT,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,RCOR2 (Proteintech; rabbit; 23969-1-AP),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719219,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,RCOR2_2,GSM3557214,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,genomic DNA,"The ChIP method was modified from protocols described in Schmidt et al.(Schmidt et al., 2009). MKL-1 cells were cross-linked using dual cross-linking with disuccinimidyl glutarate (DSG) and formaldehyde. After cross-linking, cells were lysed using SimpleChIP buffer A and B (Cell signaling) and DNA was processed with the Micrococcal nuclease (New England Biolabs Inc.) for 30 minutes at 37°C followed by sonicating for 20s pulses 5 times at 4°C., 30 ng of DNA from ChIP experiments or input DNA were prepared for sequencing with NEBNext ChIP-seq Library Prep Reagent Set for Illumina (New England BioLabs). Amplified libraries were cleaned up using AMPure XP beads (Beckman Coulter) and checked on a Bioanalyzer (Agilent) to confirm a narrow distribution with a peak size around 275 bp. Diluted libraries were used for 50 cycles single-end sequencing on NextSeq 550 systems  (Illumina) at the Molecular Biology Core Facilities (MBCF) at Dana-Farber Cancer Institute following the manufacturer’s protocol.","ChIP-seq reads were aligned to the hg19 genome assembly using the BWA aligner, peaks were called using using the default parameters of MACS2 relative to the input samples.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE124856, GSE124864",0,GSM3557214_RCOR2_2_sort_peaks.narrowPeak.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557214/suppl/GSM3557214_RCOR2_2_sort_peaks.narrowPeak.bed.gz,RCOR2_2,606574,BED,,Merkel cell carcinoma,MCC tumor derived cell line,MKL-1,RCOR2 (Proteintech; rabbit; 23969-1-AP),https://www.ncbi.nlm.nih.gov/biosample/SAMN10719219,https://www.ncbi.nlm.nih.gov/sra?term,hg19,.narrwPeak.bed and .xls peak files were generated using MACS2.,,
GSE124864,MKL1_D1,GSM3557217,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,total RNA,RNA libraries were prepared for sequencing using TruSeq Stranded mRNA library prep kit,"The Illumina NextSeq500 was used to generate reads., STAR was used to map reads to the hg19 genome and reads were  aligned using samtools., The count (TPM) files were generated using the htset-count function.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE124857, GSE124864",0,GSM3557217_MKL1_D1.count.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557217/suppl/GSM3557217_MKL1_D1.count.txt.gz,MKL1_D1,295134,TXT,Cells were treated with either GSK-LSD1 or CPI-670242 for 1 or 3 days and harvested for RNA using Qiagen Rneasy plus kit,Merkel cell carcinoma,tumor derived cancer cell line,MKL-1,,https://www.ncbi.nlm.nih.gov/biosample/SAMN10719216,https://www.ncbi.nlm.nih.gov/sra?term,hg19,,Control,3 days
GSE124864,MKL1_D2,GSM3557218,Public on Feb 16 2020,Jan 09 2019,Feb 16 2020,SRA,1,MKL-1,Homo sapiens,9606,MCC cell lines were grown in RPMI supplemented with 10% FBS and antibiotics.,total RNA,RNA libraries were prepared for sequencing using TruSeq Stranded mRNA library prep kit,"The Illumina NextSeq500 was used to generate reads., STAR was used to map reads to the hg19 genome and reads were  aligned using samtools., The count (TPM) files were generated using the htset-count function.",GPL18573,"Donglim,,Park",James DeCaprio,Medical oncology,Dana-Farber Cancer Institute,"4 Price Rd, Apt11",ALLSTON,MA,02134,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,"GSE124857, GSE124864",0,GSM3557218_MKL1_D2.count.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3557nnn/GSM3557218/suppl/GSM3557218_MKL1_D2.count.txt.gz,MKL1_D2,288669,TXT,Cells were treated with either GSK-LSD1 or CPI-670242 for 1 or 3 days and harvested for RNA using Qiagen Rneasy plus kit,Merkel cell carcinoma,tumor derived cancer cell line,MKL-1,,https://www.ncbi.nlm.nih.gov/biosample/SAMN10719215,https://www.ncbi.nlm.nih.gov/sra?term,hg19,,Control,3 days
