GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_growth_protocol_ch1,Sample_treatment_protocol_ch1,Sample_description,BioSample,SRA,cell type,Genome_build,Supplementary_files_format_and_content,chip antibody,antibody,treatment,cell line
GSE130140,RNAseq_Tcell_rep1,GSM3732717,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,T-cell,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732717_Tcell_rep1_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732717/suppl/GSM3732717_Tcell_rep1_quant.sf.txt.gz,RNAseq_Tcell_rep1,2771057,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477015,https://www.ncbi.nlm.nih.gov/sra?term,T-cell,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Tcell_rep2,GSM3732718,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,T-cell,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732718_Tcell_rep2_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732718/suppl/GSM3732718_Tcell_rep2_quant.sf.txt.gz,RNAseq_Tcell_rep2,2764470,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477014,https://www.ncbi.nlm.nih.gov/sra?term,T-cell,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Tcell_rep3,GSM3732719,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,T-cell,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732719_Tcell_rep3_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732719/suppl/GSM3732719_Tcell_rep3_quant.sf.txt.gz,RNAseq_Tcell_rep3,2850799,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477013,https://www.ncbi.nlm.nih.gov/sra?term,T-cell,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Tcell_rep4,GSM3732720,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,T-cell,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732720_Tcell_rep4_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732720/suppl/GSM3732720_Tcell_rep4_quant.sf.txt.gz,RNAseq_Tcell_rep4,2800432,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477011,https://www.ncbi.nlm.nih.gov/sra?term,T-cell,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Jurkat_rep1,GSM3732721,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,Jurkat,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732721_Jurkat_rep1_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732721/suppl/GSM3732721_Jurkat_rep1_quant.sf.txt.gz,RNAseq_Jurkat_rep1,2986129,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477009,https://www.ncbi.nlm.nih.gov/sra?term,Jurkat,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Jurkat_rep2,GSM3732722,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,Jurkat,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732722_Jurkat_rep2_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732722/suppl/GSM3732722_Jurkat_rep2_quant.sf.txt.gz,RNAseq_Jurkat_rep2,3068880,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477008,https://www.ncbi.nlm.nih.gov/sra?term,Jurkat,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Jurkat_rep3,GSM3732723,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,Jurkat,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732723_Jurkat_rep3_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732723/suppl/GSM3732723_Jurkat_rep3_quant.sf.txt.gz,RNAseq_Jurkat_rep3,3027632,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477006,https://www.ncbi.nlm.nih.gov/sra?term,Jurkat,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Patient1_rep1,GSM3732724,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,Patient xenograft,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732724_Patient1_rep1_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732724/suppl/GSM3732724_Patient1_rep1_quant.sf.txt.gz,RNAseq_Patient1_rep1,2826836,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477004,https://www.ncbi.nlm.nih.gov/sra?term,T-ALL from patient xenograft,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Patient1_rep2,GSM3732725,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,Patient xenograft,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732725_Patient1_rep2_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732725/suppl/GSM3732725_Patient1_rep2_quant.sf.txt.gz,RNAseq_Patient1_rep2,2559696,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477002,https://www.ncbi.nlm.nih.gov/sra?term,T-ALL from patient xenograft,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
GSE130140,RNAseq_Patient2,GSM3732726,Public on Aug 19 2020,Apr 22 2019,Aug 20 2020,SRA,1,Patient xenograft,Homo sapiens,9606,total RNA,"Cells were spun down and lysed with RLT buffer; RNA extraction was conducted using the Aurum BioRad RNA isolation kit, Poly-A selection with Illumina TruSeq RNA Library Prep Kit v2","ChIP-seq sequence reads were aligned to the hg38 genome using bwa, MACS2 was used to call peaks., ATAC-seq sequence reads were aligned to the hg38 genome using bowtie., RNA-seq datasets were processed using Salmon., Hi-C data were processed using HiC-Pro., Methylation calls were performed with Bismark.",GPL18573,"Zhenjia,,Wang",Center for Public Health Genomics,University of Virginia,1300 Jefferson Park Avenue,Charlottesville,VIRGINIA,22908,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE130140,0,GSM3732726_Patient2_quant.sf.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3732nnn/GSM3732726/suppl/GSM3732726_Patient2_quant.sf.txt.gz,RNAseq_Patient2,2806350,TXT,,,,https://www.ncbi.nlm.nih.gov/biosample/SAMN11477001,https://www.ncbi.nlm.nih.gov/sra?term,T-ALL from patient xenograft,GRCH38/hg38,"ChIP-seq: peak file in BED, RNA-seq: transcript level quantification from salmon, Hi-C: raw matrix, DNA methylation: bigwig or bismark.cov",,,,
