GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,tissue,chip antibody,chip antibody vendor,chip antibody cat.#,chip antibody lot/batch#,BioSample,SRA
GSE130408,AR_NKI_1_N,GSM4569829,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",NKI_1_AR_Healthy,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569829_AR_NKI_1_N.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569829/suppl/GSM4569829_AR_NKI_1_N.bw,AR_NKI_1_N,224299347,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,Patient localized prostate tissue,AR,Millipore,06-680,2489005,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032369,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_NKI_7_N,GSM4569830,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",NKI_7_AR_Healthy,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569830_AR_NKI_7_N.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569830/suppl/GSM4569830_AR_NKI_7_N.bw,AR_NKI_7_N,223728373,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,Patient localized prostate tissue,AR,Millipore,06-680,2489005,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032398,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_NKI_13_N,GSM4569831,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",NKI_13_AR_Healthy,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569831_AR_NKI_13_N.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569831/suppl/GSM4569831_AR_NKI_13_N.bw,AR_NKI_13_N,191034061,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,Patient localized prostate tissue,AR,Millipore,06-680,2489005,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032397,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_NKI_19_N,GSM4569832,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",NKI_19_AR_Healthy,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569832_AR_NKI_19_N.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569832/suppl/GSM4569832_AR_NKI_19_N.bw,AR_NKI_19_N,206721142,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,Patient localized prostate tissue,AR,Millipore,06-680,2489005,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032396,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_NKI_25_N,GSM4569833,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",NKI_25_AR_Healthy_rep2,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569833_AR_NKI_25_N.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569833/suppl/GSM4569833_AR_NKI_25_N.bw,AR_NKI_25_N,232853376,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,Patient localized prostate tissue,AR,Millipore,06-680,2489005,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032394,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_NKI_27_N,GSM4569834,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",NKI_27_AR_Healthy,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569834_AR_NKI_27_N.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569834/suppl/GSM4569834_AR_NKI_27_N.bw,AR_NKI_27_N,165666735,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,Patient localized prostate tissue,AR,Millipore,06-680,2489005,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032564,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_DF_1239_T,GSM4569835,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",DF_1239T,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569835_AR_DF_1239_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569835/suppl/GSM4569835_AR_DF_1239_T.bw,AR_DF_1239_T,156568868,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032563,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_DF_1636_T,GSM4569836,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",DF_1636T,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569836_AR_DF_1636_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569836/suppl/GSM4569836_AR_DF_1636_T.bw,AR_DF_1636_T,302977052,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032560,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_DF_1730_T,GSM4569837,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",DF_1730T,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569837_AR_DF_1730_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569837/suppl/GSM4569837_AR_DF_1730_T.bw,AR_DF_1730_T,410354640,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032559,https://www.ncbi.nlm.nih.gov/sra?term
GSE130408,AR_DF_1798_T,GSM4569838,Public on Jun 16 2020,May 27 2020,Jun 16 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.",DF_1798T,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Matthew,,Freedman",freedman@broadinstitute.org,Dana Faber Cancer Institute,450 Brookline Avenue,Boston,Massachusetts,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE130408,0,GSM4569838_AR_DF_1798_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4569nnn/GSM4569838/suppl/GSM4569838_AR_DF_1798_T.bw,AR_DF_1798_T,391847423,BW,hg19,bw files were generated using MACS2 using the chilin pipeline,localized prostate tissue,AR,Santa Cruz Biotechnology,SC816X,F1515,https://www.ncbi.nlm.nih.gov/biosample/SAMN15032557,https://www.ncbi.nlm.nih.gov/sra?term
