GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,EdgeR v3.24.013 package was used to normalize gene expression among all libraries and identify differentially expressed genes among samples with following constraints,Genome_build,Supplementary_files_format_and_content,tissue,cell line,origin,passage,genotype,induced hbv replication,BioSample,SRA,age,treatment,genotype/variation,gender
GSE131257,RNA-seq WT_HBVneg_rep1,GSM3768170,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 -HBV DDX5WT,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768170_WT_HBVneg_rep1.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768170/suppl/GSM3768170_WT_HBVneg_rep1.genes.results.txt.gz,RNA-seq WT_HBVneg_rep1,561243,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,WT,-HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653658,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq WT_HBVpos_rep1,GSM3768171,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 +HBV DDX5WT,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768171_WT_HBVpos_rep1.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768171/suppl/GSM3768171_WT_HBVpos_rep1.genes.results.txt.gz,RNA-seq WT_HBVpos_rep1,561862,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,WT,+HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653657,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq KD_HBVneg_rep1,GSM3768172,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 -HBV DDX5KD,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768172_KD_HBVneg_rep1.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768172/suppl/GSM3768172_KD_HBVneg_rep1.genes.results.txt.gz,RNA-seq KD_HBVneg_rep1,563393,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,KD,-HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653656,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq KD_HBVpos_rep1,GSM3768173,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 +HBV DDX5KD,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768173_KD_HBVpos_rep1.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768173/suppl/GSM3768173_KD_HBVpos_rep1.genes.results.txt.gz,RNA-seq KD_HBVpos_rep1,562655,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,KD,+HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653655,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq KD_HBVpos_SOR_rep1,GSM3768174,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 +HBV DDX5KD +Sorafenib,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768174_KD_HBVpos_SOR_rep1.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768174/suppl/GSM3768174_KD_HBVpos_SOR_rep1.genes.results.txt.gz,RNA-seq KD_HBVpos_SOR_rep1,560662,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,KD,+HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653654,https://www.ncbi.nlm.nih.gov/sra?term,,Sorafenib,,
GSE131257,RNA-seq WT_HBVneg_rep2,GSM3768175,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 -HBV DDX5WT,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768175_WT_HBVneg_rep2.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768175/suppl/GSM3768175_WT_HBVneg_rep2.genes.results.txt.gz,RNA-seq WT_HBVneg_rep2,560259,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,WT,-HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653653,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq WT_HBVpos_rep2,GSM3768176,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 +HBV DDX5WT,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768176_WT_HBVpos_rep2.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768176/suppl/GSM3768176_WT_HBVpos_rep2.genes.results.txt.gz,RNA-seq WT_HBVpos_rep2,564010,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,WT,+HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653652,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq KD_HBVneg_rep2,GSM3768177,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 -HBV DDX5KD,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768177_KD_HBVneg_rep2.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768177/suppl/GSM3768177_KD_HBVneg_rep2.genes.results.txt.gz,RNA-seq KD_HBVneg_rep2,563034,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,KD,-HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653651,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq KD_HBVpos_rep2,GSM3768178,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 +HBV DDX5KD,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768178_KD_HBVpos_rep2.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768178/suppl/GSM3768178_KD_HBVpos_rep2.genes.results.txt.gz,RNA-seq KD_HBVpos_rep2,562896,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,KD,+HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653669,https://www.ncbi.nlm.nih.gov/sra?term,,,,
GSE131257,RNA-seq KD_HBVpos_SOR_rep2,GSM3768179,Public on Oct 07 2020,May 15 2019,Oct 07 2020,SRA,1,Hepatocellular carcinoma (HepG2),Homo sapiens,9606,Cells were grown in culture media containing Sorafenib (2.5 μM) for three days prior to harvesting,Cells were cultured for 10 days in the presence of tetracycline (no HBV replication) or absence of tetracycline (with HBV replication). Media was changed every 3 days and passaged if cells were confluent.,total RNA,"Total RNA was isolated using Purelink mRNA Mini kit (Life Technologies) as per manufacturer's protocol, Libraries were constructed from total RNA using the Illumina TruSeq Stranded mRNA Library Prep Kit, Cat. No. RS-122-2101, RS-122-2102",HepAD38 +HBV DDX5KD +Sorafenib,"Data quality control was performed using FastQC v0.11.8, The RNA expression level in each library was estimated by “rsem-calculate-expression” procedure in RSEM v1.3.112 using default parameters except “--bowtie-n 1 –bowtie-m 100 –seed-length 28 --paired-end”.",GPL16791,"Majid,,Kazemian",kazemian@purdue.edu,Purdue university,201 S. University Street,West Lafayette,Indiana,47907,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,GSE131257,0,GSM3768179_KD_HBVpos_SOR_rep2.genes.results.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3768nnn/GSM3768179/suppl/GSM3768179_KD_HBVpos_SOR_rep2.genes.results.txt.gz,RNA-seq KD_HBVpos_SOR_rep2,562475,TXT,"fold change > 1.5, FDR < 0.05 and TPM > 1",hg19,genes.results files,Liver,HepG2-derived cell line HepAD38,Cancer cell line from 15 yr male,20-23,KD,+HBV,https://www.ncbi.nlm.nih.gov/biosample/SAMN11653668,https://www.ncbi.nlm.nih.gov/sra?term,,Sorafenib,,
