GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,ATAC-seq,Genome_build,Supplementary_files_format_and_content
GSE131956,GBM39 H3K4me1 ChIP-seq replicate 1,GSM3832715,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832715_GBM39_H3K4me1_1.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832715/suppl/GSM3832715_GBM39_H3K4me1_1.umap.gsorted.filtered.tdf,GBM39 H3K4me1 ChIP-seq replicate 1,344962713,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 H3K4me1 ChIP-seq replicate 2,GSM3832716,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832716_GBM39_H3K4me1_2.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832716/suppl/GSM3832716_GBM39_H3K4me1_2.umap.gsorted.filtered.tdf,GBM39 H3K4me1 ChIP-seq replicate 2,324949981,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 H3K27ac ChIP-seq replicate 1,GSM3832717,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832717_GBM39_H3K27ac_1.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832717/suppl/GSM3832717_GBM39_H3K27ac_1.umap.gsorted.filtered.tdf,GBM39 H3K27ac ChIP-seq replicate 1,295036536,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 H3K27ac ChIP-seq replicate 2,GSM3832718,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832718_GBM39_H3K27ac_2.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832718/suppl/GSM3832718_GBM39_H3K27ac_2.umap.gsorted.filtered.tdf,GBM39 H3K27ac ChIP-seq replicate 2,303568297,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 CTCF ChIP-seq replicate 1,GSM3832719,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832719_GBM39_CTCF_1.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832719/suppl/GSM3832719_GBM39_CTCF_1.umap.gsorted.filtered.tdf,GBM39 CTCF ChIP-seq replicate 1,56029852,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 CTCF ChIP-seq replicate 2,GSM3832720,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832720_GBM39_CTCF_2.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832720/suppl/GSM3832720_GBM39_CTCF_2.umap.gsorted.filtered.tdf,GBM39 CTCF ChIP-seq replicate 2,67738898,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 SMC3 ChIP-seq replicate 1,GSM3832721,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832721_GBM39_SMC3_1.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832721/suppl/GSM3832721_GBM39_SMC3_1.umap.gsorted.filtered.tdf,GBM39 SMC3 ChIP-seq replicate 1,356841679,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 SMC3 ChIP-seq replicate 2,GSM3832722,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832722_GBM39_SMC3_2.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832722/suppl/GSM3832722_GBM39_SMC3_2.umap.gsorted.filtered.tdf,GBM39 SMC3 ChIP-seq replicate 2,379985089,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 ChIP-seq input replicate 1,GSM3832723,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832723_GBM39_Input_1.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832723/suppl/GSM3832723_GBM39_Input_1.umap.gsorted.filtered.tdf,GBM39 ChIP-seq input replicate 1,91058976,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
GSE131956,GBM39 ChIP-seq input replicate 2,GSM3832724,Public on Dec 31 2019,May 30 2019,Jan 01 2020,SRA,1,GBM39,Homo sapiens,9606,cell type: Human brain tumor,No,"Human prostate cancer cell line PC3, colon cancer cell line COLO320DM and glioblastoma cell line U87 were purchased from ATCC and cultured in DMEM/F12 with 10% FBS. Human glioblastoma GBM39 tumor spheroid was derived from patient tissue, and cultured in DMEM/F12 with GlutaMAX, B27, 20 ng/ml EGF, 20 ng/ml FGF and 5 μg/ml heparin.",genomic DNA,DNA library was constructed by NEBNext Ultra II DNA Library Prep kit for paired-end sequencing.,ChIP DNA,"Bowtie2 for mapping, MarkDuplicates from Picard tools v1.119 to remove PCR duplicates, Samtools v1.3.1, MACS2 2.1.2 for peak calling.",GPL20795,"Paul,S,Mischel",pmischel@ucsd.edu,Ludwig Institute for Cancer Research,9500 Gilman Dr.,La Jolla,92093,USA,HiSeq X Ten,ChIP,genomic,ChIP-Seq,GSE131956,0,GSM3832724_GBM39_Input_2.umap.gsorted.filtered.tdf,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3832nnn/GSM3832724/suppl/GSM3832724_GBM39_Input_2.umap.gsorted.filtered.tdf,GBM39 ChIP-seq input replicate 2,93892707,TDF,https://www.ncbi.nlm.nih.gov/biosample/SAMN10442471,https://www.ncbi.nlm.nih.gov/sra?term,"Briefly, 100-500K cell nuclei were extracted by NPB buffer (5% BSA, 0.2% IGEPAL-CA630, 1 mM DTT, EDTA-free protease, in PBS) at 4°C for 10 min. Tagmentation was done in TB buffer (33 mM Tris-acetate pH 7.8, 66 mM K-acetate, 11 mM Mg-acetate, 16% DMF) with Tn5 transposase (Illumina), at 37°C for 30 min. DNA samples were then extracted and DNA libraries were generated by PCR. ChIP-seq: Formaldehyde crosslinked chromatin from 5 million cells per ChIP was sheared to small fragments by Covaris M220 Focused-ultrasonicator. The following antibodies were used for chromatin pull-down in RIPA buffer with protease inhibitor cocktail: anti-H3K27ac (Active Motif 39685, 5 µg), anti-H3K4me1 (Active Motif 39297, 10 µl), anti-CTCF (Abcam ab70303, 5 µg), anti-SMC3 (Abcam ab9263, 5 µg). After capturing by Protein A/G magnetic beads, chromatin was washed 6 times and reverse-crosslinked for 3 hr with RNase A and Proteinase K.",hg19,tdf
