GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,cell line,genotype,treatment,time,BioSample,SRA,ATAC-seq reads were aligned to hg19 using Bowtie with the following parameters,Genome_build,Supplementary_files_format_and_content
GSE132424,WTClone1_DMSO_1hr (ATAC-seq),GSM3863153,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863153_WTClone1_DMSO_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863153/suppl/GSM3863153_WTClone1_DMSO_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_DMSO_1hr (ATAC-seq),143187359,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,0.1% DMSO,1 hr,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998520,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone1_E2_1hr (ATAC-seq),GSM3863154,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863154_WTClone1_E2_1hr_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863154/suppl/GSM3863154_WTClone1_E2_1hr_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_E2_1hr (ATAC-seq),141664493,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,10nM E2,1 hr,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998539,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone1_E2_8hrs (ATAC-seq),GSM3863155,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863155_WTClone1_E2_8hrs_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863155/suppl/GSM3863155_WTClone1_E2_8hrs_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_E2_8hrs (ATAC-seq),17058101,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,10nM E2,8 hrs,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998538,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone2_DMSO_1hr (ATAC-seq),GSM3863156,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863156_WTClone2_DMSO_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863156/suppl/GSM3863156_WTClone2_DMSO_stringent_treat_pileup_sorted.bedgraph.gz,WTClone2_DMSO_1hr (ATAC-seq),224662530,BEDGRAPH,Ishikawa WT ESR1 clone 2,WT ESR1,0.1% DMSO,1 hr,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998537,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone2_E2_1hr (ATAC-seq),GSM3863157,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863157_WTClone2_E2_1hr_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863157/suppl/GSM3863157_WTClone2_E2_1hr_stringent_treat_pileup_sorted.bedgraph.gz,WTClone2_E2_1hr (ATAC-seq),198664616,BEDGRAPH,Ishikawa WT ESR1 clone 2,WT ESR1,10nM E2,1 hr,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998536,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone2_E2_8hrs (ATAC-seq),GSM3863158,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863158_WTClone2_E2_8hrs_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863158/suppl/GSM3863158_WTClone2_E2_8hrs_stringent_treat_pileup_sorted.bedgraph.gz,WTClone2_E2_8hrs (ATAC-seq),14533325,BEDGRAPH,Ishikawa WT ESR1 clone 2,WT ESR1,10nM E2,8 hrs,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998535,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone1_E2_10D (ATAC-seq),GSM3863159,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863159_WTClone1_E2_10D_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863159/suppl/GSM3863159_WTClone1_E2_10D_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_E2_10D (ATAC-seq),38546581,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,10nM E2,10 days,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998534,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone1_E2_15D (ATAC-seq),GSM3863160,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863160_WTClone1_E2_15D_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863160/suppl/GSM3863160_WTClone1_E2_15D_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_E2_15D (ATAC-seq),23715864,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,10nM E2,15 days,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998533,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone1_E2_20D (ATAC-seq),GSM3863161,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863161_WTClone1_E2_20D_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863161/suppl/GSM3863161_WTClone1_E2_20D_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_E2_20D (ATAC-seq),35348907,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,10nM E2,20 days,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998532,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
GSE132424,WTClone1_E2_25D (ATAC-seq),GSM3863162,Public on Jun 11 2019,Jun 10 2019,Jun 12 2019,SRA,1,Endometrioid adenocarcinoma,Homo sapiens,9606,"Media was changed 1 day prior to inductions and cells were treated with either DMSO (vehicle) or 10 nM (estradiol) E2 for 1 hour or 8 hours. For prolonged estrogen samples, wildtype cell lines were cultured in phenol-red free RPMI with 10% charcoal-dextran stripped fetal bovine serum and 1% pen-strep for up to 25 days. Cells were treated with 10 nM E2 every 2 days with media changes, and cell lysates were collected at the following time points: day 10, day 15, day 20, day 25.","Ishikawa ESR1 LBD mutant and wildtype cells were cultured in full media: RPMI-1640 with 10% fetal bovine serum and 1% penicillin-streptomycin. Cells were incubated at 37°C with 5% CO2 for the duration of all experiments. At least 5 days prior to inductions, cells were placed in hormone deprived media: phenol-red free RPMI-1640 media (Thermo Fisher Scientific), since phenol-red is estrogenic, with 10% charcoal-dextran stripped fetal bovine serum (Thermo Fisher Scientific) and 1% penicillin-streptomycin.",genomic DNA,"After treatments, cells were trypsinized and isolated by centrifugation., ATAC-seq was performed as originally described in Buenrostro et al. 2013","Sam files were converted to bam files and sorted with Samtools., Macs2 was used to call peaks without an input control but with a p-value cutoff of 1*10-10., We used featureCounts from the Subread package in R to quantify reads that aligned to ATAC-seq peaks called ., Reads were normalized and analyzed for differential enrichment using the DESeq2 package for R.",GPL16791,"Jason,,Gertz",jay.gertz@hci.utah.edu,Gertz,Oncological Sciences,University of Utah,2000 Circle of Hope,Salt Lake CIty,Utah,84112,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE132424, GSE132430",0,GSM3863162_WTClone1_E2_25D_stringent_treat_pileup_sorted.bedgraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3863nnn/GSM3863162/suppl/GSM3863162_WTClone1_E2_25D_stringent_treat_pileup_sorted.bedgraph.gz,WTClone1_E2_25D (ATAC-seq),23556410,BEDGRAPH,Ishikawa WT ESR1 clone 1,WT ESR1,10nM E2,25 days,https://www.ncbi.nlm.nih.gov/biosample/SAMN11998531,https://www.ncbi.nlm.nih.gov/sra?term,-m 1 -t --best -q -S -I 32 -e 80 -n 2.,hg19,Bedgraph files
