GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_phone,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,cell line,cell type,treatment,Library Strategy,Mapping ,For un-mapping reads ,Removing duplicates ,Genome_build,Supplementary_files_format_and_content
GSE133327,Hypoxia_rep1_tech1,GSM3905793,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905793_Hypoxia_rep1_tech1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905793/suppl/GSM3905793_Hypoxia_rep1_tech1.bw,Hypoxia_rep1_tech1,268750151,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139323,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Hypoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Hypoxia_rep1_tech2,GSM3905794,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905794_Hypoxia_rep1_tech2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905794/suppl/GSM3905794_Hypoxia_rep1_tech2.bw,Hypoxia_rep1_tech2,120378939,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139322,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Hypoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Hypoxia_rep2_tech1,GSM3905795,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905795_Hypoxia_rep2_tech1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905795/suppl/GSM3905795_Hypoxia_rep2_tech1.bw,Hypoxia_rep2_tech1,205888410,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139321,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Hypoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Hypoxia_rep2_tech2,GSM3905796,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905796_Hypoxia_rep2_tech2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905796/suppl/GSM3905796_Hypoxia_rep2_tech2.bw,Hypoxia_rep2_tech2,268564977,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139320,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Hypoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Hypoxia_rep3_tech1,GSM3905797,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905797_Hypoxia_rep3_tech1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905797/suppl/GSM3905797_Hypoxia_rep3_tech1.bw,Hypoxia_rep3_tech1,169794571,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139319,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Hypoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Hypoxia_rep3_tech2,GSM3905798,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905798_Hypoxia_rep3_tech2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905798/suppl/GSM3905798_Hypoxia_rep3_tech2.bw,Hypoxia_rep3_tech2,199741017,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139318,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Hypoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Normoxia_rep1_tech1,GSM3905799,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905799_Normoxia_rep1_tech1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905799/suppl/GSM3905799_Normoxia_rep1_tech1.bw,Normoxia_rep1_tech1,69044011,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139328,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Normoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Normoxia_rep1_tech2,GSM3905800,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905800_Normoxia_rep1_tech2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905800/suppl/GSM3905800_Normoxia_rep1_tech2.bw,Normoxia_rep1_tech2,58974234,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139327,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Normoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Normoxia_rep2_tech2,GSM3905801,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905801_Normoxia_rep2_tech2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905801/suppl/GSM3905801_Normoxia_rep2_tech2.bw,Normoxia_rep2_tech2,107783880,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139326,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Normoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
GSE133327,Normoxia_rep3_tech1,GSM3905802,Public on Oct 29 2020,Jun 26 2019,Oct 29 2020,SRA,1,MCF7,Homo sapiens,9606,MCF-7 were cultured in DMEM low glucose medium (1g/l) supplemented with 10% FBS no longer than 20 passages. Cells were subjected to normoxia or 0.1% hypoxia for 48 hours using an InVivO2 chamber (Baker).,genomic DNA,"Assay for transposition of active chromatin sequencing (ATAC-Seq) was performed as previously published (Buenrostro, 2013) on single cell suspensions. 60000-80000 cells were used per biological replicate. Cells were lysed and nuclei were isolated prior to transposition with Tn5 transposase (Nextera, Illumina) for 30 minutes at 37°C. DNA was purified using a MinElute kit (Qiagen)., Libraries were amplified and barcoded using the NEBNext 2xMastermix (NEB) and the custom primers as published in Buenrostro et al., 2013. ATAC-Seq libraries profiles were visualized using D1000 tape on the Tapestation (Agilent). The libraries were quantified using the universal library quantification kit (KAPA Biosystems).",Genome-wide library of transposed fragments,"Combining trimmed+flashed and originally mapped reads, mapping again with  bowtie -m 2 --maxIns 350, Removing read pairs overlapping Blacklisted regions, Reconstructing sequenced fragments from R1+R2 read pairs ( bedtools bedpe | cut -f 1,2,6) - for visualisation, Pileup of fragments (bedtools genomecov -counts), Generating bigwig tracks (ucsctools bedGraphToBigWig)",GPL18573,"Damien,,Downes",damien.downes@ndcls.ox.ac.uk,01865222374,MRC Weatherall Institute of Medicine,The University of Oxford,John Radcliffe Hospital,Headington,Oxfordshire,OX3 9DU,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE133327,0,GSM3905802_Normoxia_rep3_tech1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3905nnn/GSM3905802/suppl/GSM3905802_Normoxia_rep3_tech1.bw,Normoxia_rep3_tech1,125196191,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN12139325,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,Normoxia,ATAC-seq,"bowtie -m 2 --maxIns 350, hg19","trimming adaptors trim_galore -- length 10, combining overlapping R1-R2 reads : flash -m 9 -x 0.125",samtools rmdup,hg19,"bigWig : DEEPtools bamCoverage converison of filtered fragments (reconstructed, duplicate-filtered fragments : see above)from bam to bigwig,  (--binSize 10 --normalizeUsingRPKM --minMappingQuality 30)"
