GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,biopsy_tissue,Sex,age,disease_extent,disease,frozen,lch_subset,"Trimming using Skewer v0.1.126, alignment with Bowtie 2 v2.2.4 (parameters",Peak calling with MACS2 v2.1.0 (parameters,Genome_build,Supplementary_files_format_and_content
GSE133785,LCH_S1_3 [ATAC-seq],GSM3927308,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S1 cell subset using FACS, replicate 1",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S1 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211470,"GSE133706, GSE133785",0,GSM3927308_LCH_S1_3.bw.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927308/suppl/GSM3927308_LCH_S1_3.bw.gz,LCH_S1_3 [ATAC-seq],121600034,BW,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S1,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S1_3 [ATAC-seq],GSM3927308,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S1 cell subset using FACS, replicate 1",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S1 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211470,"GSE133706, GSE133785",0,GSM3927308_LCH_S1_3.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927308/suppl/GSM3927308_LCH_S1_3.narrowPeak.gz,LCH_S1_3 [ATAC-seq],867099,NARROWPEAK,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S1,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S1_4 [ATAC-seq],GSM3927309,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S1 cell subset using FACS, replicate 2",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S1 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211469,"GSE133706, GSE133785",0,GSM3927309_LCH_S1_4.bw.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927309/suppl/GSM3927309_LCH_S1_4.bw.gz,LCH_S1_4 [ATAC-seq],134371488,BW,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S1,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S1_4 [ATAC-seq],GSM3927309,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S1 cell subset using FACS, replicate 2",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S1 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211469,"GSE133706, GSE133785",0,GSM3927309_LCH_S1_4.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927309/suppl/GSM3927309_LCH_S1_4.narrowPeak.gz,LCH_S1_4 [ATAC-seq],1356307,NARROWPEAK,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S1,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S11_3 [ATAC-seq],GSM3927310,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S11 cell subset using FACS, replicate 1",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S11 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211468,"GSE133706, GSE133785",0,GSM3927310_LCH_S11_3.bw.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927310/suppl/GSM3927310_LCH_S11_3.bw.gz,LCH_S11_3 [ATAC-seq],139706782,BW,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S11,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S11_3 [ATAC-seq],GSM3927310,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S11 cell subset using FACS, replicate 1",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S11 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211468,"GSE133706, GSE133785",0,GSM3927310_LCH_S11_3.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927310/suppl/GSM3927310_LCH_S11_3.narrowPeak.gz,LCH_S11_3 [ATAC-seq],538015,NARROWPEAK,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S11,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S11_4 [ATAC-seq],GSM3927311,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S11 cell subset using FACS, replicate 2",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S11 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211467,"GSE133706, GSE133785",0,GSM3927311_LCH_S11_4.bw.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927311/suppl/GSM3927311_LCH_S11_4.bw.gz,LCH_S11_4 [ATAC-seq],169026119,BW,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S11,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S11_4 [ATAC-seq],GSM3927311,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S11 cell subset using FACS, replicate 2",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S11 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211467,"GSE133706, GSE133785",0,GSM3927311_LCH_S11_4.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927311/suppl/GSM3927311_LCH_S11_4.narrowPeak.gz,LCH_S11_4 [ATAC-seq],662580,NARROWPEAK,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S11,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S12_3 [ATAC-seq],GSM3927312,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S12 cell subset using FACS, replicate 1",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S12 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211466,"GSE133706, GSE133785",0,GSM3927312_LCH_S12_3.bw.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927312/suppl/GSM3927312_LCH_S12_3.bw.gz,LCH_S12_3 [ATAC-seq],155370754,BW,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S12,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
GSE133785,LCH_S12_3 [ATAC-seq],GSM3927312,Public on Jul 30 2019,Jul 03 2019,Jul 30 2019,SRA,1,"LCH cells from a lymph node biopsy, enriched for LCH-S12 cell subset using FACS, replicate 1",Homo sapiens,9606,"Subsets were isolated from biopsy LCH_E, from frozen/thawed cells. LCH cells were enriched for subset-specific markers using FACS.",None. Primary cells isolated from biopsy.,genomic DNA,"Cells were pelleted and lysed in a buffer containing Digitonin and transposase enzyme. After transposition the DNA was purified., The purified samples were enriched using index primers and purified librareies were quality checked and sequenced on Illumina HiSeq 4000 instruments.",ATAC-seq of sorted LCH-S12 cells,"Peaks not overlapping blacklisted regions were merged and reads overlapping the merged coordinates counted., Raw read counts were loaded into DESeq2 v1.22.2 for normalization.",GPL20301,"Christoph,,Bock",cbock@cemm.oeaw.ac.at,CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences,Lazarettgasse 14,Vienna,1090,Austria,Illumina HiSeq 4000,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12211466,"GSE133706, GSE133785",0,GSM3927312_LCH_S12_3.narrowPeak.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3927nnn/GSM3927312/suppl/GSM3927312_LCH_S12_3.narrowPeak.gz,LCH_S12_3 [ATAC-seq],452231,NARROWPEAK,lymph node,female,child,multi-system,Langerhans cell histiocytosis,thawed,LCH-S12,"--very-sensitive --no-discordant). Keep deduplicated, uniquely mapped reads with MQ ≥30.",-q 0.1 -g hs).,GRCh38,"MACS .narrowPeak file (peak coordinates), bigWig file (coverage tracks), Comma-separated text file (summary of normalized read counts per peak)"
