GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_biomaterial_provider_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Amplification with barcode employing NEBNext Q5 Hot Start HiFi PCR Master Mix (prod. no,Genome_build,Supplementary_files_format_and_content,BioSample,SRA,cell line,cell type,NEBNext ChIP-Seq Library Prep Master Mix Set for Illumina (prod. no,overexpression,chip antibody,genotype,antibody,treatment
GSE134657,EV_DMSO_Rep1 ATAC-Seq,GSM3962397,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,DMSO control,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962397_EV_DMSO_S3.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962397/suppl/GSM3962397_EV_DMSO_S3.PeakNorm.bw,EV_DMSO_Rep1 ATAC-Seq,270777037,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337326,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,EV_DMSO_Rep2 ATAC-Seq,GSM3962398,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,DMSO control,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962398_EV_DMSO_S4.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962398/suppl/GSM3962398_EV_DMSO_S4.PeakNorm.bw,EV_DMSO_Rep2 ATAC-Seq,266151209,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337324,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,EV_E2_Rep1 ATAC-Seq,GSM3962399,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,E2 1h Induction,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962399_EV_E2_S3.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962399/suppl/GSM3962399_EV_E2_S3.PeakNorm.bw,EV_E2_Rep1 ATAC-Seq,474332121,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337322,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,EV_E2_Rep2 ATAC-Seq,GSM3962400,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,E2 1h Induction,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962400_EV_E2_S4.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962400/suppl/GSM3962400_EV_E2_S4.PeakNorm.bw,EV_E2_Rep2 ATAC-Seq,169240530,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337321,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,EV_FM_Rep1 ATAC-Seq,GSM3962401,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,Full media,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962401_EV_FM_S3.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962401/suppl/GSM3962401_EV_FM_S3.PeakNorm.bw,EV_FM_Rep1 ATAC-Seq,303810565,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337319,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,EV_FM_Rep2 ATAC-Seq,GSM3962402,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,Full media,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962402_EV_FM_S4.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962402/suppl/GSM3962402_EV_FM_S4.PeakNorm.bw,EV_FM_Rep2 ATAC-Seq,316833713,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337317,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,F266L_DMSO_Rep1 ATAC-Seq,GSM3962403,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,DMSO control,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962403_F266L_DMSO_S3.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962403/suppl/GSM3962403_F266L_DMSO_S3.PeakNorm.bw,F266L_DMSO_Rep1 ATAC-Seq,364077595,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337313,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,F266L_DMSO_Rep2 ATAC-Seq,GSM3962404,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,DMSO control,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962404_F266L_DMSO_S4.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962404/suppl/GSM3962404_F266L_DMSO_S4.PeakNorm.bw,F266L_DMSO_Rep2 ATAC-Seq,329484021,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337312,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,F266L_E2_Rep1 ATAC-Seq,GSM3962405,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,E2 1h Induction,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962405_F266L_E2_S3.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962405/suppl/GSM3962405_F266L_E2_S3.PeakNorm.bw,F266L_E2_Rep1 ATAC-Seq,393582173,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337311,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
GSE134657,F266L_E2_Rep2 ATAC-Seq,GSM3962406,Public on Nov 19 2020,Jul 22 2019,Nov 20 2020,SRA,1,E2 1h Induction,Homo sapiens,9606,ATCC,DMSO and E2 conditions were subjected to DMSO or E2 treatment for 1h,Cells were seeded in full media; the following day media was changed to either estrogen depleted media (for DMSO and E2 groups) or same DMEM/F12 50/50 full media (for FM); cells were incubated for 72h; the day of cell harvesting media was refreshed,genomic DNA,"Cells were deattached with accutase, spinned down, counted and 100K cells were used to perform Omni-ATAC protocol","ATAC-seq reads were filtered for quality and 3' trimmed for adapter sequences using trimgalore, Reads were aligned to mouse assembly hg38 using bowtie2 (v2.2.2) with default parameters., Read count tables were created using featureCounts v1.6.0., To create density files, the signal was normalised using the scalefactors from DESeq2 converted to BigWig using BEDTools.",GPL16791,"Richard,,Koche",kocher@mskcc.org,Memorial Sloan Kettering Cancer Center,417 E. 68th St.,New York,New York,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE134654, GSE134657",0,GSM3962406_F266L_E2_S4.PeakNorm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3962nnn/GSM3962406/suppl/GSM3962406_F266L_E2_S4.PeakNorm.bw,F266L_E2_Rep2 ATAC-Seq,318683865,BW,M0543L),hg38,BigWig files containing read densities normalized using DESeq2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12337310,https://www.ncbi.nlm.nih.gov/sra?term,MCF7,breast cancer,,,,,,
