GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_treatment_protocol_ch1,BioSample,SRA,disease,germ layer,Transcript abundances were  quantified using kallisto (version 0.43.0; non-default parameters,"To visualize RNA-seq data as signal tracks, down-sampled FASTQ files were aligned to the hg19 genome using HiSat2 (version 2.0.5; non-default parameters",Genome_build,Adaptor sequences were trimmed using cutadapt in paired-end mode (non-default parameters,peaks were called using MACS28 (non-default parameters,Illumina TruSeq adaptor sequences were trimmed using cutadapt in paired-end mode (non-default parameters,Supplementary_files_format_and_content,Reads were aligned to hg19 using bowtie (version 0.12.8; non-default parameters
GSE134745,RNA-Seq_ARPE-19-1,GSM3965455,Public on Jul 23 2020,Jul 23 2019,Jul 23 2020,SRA,1,retinal pigmented epithelium,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965455_RNA-Signal_ARPE-19-1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965455/suppl/GSM3965455_RNA-Signal_ARPE-19-1.bw,RNA-Seq_ARPE-19-1,181547611,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345810,https://www.ncbi.nlm.nih.gov/sra?term,normal,Ectoderm,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_ARPE-19-2,GSM3965456,Public on Jul 23 2020,Jul 23 2019,Jul 23 2020,SRA,1,retinal pigmented epithelium,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965456_RNA-Signal_ARPE-19-2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965456/suppl/GSM3965456_RNA-Signal_ARPE-19-2.bw,RNA-Seq_ARPE-19-2,186106469,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345809,https://www.ncbi.nlm.nih.gov/sra?term,normal,Ectoderm,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_DU145-1,GSM3965457,Public on Jul 23 2020,Jul 23 2019,Jul 23 2020,SRA,1,prostate; metastatic to brain,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965457_RNA-Signal_DU145-1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965457/suppl/GSM3965457_RNA-Signal_DU145-1.bw,RNA-Seq_DU145-1,197437472,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345808,https://www.ncbi.nlm.nih.gov/sra?term,carcinoma,Endoderm,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_DU145-2,GSM3965458,Public on Jul 23 2020,Jul 23 2019,Jul 23 2020,SRA,1,prostate; metastatic to brain,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965458_RNA-Signal_DU145-2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965458/suppl/GSM3965458_RNA-Signal_DU145-2.bw,RNA-Seq_DU145-2,193256074,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345807,https://www.ncbi.nlm.nih.gov/sra?term,carcinoma,Endoderm,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_GM12878-1,GSM3965459,Public on Jul 23 2020,Jul 23 2019,Jul 23 2020,SRA,1,B cell; lymphoblastoid,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965459_RNA-Signal_GM12878-1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965459/suppl/GSM3965459_RNA-Signal_GM12878-1.bw,RNA-Seq_GM12878-1,143903003,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345806,https://www.ncbi.nlm.nih.gov/sra?term,Immortalized with EBV,Mesoderm,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_GM12878-2,GSM3965460,Public on Jul 23 2020,Jul 23 2019,Jul 23 2020,SRA,1,B cell; lymphoblastoid,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965460_RNA-Signal_GM12878-2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965460/suppl/GSM3965460_RNA-Signal_GM12878-2.bw,RNA-Seq_GM12878-2,157994359,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345805,https://www.ncbi.nlm.nih.gov/sra?term,Immortalized with EBV,Mesoderm,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_H1-hESC-1,GSM3965461,Public on Jul 23 2020,Jul 23 2019,Sep 24 2020,SRA,1,Embryonic Stem Cell,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965461_RNA-Signal_H1-hESC-1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965461/suppl/GSM3965461_RNA-Signal_H1-hESC-1.bw,RNA-Seq_H1-hESC-1,226579372,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345804,https://www.ncbi.nlm.nih.gov/sra?term,normal,Primitive,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_H1-hESC-2,GSM3965462,Public on Jul 23 2020,Jul 23 2019,Sep 24 2020,SRA,1,Embryonic Stem Cell,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965462_RNA-Signal_H1-hESC-2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965462/suppl/GSM3965462_RNA-Signal_H1-hESC-2.bw,RNA-Seq_H1-hESC-2,217673891,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345803,https://www.ncbi.nlm.nih.gov/sra?term,normal,Primitive,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_H9-hESC-1,GSM3965463,Public on Jul 23 2020,Jul 23 2019,Sep 24 2020,SRA,1,Embryonic Stem Cell,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965463_RNA-Signal_H9-hESC-1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965463/suppl/GSM3965463_RNA-Signal_H9-hESC-1.bw,RNA-Seq_H9-hESC-1,192427222,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345802,https://www.ncbi.nlm.nih.gov/sra?term,normal,Primitive,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
GSE134745,RNA-Seq_H9-hESC-2,GSM3965464,Public on Jul 23 2020,Jul 23 2019,Sep 24 2020,SRA,1,Embryonic Stem Cell,Homo sapiens,9606,All cell lines were cultured following the manufacturer’s recommendations,genomic DNA,"RNA samples were extracted using the Qiagen All-Prep kit per manufacturer instructions., Libraries were prepared from total RNA using the TruSeq Stranded Total RNA Library Prep Kit per manufacturer instructions. All libraries were sequenced on the Illumina Hiseq 4000",FASTQ files were downsampled to 60 million reads,GPL20301,"Fabian,,Grubert",fabian.grubert@stanford.edu,Stanford University,300 Pasteur Drive,Stanford,94305,USA,Illumina HiSeq 4000,cDNA,genomic,RNA-Seq,"GSE134743, GSE134745",0,GSM3965464_RNA-Signal_H9-hESC-2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3965nnn/GSM3965464/suppl/GSM3965464_RNA-Signal_H9-hESC-2.bw,RNA-Seq_H9-hESC-2,232294069,BW,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12345801,https://www.ncbi.nlm.nih.gov/sra?term,normal,Primitive,"--bias). Transcript sequences (i.e., target sequences) were obtained from Gencode (Release 25; lifted to GRCh37 coordinates).","-X 1000 --fr --no-mixed --no-discordant)7, after which genome-wide coverage tracks were produced using bedtools (bedtools genomecov -bga -split -ibam). Coverage values were scaled by a constant factor (109/total # of reads) to account for differences in sequencing depth.",hg19,,,,,
