GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,Genome_build,tissue,cell type,chip antibody
GSE135026,H3K27me3 ChIP-seq in SEM cells,GSM3983880,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,SEM_H3K27me3,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K27me3 antibody in SEM cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL16791,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983880_SEM_H3K27me3_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983880/suppl/GSM3983880_SEM_H3K27me3_peaks.txt.gz,H3K27me3 ChIP-seq in SEM cells,144277,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390347,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (SEM),Paediatric pro B-cell line derived from ALL with t(4;11)(q21;q23) translocation,Millipore 07-449
GSE135026,H3K27me3 ChIP-seq in THP1 cells,GSM3983882,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,THP1_H3K27me3,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K27me3 antibody in THP1 cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL18573,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983882_THP1_H3K27me3_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983882/suppl/GSM3983882_THP1_H3K27me3_peaks.txt.gz,H3K27me3 ChIP-seq in THP1 cells,2042518,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390381,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (THP1),Paediatric monocytic cell line derived from AML M5 with t(9;11)(q21;q23) translocation,Millipore 07-449
GSE135026,EZH2 ChIP-seq in THP1 cells,GSM3983884,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,THP1_EZH2,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using EZH2 antibody in THP1 cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL16791,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983884_THP1_EZH2_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983884/suppl/GSM3983884_THP1_EZH2_peaks.txt.gz,EZH2 ChIP-seq in THP1 cells,916782,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390379,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (THP1),Paediatric monocytic cell line derived from AML M5 with t(9;11)(q21;q23) translocation,Cell Signalling Technology 5246/4
GSE135026,H3K79me3 ChIP-seq in THP1 cells,GSM3983886,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,THP1_H3K79me3,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K79me3 antibody in THP1 cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL18573,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983886_THP1_H3K79me3_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983886/suppl/GSM3983886_THP1_H3K79me3_peaks.txt.gz,H3K79me3 ChIP-seq in THP1 cells,599115,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390377,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (THP1),Paediatric monocytic cell line derived from AML M5 with t(9;11)(q21;q23) translocation,Diagenode C15410068
GSE135026,H3K4me1 ChIP-seq in ML2 cells,GSM3983888,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,ML2_H3K4me1,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K4me1 antibody in ML2 cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL16791,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983888_ML2_H3K4me1_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983888/suppl/GSM3983888_ML2_H3K4me1_peaks.txt.gz,H3K4me1 ChIP-seq in ML2 cells,1467468,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390375,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (ML2),Monocytic cell line derived from AML M4  after T-NHL/T-ALL with t(6;11)(q27;q23) translocation,Diagenode pAb-194-050/A1863-001P
GSE135026,H3K79me3 ChIP-seq in ALL primograft,GSM3983890,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,Primograft_H3K79me3,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K79me3 antibody in ALL primograft,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL18573,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983890_PT_H3K79me3_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983890/suppl/GSM3983890_PT_H3K79me3_peaks.txt.gz,H3K79me3 ChIP-seq in ALL primograft,523477,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390373,https://www.ncbi.nlm.nih.gov/sra?term,hg19,L826,Presentation ALL patient sample engrafted in mice and harvested from spleen,Diagenode C15410068
GSE135026,H3K27me3 ChIP-seq in RCH-ACV cells,GSM3983892,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,RCH-ACV_H3K27me3,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K27me3 antibody in RCH-ACV cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL16791,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983892_RCH-ACV_H3K27me3_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983892/suppl/GSM3983892_RCH-ACV_H3K27me3_peaks.txt.gz,H3K27me3 ChIP-seq in RCH-ACV cells,413652,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390371,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (RCH-ACV),Paediatric pre B-cell line derived from cALL with t(1;19)(q23;p13) translocation,Millipore 07-449
GSE135026,EZH2 ChIP-seq in RCH-ACV cells,GSM3983894,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,RCH-ACV_EZH2,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using EZH2 antibody in RCH-ACV cells,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL16791,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983894_RCH-ACV_EZH2_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983894/suppl/GSM3983894_RCH-ACV_EZH2_peaks.txt.gz,EZH2 ChIP-seq in RCH-ACV cells,181419,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390369,https://www.ncbi.nlm.nih.gov/sra?term,hg19,Leukemia cell line (RCH-ACV),Paediatric pre B-cell line derived from cALL with t(1;19)(q23;p13) translocation,Cell Signalling Technology 5246/4
GSE135026,H3K4me1 ChIP-seq in MLL-AF4 ALL patient blasts,GSM3983895,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,ALL_H3K4me1,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K4me1 antibody in MLL-AF4 patient blasts,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL18573,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983895_ALL_H3K4me1_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983895/suppl/GSM3983895_ALL_H3K4me1_peaks.txt.gz,H3K4me1 ChIP-seq in MLL-AF4 ALL patient blasts,1452435,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390368,https://www.ncbi.nlm.nih.gov/sra?term,hg19,MLL-AF4 ALL patient blasts,Bone marrow aspirate from a 15-year old MLL-AF4 ALL patient,Diagenode pAb-194-050
GSE135026,H3K4me3 ChIP-seq in MLL-AF4 ALL patient blasts,GSM3983896,Public on Mar 25 2020,Jul 29 2019,Mar 25 2020,SRA,1,ALL_H3K4me3,Homo sapiens,9606,N/A,"Cells were continuously grown in IMDM with 10% FBS, split when they reached a density of 1-2x10e6 cells/ml down to 5x10e5 cells/ml",genomic DNA,"Cells were washed with PBS and fixed in either 1% FA for 10 minutes (histones) or 2mM DSG for 30 minutes and 1% FA for 30 minutes (EZH2). Cells were sonicated to give fragments of 100-300bp followed by IP., DNA libraries were made using the NEBnext ultra DNA library preparation kit for Illumina (Cat no. E7370).",ChIP-seq performed using H3K4me3 antibody in MLL-AF4 patient blasts,"Alignment to the genome (Bowtie) maintaining strict read order, Trim_galore (to remove sequencing adaptors), FLASH (to reconstruct paired end reads into single reads where possible), Removal of PCR duplicates, parsing of informative reads using samtools rmdup, Peak calling using Homer v4.7",GPL18573,"Thomas,A,Milne",thomas.milne@imm.ox.ac.uk,MRC Weatherall Institute of Molecular Medicine,University of Oxford,"John Radcliffe Hospital, Headington",Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE135024, GSE135026",0,GSM3983896_ALL_H3K4me3_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3983nnn/GSM3983896/suppl/GSM3983896_ALL_H3K4me3_peaks.txt.gz,H3K4me3 ChIP-seq in MLL-AF4 ALL patient blasts,607748,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN12390367,https://www.ncbi.nlm.nih.gov/sra?term,hg19,MLL-AF4 ALL patient blasts,Bone marrow aspirate from a 15-year old MLL-AF4 ALL patient,Diagenode pAb-003-050
