GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_phone,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,cell line,treatment,timepoint,replicate,BioSample,SRA
GSE137397,"BT12 cells, Solv_A, ATAC-seq",GSM4078518,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078518_SolvA.lambda_corrected.bkgfilt.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078518/suppl/GSM4078518_SolvA.lambda_corrected.bkgfilt.bw,"BT12 cells, Solv_A, ATAC-seq",879868387,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Solvent,18hours,1,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742342,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, Solv_A, ATAC-seq",GSM4078518,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078518_SolvA.sorted.markdup.human.bam.raw.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078518/suppl/GSM4078518_SolvA.sorted.markdup.human.bam.raw.bw,"BT12 cells, Solv_A, ATAC-seq",240012315,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Solvent,18hours,1,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742342,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, Solv_B, ATAC-seq",GSM4078519,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078519_SolvB.lambda_corrected.bkgfilt.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078519/suppl/GSM4078519_SolvB.lambda_corrected.bkgfilt.bw,"BT12 cells, Solv_B, ATAC-seq",879711629,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Solvent,18hours,2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742341,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, Solv_B, ATAC-seq",GSM4078519,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078519_SolvB.sorted.markdup.human.bam.raw.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078519/suppl/GSM4078519_SolvB.sorted.markdup.human.bam.raw.bw,"BT12 cells, Solv_B, ATAC-seq",241437495,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Solvent,18hours,2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742341,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, Solv_C, ATAC-seq",GSM4078520,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078520_SolvC.lambda_corrected.bkgfilt.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078520/suppl/GSM4078520_SolvC.lambda_corrected.bkgfilt.bw,"BT12 cells, Solv_C, ATAC-seq",879274064,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Solvent,18hours,3,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742340,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, Solv_C, ATAC-seq",GSM4078520,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078520_SolvC.sorted.markdup.human.bam.raw.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078520/suppl/GSM4078520_SolvC.sorted.markdup.human.bam.raw.bw,"BT12 cells, Solv_C, ATAC-seq",224909528,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Solvent,18hours,3,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742340,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, mithramycin 8h_A, ATAC-seq",GSM4078521,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078521_8hA.lambda_corrected.bkgfilt.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078521/suppl/GSM4078521_8hA.lambda_corrected.bkgfilt.bw,"BT12 cells, mithramycin 8h_A, ATAC-seq",879099500,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Mithramycin,8hours,1,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742339,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, mithramycin 8h_A, ATAC-seq",GSM4078521,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078521_8hA.sorted.markdup.human.bam.raw.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078521/suppl/GSM4078521_8hA.sorted.markdup.human.bam.raw.bw,"BT12 cells, mithramycin 8h_A, ATAC-seq",197118885,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Mithramycin,8hours,1,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742339,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, mithramycin 8h_B, ATAC-seq",GSM4078522,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078522_8hB.lambda_corrected.bkgfilt.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078522/suppl/GSM4078522_8hB.lambda_corrected.bkgfilt.bw,"BT12 cells, mithramycin 8h_B, ATAC-seq",879774249,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Mithramycin,8hours,2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742338,https://www.ncbi.nlm.nih.gov/sra?term
GSE137397,"BT12 cells, mithramycin 8h_B, ATAC-seq",GSM4078522,Public on Nov 16 2020,Sep 13 2019,Nov 16 2020,SRA,1,Atypical Teratoid/Rhabdoid Tumor,Homo sapiens,9606,BT12 cells were treated with 100nM mithramycin for 8-hours or 18-hours continous treatment then collected.,"BT12 cells were grown in RPMI-1640 medium (Invitrogen) supplemented with 10% fetal bovine serum (Gemini Bio-Products), 2 mM L-glutamine (Invitrogen), 100 U/mL penicillin and 100 μg/mL streptomycin (Invitrogen). Cell lines were maintained at less than 80% confluency at 37°C and 5% CO2 and confirmed to be mycoplasma negative every 6-months.",genomic DNA,"ATAC-seq samples were extracted as described in Corces et al., Nature Methods, 2017., ATAC-seq libraries were prepared as described in Buenrostro et al., Corces et al., Nature Methods, 2017 with the addition of lambda phage and phiX spike-ins.",Libraries were sequenced using 2x75 bp sequencing on the Illumina NextSeq 500 platform at the Van Andel Research Institute.  Data were demultplexed using bcl2fastq v2.20.0.,GPL18573,"Patrick,,Grohar",groharp@email.chop.edu,2674250494,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE137397, GSE137404",0,GSM4078522_8hB.sorted.markdup.human.bam.raw.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4078nnn/GSM4078522/suppl/GSM4078522_8hB.sorted.markdup.human.bam.raw.bw,"BT12 cells, mithramycin 8h_B, ATAC-seq",267786586,BW,hg19,Bigwig files for raw and lambda corrected (lambda_corrected) peaks from all samples.,BT12,Mithramycin,8hours,2,https://www.ncbi.nlm.nih.gov/biosample/SAMN12742338,https://www.ncbi.nlm.nih.gov/sra?term
