GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,cell type,chip antibody,cell line,treatment,expression,RNA-seq,Genome_build,Supplementary_files_format_and_content,BioSample,SRA
GSE137775,AR_ChIPseq 1,GSM4087681,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_Luf_DMSO_AR_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087681_5_AR_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087681/suppl/GSM4087681_5_AR_treat.bw,AR_ChIPseq 1,189286684,BW,metastatic human prostate cancer cell,"Androgen Receptor ( Santa Cruz , sc-816x, lot J216)",LNCaP,DMSO for 4 days,LNCaP expressing Luciferase,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797702,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,AR_ChIPseq 2,GSM4087682,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_CREB5_DMSO_AR_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087682_6_AR_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087682/suppl/GSM4087682_6_AR_treat.bw,AR_ChIPseq 2,328107383,BW,metastatic human prostate cancer cell,"Androgen Receptor ( Santa Cruz , sc-816x, lot J216)",LNCaP,DMSO for 4 days,LNCaP expressing CREB5,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797701,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,AR_ChIPseq 3,GSM4087683,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_Luf_Enzalutamide_AR_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087683_7_AR_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087683/suppl/GSM4087683_7_AR_treat.bw,AR_ChIPseq 3,319876261,BW,metastatic human prostate cancer cell,"Androgen Receptor ( Santa Cruz , sc-816x, lot J216)",LNCaP,2.5 uM enzalutamide for  4 days,LNCaP expressing Luciferase,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797700,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,AR_ChIPseq 4,GSM4087684,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_CREB5_Enzalutamide_AR_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087684_8_AR_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087684/suppl/GSM4087684_8_AR_treat.bw,AR_ChIPseq 4,309476059,BW,metastatic human prostate cancer cell,"Androgen Receptor ( Santa Cruz , sc-816x, lot J216)",LNCaP,2.5 uM enzalutamide for  4 days,LNCaP expressing CREB5,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797699,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,CREB5_V5_ChIPseq 1,GSM4087685,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_Luf_DMSO_CREB5_V5_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087685_5_V5_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087685/suppl/GSM4087685_5_V5_treat.bw,CREB5_V5_ChIPseq 1,296643490,BW,metastatic human prostate cancer cell,"CREB5_V5 (Cell signaling, #13202, lot2 )",LNCaP,DMSO for 4 days,LNCaP expressing Luciferase,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797698,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,CREB5_V5_ChIPseq 2,GSM4087686,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_CREB5_DMSO_CREB5_V5_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087686_6_V5_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087686/suppl/GSM4087686_6_V5_treat.bw,CREB5_V5_ChIPseq 2,291281260,BW,metastatic human prostate cancer cell,"CREB5_V5 (Cell signaling, #13202, lot2 )",LNCaP,DMSO for 4 days,LNCaP expressing CREB5,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797697,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,CREB5_V5_ChIPseq 3,GSM4087687,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_Luf_Enzalutamide_CREB5_V5_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087687_7_V5_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087687/suppl/GSM4087687_7_V5_treat.bw,CREB5_V5_ChIPseq 3,309376110,BW,metastatic human prostate cancer cell,"CREB5_V5 (Cell signaling, #13202, lot2 )",LNCaP,2.5 uM enzalutamide for  4 days,LNCaP expressing Luciferase,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797696,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,CREB5_V5_ChIPseq 4,GSM4087688,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_CREB5_Enzalutamide_CREB5_V5_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087688_8_V5_treat.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087688/suppl/GSM4087688_8_V5_treat.bw,CREB5_V5_ChIPseq 4,290486194,BW,metastatic human prostate cancer cell,"CREB5_V5 (Cell signaling, #13202, lot2 )",LNCaP,2.5 uM enzalutamide for  4 days,LNCaP expressing CREB5,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797695,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,H3K27Ac_ChIPseq 1,GSM4087689,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_Luf_DMSO_H3K27Ac_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087689_K27IP_0202_5.rep1_treat_pileup.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087689/suppl/GSM4087689_K27IP_0202_5.rep1_treat_pileup.bw,H3K27Ac_ChIPseq 1,143429631,BW,metastatic human prostate cancer cell,"H3K27Ac ( Diagenode, C15410196 )",LNCaP,DMSO for 4 days,LNCaP expressing Luciferase,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797694,https://www.ncbi.nlm.nih.gov/sra?term
GSE137775,H3K27Ac_ChIPseq 2,GSM4087690,Public on Sep 21 2019,Sep 20 2019,Sep 22 2019,SRA,1,metastatic lymph node lesion of human prostate cancer,Homo sapiens,9606,LNCaP cells expressing either luciferase or CREB5 were cultured in either 2.5uM enzalutamide or DMSO control for 4 days,"LNCaP cells were maintained in phenol red free RPMI with glutamine and 10% FBS and, subcultured soon after reach 80% confluence.",genomic DNA,"For ChIPseq, Lysates were sonicated,enriched with antibody for ChIP, decrosslinked, purified and prepped as library for the subsequent sequencing. For ATACseq, the purified intact nuclei were treated Transposase, extracted and prepped as library for further sequencing. For RNAseq, extracted RNA using collected from the cells using RNeasy plus kit (74104, Qiagen)  was prepped as library for RNA sequencing., For ChIP seq, samples were prepared as library using using the ThruPLEX-FD Prep Kit (Rubicon Genomics, Ann Arbor, MI) with Illumina indexes. For ATACseq, TN5 (Nextera DNA Library Prep Kit) treated samples were amplified with index_primers and prepped as library.",LNCaP_CREB5_DMSO_H3K27Ac_ChIPseq,"Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used., Gene expression is quantitated with Cufflinks for unsupervised analysis",GPL18573,"Justin,,Hwang",Medical Oncology,Dana farber Cancer Institute,450 Brookline Ave Dana Bldg,Boston,MA,02215,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE137775,0,GSM4087690_K27IP_0202_6.rep1_treat_pileup.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4087nnn/GSM4087690/suppl/GSM4087690_K27IP_0202_6.rep1_treat_pileup.bw,H3K27Ac_ChIPseq 2,146773032,BW,metastatic human prostate cancer cell,"H3K27Ac ( Diagenode, C15410196 )",LNCaP,DMSO for 4 days,LNCaP expressing CREB5,aligned with Tophat 2.0.2,hg19,Cuff_Gene_Counts.csv,https://www.ncbi.nlm.nih.gov/biosample/SAMN12797693,https://www.ncbi.nlm.nih.gov/sra?term
