GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,BioSample,SRA,growth media,cell line,mycn status,chip antibody
GSE138315,COGN415 NMYC ChIP-Seq,GSM4104624,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104624_COGN415-NMYC-20171205.macs2.SPMR.Input.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104624/suppl/GSM4104624_COGN415-NMYC-20171205.macs2.SPMR.Input.sorted.bw,COGN415 NMYC ChIP-Seq,382606731,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889080,https://www.ncbi.nlm.nih.gov/sra?term,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",COGN415,amp,"N-MYC (Active Motif, #61185)"
GSE138315,COGN415 Input ChIP-Seq,GSM4104625,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104625_COGN415-NMYC-20171205.macs2.SPMR.IP.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104625/suppl/GSM4104625_COGN415-NMYC-20171205.macs2.SPMR.IP.sorted.bw,COGN415 Input ChIP-Seq,287753494,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889078,https://www.ncbi.nlm.nih.gov/sra?term,"IMDM, 20% FBS, 2mM L-glutamine, 1:1000 ITS Premix Supplement",COGN415,amp,none
GSE138315,KELLY CMYC ChIP-Seq,GSM4104626,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104626_KELLY-CMYC-20171205.macs2.SPMR.Input.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104626/suppl/GSM4104626_KELLY-CMYC-20171205.macs2.SPMR.Input.sorted.bw,KELLY CMYC ChIP-Seq,315905823,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889077,https://www.ncbi.nlm.nih.gov/sra?term,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",KELLY,amp,"C-MYC (Santa Cruz N262, #sc-764)"
GSE138315,KELLY Input ChIP-Seq,GSM4104627,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104627_KELLY-CMYC-20171205.macs2.SPMR.IP.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104627/suppl/GSM4104627_KELLY-CMYC-20171205.macs2.SPMR.IP.sorted.bw,KELLY Input ChIP-Seq,191024649,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889056,https://www.ncbi.nlm.nih.gov/sra?term,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",KELLY,amp,none
GSE138315,LAN5 NMYC ChIP-Seq,GSM4104628,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104628_LAN5-NMYC-20171205.macs2.SPMR.Input.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104628/suppl/GSM4104628_LAN5-NMYC-20171205.macs2.SPMR.Input.sorted.bw,LAN5 NMYC ChIP-Seq,424812212,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889055,https://www.ncbi.nlm.nih.gov/sra?term,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",LAN5,amp,"N-MYC (Active Motif, #61185)"
GSE138315,LAN5 Input ChIP-Seq,GSM4104629,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104629_LAN5-NMYC-20171205.macs2.SPMR.IP.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104629/suppl/GSM4104629_LAN5-NMYC-20171205.macs2.SPMR.IP.sorted.bw,LAN5 Input ChIP-Seq,280431980,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889054,https://www.ncbi.nlm.nih.gov/sra?term,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",LAN5,amp,none
GSE138315,NB1643 NMYC ChIP-Seq,GSM4104630,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104630_NB1643-NMYC-20171205.macs2.SPMR.Input.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104630/suppl/GSM4104630_NB1643-NMYC-20171205.macs2.SPMR.Input.sorted.bw,NB1643 NMYC ChIP-Seq,463200951,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889053,https://www.ncbi.nlm.nih.gov/sra?term,"IMDM, 20% FBS, 1% Penicillin/Streptomycin, 2mM L-glutamine",NB1643,amp,"N-MYC (Active Motif, #61185)"
GSE138315,NB1643 Input ChIP-Seq,GSM4104631,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104631_NB1643-NMYC-20171205.macs2.SPMR.IP.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104631/suppl/GSM4104631_NB1643-NMYC-20171205.macs2.SPMR.IP.sorted.bw,NB1643 Input ChIP-Seq,218440024,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889052,https://www.ncbi.nlm.nih.gov/sra?term,"IMDM, 20% FBS, 1% Penicillin/Streptomycin, 2mM L-glutamine",NB1643,amp,none
GSE138315,NB69 CMYC ChIP-Seq,GSM4104632,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104632_NB69-CMYC-20171205.macs2.SPMR.IP.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104632/suppl/GSM4104632_NB69-CMYC-20171205.macs2.SPMR.IP.sorted.bw,NB69 CMYC ChIP-Seq,279695520,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889051,https://www.ncbi.nlm.nih.gov/sra?term,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",NB69,non-amp,"C-MYC (Santa Cruz N262, #sc-764)"
GSE138315,NB69 NMYC ChIP-Seq,GSM4104633,Public on Nov 03 2019,Oct 02 2019,Nov 05 2019,SRA,1,neuroblastoma-derived cell line,Homo sapiens,9606,N/A,Cells were grown up to 150 mm plates with the appropriate media.,genomic DNA,"Cells were crosslinked, flash frozen, and sent to Active Motif. According to Active Motif protocol, cells were lysed, sonicated, and then DNA-protein complexes were isolated with antibodies. Samples were reverse-crosslinked and DNA was purified., Illumina libraries were prepared by Active Motif using standard consecutive enzymatic steps of end-polishing, dA-addition, and adaptor ligation. After 15 cycles of PCR amplification, the resulting DNA libraries were quantified and sequenced on Illumina NextSeq 500.","FASTQ sequences were adapter and quality trimmed using TrimGalore., Phred scores were calculated per sample and used during hg19 alignment with bwa samse., Picard tools was used to remove duplicate reads., Fragment sizes were estimated using MaSC and these values were used as input into MACS2 for narrow peak calling., Peaks were called significant using a q-value cut off of 0.05 and results were returned in units of signal per million reads.",GPL18573,"Jo Lynne,,Rokita",rokita@email.chop.edu,Children's Hospital of Philadelphia,3501 Civic Center Blvd,Philadelphia,PA,19104,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE138295, GSE138315",0,GSM4104633_NB69-NMYC-20171205.macs2.SPMR.IP.sorted.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4104nnn/GSM4104633/suppl/GSM4104633_NB69-NMYC-20171205.macs2.SPMR.IP.sorted.bw,NB69 NMYC ChIP-Seq,189499950,BW,hg19,bigwig,https://www.ncbi.nlm.nih.gov/biosample/SAMN12889049,https://www.ncbi.nlm.nih.gov/sra?term,"RPMI 1640, 10% FBS, 1% Penicillin/Streptomycin, 2mM L-Glutamine",NB69,non-amp,"N-MYC (Active Motif, #61185)"
