GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_description,BioSample,cell line,tumour type,chip antibody,Genome_build,Supplementary_files_format_and_content,tissue,treatment,genotype,tumor type,genotype/variation,SRA
GSE138460,LASCPC1_RNAseq,GSM4109388,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109388_LASCPC1_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109388/suppl/GSM4109388_LASCPC1_FPKM.txt.gz,LASCPC1_RNAseq,627541,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915917,LASCPC1,Prostate neuroendocrine,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,,
GSE138460,NCI-H660_RNAseq,GSM4109389,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109389_NCIH660_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109389/suppl/GSM4109389_NCIH660_FPKM.txt.gz,NCI-H660_RNAseq,630873,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915916,NCI-H660,Prostate neuroendocrine,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,,
GSE138460,42D-siCtrl_RNAseq,GSM4109390,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109390_42D-siCtrl_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109390/suppl/GSM4109390_42D-siCtrl_FPKM.txt.gz,42D-siCtrl_RNAseq,647680,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915915,enzalutamide (ENZ)-resistant tNEPC 42D,Prostate neuroendocrine,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,42D cells with siCtrl,
GSE138460,42D-siAR_RNAseq,GSM4109391,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109391_42D-siAR_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109391/suppl/GSM4109391_42D-siAR_FPKM.txt.gz,42D-siAR_RNAseq,631579,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915914,enzalutamide (ENZ)-resistant tNEPC 42D,Prostate neuroendocrine,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,42D cells with siRNA-mediated AR silencing,
GSE138460,16D-crEZH2_3_RNAseq,GSM4109392,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109392_16D-crEZH2_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109392/suppl/GSM4109392_16D-crEZH2_FPKM.txt.gz,16D-crEZH2_3_RNAseq,659692,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915972,CRPC (16D),Prostate adeno,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,16D cells with CRISPR-mediated EZH2 knockout,
GSE138460,16D_EZH2-350D_RNAseq,GSM4109393,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109393_16D-350D_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109393/suppl/GSM4109393_16D-350D_FPKM.txt.gz,16D_EZH2-350D_RNAseq,657175,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915971,CRPC (16D),Prostate adeno,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,"16D cells with CRISPR-mediated EZH2 knockout, stably expressing EZH2-T350D mutant",
GSE138460,16D_EZH2-350A_RNAseq,GSM4109394,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109394_16D-350A_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109394/suppl/GSM4109394_16D-350A_FPKM.txt.gz,16D_EZH2-350A_RNAseq,659915,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915970,CRPC (16D),Prostate adeno,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,"16D cells with CRISPR-mediated EZH2 knockout, stably expressing EZH2-T350A mutant",
GSE138460,16D_Reporter-Neg_RNAseq,GSM4109395,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109395_Reporter-Neg_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109395/suppl/GSM4109395_Reporter-Neg_FPKM.txt.gz,16D_Reporter-Neg_RNAseq,631052,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915969,CRPC (16D),Prostate adeno,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,"FACS isolated 16D reporter cells following 8 day enzalutamide treatment, negative for both ASCL1:mCherry and OCT4:GFP",
GSE138460,16D_Reporter-mCherry_RNAseq,GSM4109396,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109396_Reporter-mCherry_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109396/suppl/GSM4109396_Reporter-mCherry_FPKM.txt.gz,16D_Reporter-mCherry_RNAseq,632216,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915933,CRPC (16D),Prostate adeno,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,"FACS isolated 16D reporter cells following 8 day enzalutamide treatment, expressing ASCL1:mCherry",
GSE138460,16D_Reporter-GFP_RNAseq,GSM4109397,Public on Jul 15 2021,Oct 04 2019,Jul 15 2021,SRA,1,Human prostate cancer cell line,Homo sapiens,9606,"Cell lines were treated with 10 µM enzalutamide (ENZ) or 10 μM GSK126, as indicated","LNCaP, CRPC (16D), and enzalutamide (ENZ)-resistant tNEPC (42D, 42F) cell lines were cultured in RPMI-1640 media containing 10% fetal bovine serum, with the ENZ-resistant cell lines supplemented with 10 µmol/L ENZ. LASCPC-1 and NCI-H660 cell lines were cultured in HITES media, formulated as follows: RPMI-1640, 5% FBS, 10 nM hydrocortisone, 10 nM β-estradiol, 1x Insulin-Transferrin-Selenium, 1x GlutaMAX.",total RNA,"Total RNA was isolated using the PureLink RNA Mini Kit (Thermo, #12183018A) following manufacturer’s procedure, Library constructions were performed using the NEBnext Ultra ii Stranded RNA Library Prep Kit. Sequencing was performed on an Illumina NextSeq 500 to generate 2x42-bp paired-end reads.","For RNA-seq, data was de-multiplexed using bcl2fastq2 Conversion Software (version 2.20) and the resultant read sequences were aligned to the hg19 human reference genome using STAR aligner. Assembly and differential expression was estimated using Cufflinks software (version 2.2.1) available through the Illumina BaseSpace Sequence Hub. Expression levels (FPMK) were estimated by counting all nucleotides mapped to each gene and were normalized by the total number of mapped nucleotides (per million) and the gene length (per kb)., For ChIP-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Alignments with quality less than 60 were filtered out (leaving only uniquely mapped reads) using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value , For ATAC-seq, reads were aligned to the hg38 human reference genome using BWA-MEM software (version 0.7.17) with default parameters. Reads with alignment quality less than 60 were filtered out using Samtools software (version 1.9). Peaks were called using MACS2 (version 2.1.2) with FDR q-value ",GPL18573,"Amina,,Zoubeidi",azoubeidi@prostatecentre.com,Vancouver Prostate Centre,2660 Oak Street,Vancouver,BC,V6H 3Z6,Canada,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE138460,0,GSM4109397_Reporter-GFP_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4109nnn/GSM4109397/suppl/GSM4109397_Reporter-GFP_FPKM.txt.gz,16D_Reporter-GFP_RNAseq,631423,TXT,,https://www.ncbi.nlm.nih.gov/biosample/SAMN12915932,CRPC (16D),Prostate adeno,n/a,"hg19 (RNA-seq), hg38 (ChIP-seq, ATAC-seq)","For RNA-seq, tab-delimited files contain FPKM values for each sample. For ChIP-seq and ATAC-seq, bigWig files were generated using DeepTools bamCoverage command with bin size of 25.",,,,,"FACS isolated 16D reporter cells following 8 day enzalutamide treatment, expressing OCT4:GFP",
