GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_description,tissue,cell type,genotype,Raw sequencing data was first filtered by Trimmomatic (version,Genome_build,Supplementary_files_format_and_content,BioSample,SRA,chip antibody
GSE138657,RNA-seq_HCT116,GSM4114982,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,polyA RNA,"HCT116 cells were further purified from Pancreatic cancer tissue  .mRNAs were extracted from samples using TRIzol (Invitrogen) following the methods by Chomczynski, RNA libraries were prepared for sequencing using standard Illumina protocols","Reads mapped to the exon regions of each gene were counted by featurecouts (Subread-1.5.1; Bioconductor) and FPKMs were calculated. Genes differential expressed between groups were identified using the edgeR package, A corrected P-value cutoff of 0.05 and Fold-change cutoff of 2 were used to judge the statistical significance of gene expression differences.",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,"GSE138647, GSE138657",0,GSM4114982_HCT116-FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4114nnn/GSM4114982/suppl/GSM4114982_HCT116-FPKM.txt.gz,RNA-seq_HCT116,5154971,TXT,,Colorectal cancer,HCT116 cells,Oxaliplatin-unresistant,"0.36), low-quality reads were discarded and adaptor sequences were trimmed",hg19,tab-delimited text files include FPKM values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001027,https://www.ncbi.nlm.nih.gov/sra?term,
GSE138657,RNA-seq_HCT116OxR,GSM4114983,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,polyA RNA,"HCT116 cells were further purified from Pancreatic cancer tissue  .mRNAs were extracted from samples using TRIzol (Invitrogen) following the methods by Chomczynski, RNA libraries were prepared for sequencing using standard Illumina protocols","Reads mapped to the exon regions of each gene were counted by featurecouts (Subread-1.5.1; Bioconductor) and FPKMs were calculated. Genes differential expressed between groups were identified using the edgeR package, A corrected P-value cutoff of 0.05 and Fold-change cutoff of 2 were used to judge the statistical significance of gene expression differences.",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,cDNA,transcriptomic,RNA-Seq,"GSE138647, GSE138657",0,GSM4114983_HCT116OxR-FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4114nnn/GSM4114983/suppl/GSM4114983_HCT116OxR-FPKM.txt.gz,RNA-seq_HCT116OxR,4943530,TXT,,Colorectal cancer,HCT116 cells,Oxaliplatin-resistant,"0.36), low-quality reads were discarded and adaptor sequences were trimmed",hg19,tab-delimited text files include FPKM values for each Sample,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001026,https://www.ncbi.nlm.nih.gov/sra?term,
GSE138657,Hi-C_HCT116,GSM4115516,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"The cross-linked cells were lysed in lysis buffer,fragmentation of the genome using restriction enzymes, Hi-C libraries were prepared for sequencing using standard Illumina protocols","The BWA package was used to map the  sequences against the human reference genome with the parameter -n 0. Mapped  reads with MAPQ quality scores ≥20 were chosen for further analysis., We applied the ICE  method to normalize the interaction matrix for different resolutions, If a region between two adjacent boundaries was less than 400 kb, the region was  marked as a TAD boundary, The Juicer pipeline’s HiCCUPS was applied for discovery of locally enriched  peaks",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,other,genomic,Hi-C,"GSE138652, GSE138657",0,GSM4115516_diffloopgene_HCT116.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115516/suppl/GSM4115516_diffloopgene_HCT116.txt.gz,Hi-C_HCT116,9781,TXT,,Colorectal cancer,HCT116 cells,Oxaliplatin-unresistant,"0.36), low-quality reads were discarded and adaptor sequences were trimmed",hg19,all the locally  enriched peaks were determined by HiCCUPS,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001580,https://www.ncbi.nlm.nih.gov/sra?term,
GSE138657,Hi-C_HCT116OxR,GSM4115517,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"The cross-linked cells were lysed in lysis buffer,fragmentation of the genome using restriction enzymes, Hi-C libraries were prepared for sequencing using standard Illumina protocols","The BWA package was used to map the  sequences against the human reference genome with the parameter -n 0. Mapped  reads with MAPQ quality scores ≥20 were chosen for further analysis., We applied the ICE  method to normalize the interaction matrix for different resolutions, If a region between two adjacent boundaries was less than 400 kb, the region was  marked as a TAD boundary, The Juicer pipeline’s HiCCUPS was applied for discovery of locally enriched  peaks",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,other,genomic,Hi-C,"GSE138652, GSE138657",0,GSM4115517_diffloopgene_HCT116OxR.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115517/suppl/GSM4115517_diffloopgene_HCT116OxR.txt.gz,Hi-C_HCT116OxR,2835,TXT,,Colorectal cancer,HCT116 cells,Oxaliplatin-resistant,"0.36), low-quality reads were discarded and adaptor sequences were trimmed",hg19,all the locally  enriched peaks were determined by HiCCUPS,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001579,https://www.ncbi.nlm.nih.gov/sra?term,
GSE138657,H3K4me1_HCT116,GSM4115598,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody., ChIP-seq libraries were prepared for sequencing using standard Illumina protocols","Reads were aligned to the hg19 human genome with Bowtie2 2.1.0, MACS2 2.1.1 was used for peak calling (p value threshold ",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,"GSE138654, GSE138657",0,GSM4115598_H3K4me1_HCT116_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115598/suppl/GSM4115598_H3K4me1_HCT116_peaks.txt.gz,H3K4me1_HCT116,2052473,TXT,H3K4me1_HCT116,Colorectal cancer,,Oxaliplatin-unresistant,,hg19,all the locally  enriched peaks were determined by MACS2 2.1.1,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001578,https://www.ncbi.nlm.nih.gov/sra?term,"H3K4me1(abcam,ab8895)"
GSE138657,H3K4me1_HCT116OxR,GSM4115599,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody., ChIP-seq libraries were prepared for sequencing using standard Illumina protocols","Reads were aligned to the hg19 human genome with Bowtie2 2.1.0, MACS2 2.1.1 was used for peak calling (p value threshold ",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,"GSE138654, GSE138657",0,GSM4115599_H3K4me1_HCT116OxR_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115599/suppl/GSM4115599_H3K4me1_HCT116OxR_peaks.txt.gz,H3K4me1_HCT116OxR,2534002,TXT,H3K4me1_HCT116OxR,Colorectal cancer,,Oxaliplatin-resistant,,hg19,all the locally  enriched peaks were determined by MACS2 2.1.1,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001577,https://www.ncbi.nlm.nih.gov/sra?term,"H3K4me1(abcam,ab8895)"
GSE138657,H3K4me3_HCT116,GSM4115600,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody., ChIP-seq libraries were prepared for sequencing using standard Illumina protocols","Reads were aligned to the hg19 human genome with Bowtie2 2.1.0, MACS2 2.1.1 was used for peak calling (p value threshold ",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,"GSE138654, GSE138657",0,GSM4115600_H3K4me3_HCT116_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115600/suppl/GSM4115600_H3K4me3_HCT116_peaks.txt.gz,H3K4me3_HCT116,647751,TXT,H3K4me3_HCT116,Colorectal cancer,,Oxaliplatin-unresistant,,hg19,all the locally  enriched peaks were determined by MACS2 2.1.1,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001576,https://www.ncbi.nlm.nih.gov/sra?term,"H3K4me3(abcam,ab8580)"
GSE138657,H3K4me3_HCT116OxR,GSM4115601,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody., ChIP-seq libraries were prepared for sequencing using standard Illumina protocols","Reads were aligned to the hg19 human genome with Bowtie2 2.1.0, MACS2 2.1.1 was used for peak calling (p value threshold ",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,"GSE138654, GSE138657",0,GSM4115601_H3K4me3_HCT116OxR_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115601/suppl/GSM4115601_H3K4me3_HCT116OxR_peaks.txt.gz,H3K4me3_HCT116OxR,801288,TXT,H3K4me3_HCT116OxR,Colorectal cancer,,Oxaliplatin-resistant,,hg19,all the locally  enriched peaks were determined by MACS2 2.1.1,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001575,https://www.ncbi.nlm.nih.gov/sra?term,"H3K4me3(abcam,ab8580)"
GSE138657,H3K27ac_HCT116,GSM4115602,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody., ChIP-seq libraries were prepared for sequencing using standard Illumina protocols","Reads were aligned to the hg19 human genome with Bowtie2 2.1.0, MACS2 2.1.1 was used for peak calling (p value threshold ",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,"GSE138654, GSE138657",0,GSM4115602_H3K27ac_HCT116_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115602/suppl/GSM4115602_H3K27ac_HCT116_peaks.txt.gz,H3K27ac_HCT116,1626335,TXT,H3K27ac_HCT116,Colorectal cancer,,Oxaliplatin-unresistant,,hg19,all the locally  enriched peaks were determined by MACS2 2.1.1,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001574,https://www.ncbi.nlm.nih.gov/sra?term,"H3K27ac(abcam,ab4729)"
GSE138657,H3K27ac_HCT116OxR,GSM4115603,Public on Oct 01 2021,Oct 09 2019,Oct 01 2021,SRA,1,HCT116 cells,Homo sapiens,9606,genomic DNA,"Lysates were clarified from sonicated nuclei and histone-DNA complexes were isolated with antibody., ChIP-seq libraries were prepared for sequencing using standard Illumina protocols","Reads were aligned to the hg19 human genome with Bowtie2 2.1.0, MACS2 2.1.1 was used for peak calling (p value threshold ",GPL11154,"lian,qing,jiao",wangyunshan135@126.com,the Second Hospital of Shandong University,247 Beiyuan Road,Ji'nan,Shandong Province,250033,China,Illumina HiSeq 2000,ChIP,genomic,ChIP-Seq,"GSE138654, GSE138657",0,GSM4115603_H3K27ac_HCT116OxR_peaks.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4115nnn/GSM4115603/suppl/GSM4115603_H3K27ac_HCT116OxR_peaks.txt.gz,H3K27ac_HCT116OxR,1604736,TXT,H3K27ac_HCT116OxR,Colorectal cancer,,Oxaliplatin-resistant,,hg19,all the locally  enriched peaks were determined by MACS2 2.1.1,https://www.ncbi.nlm.nih.gov/biosample/SAMN13001572,https://www.ncbi.nlm.nih.gov/sra?term,"H3K27ac(abcam,ab4729)"
