GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_description,BioSample,SRA,Genome_build,Supplementary_files_format_and_content,strain,cell type,treatment,antibody,chip antibody
GSE138698,RNA-Seq preA d0 rep1,GSM4116400,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116400_WJL2018_001.CD8.preA.d0.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116400/suppl/GSM4116400_WJL2018_001.CD8.preA.d0.rpkm.gz,RNA-Seq preA d0 rep1,563317,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011622,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, no cytokine, d0",,
GSE138698,RNA-Seq preA IL-2 d2 rep1,GSM4116401,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116401_WJL2018_002.CD8.preA.IL2.d2.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116401/suppl/GSM4116401_WJL2018_002.CD8.preA.IL2.d2.rpkm.gz,RNA-Seq preA IL-2 d2 rep1,562422,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011621,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, IL-2 d2",,
GSE138698,RNA-Seq preA H9 d2 rep1,GSM4116402,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116402_WJL2018_003.CD8.preA.H9.d2.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116402/suppl/GSM4116402_WJL2018_003.CD8.preA.H9.d2.rpkm.gz,RNA-Seq preA H9 d2 rep1,560793,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011620,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, H9 d2",,
GSE138698,RNA-Seq preA H9T d2 rep1,GSM4116403,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116403_WJL2018_004.CD8.preA.H9T.d2.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116403/suppl/GSM4116403_WJL2018_004.CD8.preA.H9T.d2.rpkm.gz,RNA-Seq preA H9T d2 rep1,562440,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011619,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, H9T d2",,
GSE138698,RNA-Seq preA IL-2 d4 rep1,GSM4116404,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116404_WJL2018_005.CD8.preA.IL2.d4.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116404/suppl/GSM4116404_WJL2018_005.CD8.preA.IL2.d4.rpkm.gz,RNA-Seq preA IL-2 d4 rep1,561846,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011618,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, IL-2 d4",,
GSE138698,RNA-Seq preA H9 d4 rep1,GSM4116405,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116405_WJL2018_006.CD8.preA.H9.d4.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116405/suppl/GSM4116405_WJL2018_006.CD8.preA.H9.d4.rpkm.gz,RNA-Seq preA H9 d4 rep1,561784,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011617,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, H9 d4",,
GSE138698,RNA-Seq preA H9T d4 rep1,GSM4116406,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116406_WJL2018_007.CD8.preA.H9T.d4.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116406/suppl/GSM4116406_WJL2018_007.CD8.preA.H9T.d4.rpkm.gz,RNA-Seq preA H9T d4 rep1,558032,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011616,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, H9T d4",,
GSE138698,RNA-Seq preA IL-2 d6 rep1,GSM4116407,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116407_WJL2018_008.CD8.preA.IL2.d6.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116407/suppl/GSM4116407_WJL2018_008.CD8.preA.IL2.d6.rpkm.gz,RNA-Seq preA IL-2 d6 rep1,560200,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011615,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, IL-2 d6",,
GSE138698,RNA-Seq preA H9 d6 rep1,GSM4116408,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116408_WJL2018_009.CD8.preA.H9.d6.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116408/suppl/GSM4116408_WJL2018_009.CD8.preA.H9.d6.rpkm.gz,RNA-Seq preA H9 d6 rep1,560580,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011614,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, H9 d6",,
GSE138698,RNA-Seq preA H9T d6 rep1,GSM4116409,Public on Jul 06 2021,Oct 10 2019,Jul 07 2021,SRA,1,spleen,Mus musculus,10090,"Purified cells were activated using plate-bound anti-CD3 (2 mg/ml) plus soluble anti-CD28 (1 mg/ml) monoclonal antibodies for two days. After resting overnight in the absence of cytokine, cells were washed and cultured with 1 mg/ml MSA conjugated IL-2, H9 or H9T (unless otherwise specified).",CD8+ T lymphocytes were isolated using the EasySep Mouse CD8+ T cell isolation kit (STEMCELL #19853) and cultured in RPMI-1640 medium (ATCC) supplemented with 10% FBS and 50 mM b-mercaptoethanol,total RNA,"For ChIP-seq, DNA libraries were prepared with the KAPA LTP Library Preparation Kit and barcoded with NEXTflex DNA barcodes. For ATAC-seq, Nuclei were then used for the transposition reaction with the Nextera DNA Library Preparation kit at 37C for 30 min. DNA was purified with the Zymo DNA recovery kit. For RNA-seq, RNA was extracted using the Zymo RNA miniprep kit (Zymo Research), and 500 ng RNA was used for library preparation with the Kapa mRNA HyperPrep Kit (KK8580, Kapa Biosystems) and indexed with NEXTflex DNA Barcodes-24. After the final amplification, samples were loaded onto 2% E-Gel pre-cast gels (ThermoFisher), and 250 to 400 bp DNA fragments were recovered and purified with Zymoclean Gel DNA Recovery Kit (Zymo Research)., After quantification by Qubit (Invitrogen), barcoded samples were mixed and sequenced on an Illumina Hi Seq3000 system.","Sequenced reads were aligned to the mm10 genome assembly using Bowtie 2.2.6 and Tophat 2.2.1, Aligned reads are converted to BAM files using samtools v0.1.8. BAM files are subsequently converted to BED files using bedtools v2.25.0. MACS v1.4.2 is used to call peaks using the BED files. Unpublished python scripts were used to calculate RPKM (reads per kilobase per million reads) to normalize gene expression values for RNA-Seq data. R package edgeR was used to identify differentially expressed genes or differential ATAC-Seq peaks among different conditions.",GPL21493,"Peng,,Li",peng.li@nih.gov,LMI,NHLBI,NIH,9000 Rockville Pike,Bethesda,MD,20892,USA,Illumina HiSeq 3000,cDNA,transcriptomic,RNA-Seq,GSE138698,0,GSM4116409_WJL2018_010.CD8.preA.H9T.d6.rpkm.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4116nnn/GSM4116409/suppl/GSM4116409_WJL2018_010.CD8.preA.H9T.d6.rpkm.gz,RNA-Seq preA H9T d6 rep1,559349,RPKM,,https://www.ncbi.nlm.nih.gov/biosample/SAMN13011613,https://www.ncbi.nlm.nih.gov/sra?term,mm10,"abundance measurements, bed",C57BL/6N,CD8+ T cells,"pre-activated, H9T d6",,
