GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,genome build,processed data files format and content,tissue,progression,genotype/variation,age,gender,Genome_build,Supplementary_files_format_and_content,strain,We selected the highest quality barcodes for each case based on two criteria
GSE138794,SF11964_snATAC,GSM4119513,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020373,GSE138794,0,GSM4119513_SF11964_snATAC_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119513/suppl/GSM4119513_SF11964_snATAC_barcodes.tsv.gz,SF11964_snATAC,25609,TSV,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDHR132H mutant Astrocytoma,64,Male,,,,
GSE138794,SF11964_snATAC,GSM4119513,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020373,GSE138794,0,GSM4119513_SF11964_snATAC_matrix.mtx.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119513/suppl/GSM4119513_SF11964_snATAC_matrix.mtx.gz,SF11964_snATAC,132816845,MTX,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDHR132H mutant Astrocytoma,64,Male,,,,
GSE138794,SF11964_snATAC,GSM4119513,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020373,GSE138794,0,GSM4119513_SF11964_snATAC_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119513/suppl/GSM4119513_SF11964_snATAC_peaks.bed.gz,SF11964_snATAC,690316,BED,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDHR132H mutant Astrocytoma,64,Male,,,,
GSE138794,SF12017_snATAC,GSM4119514,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020371,GSE138794,0,GSM4119514_SF12017_snATAC_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119514/suppl/GSM4119514_SF12017_snATAC_barcodes.tsv.gz,SF12017_snATAC,842,TSV,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDH1 Mutant astrocytoma G2,55,Male,,,,
GSE138794,SF12017_snATAC,GSM4119514,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020371,GSE138794,0,GSM4119514_SF12017_snATAC_matrix.mtx.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119514/suppl/GSM4119514_SF12017_snATAC_matrix.mtx.gz,SF12017_snATAC,11832,MTX,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDH1 Mutant astrocytoma G2,55,Male,,,,
GSE138794,SF12017_snATAC,GSM4119514,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020371,GSE138794,0,GSM4119514_SF12017_snATAC_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119514/suppl/GSM4119514_SF12017_snATAC_peaks.bed.gz,SF12017_snATAC,10384,BED,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDH1 Mutant astrocytoma G2,55,Male,,,,
GSE138794,SF11949_snATAC,GSM4119515,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020370,GSE138794,0,GSM4119515_SF11949_snATAC_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119515/suppl/GSM4119515_SF11949_snATAC_barcodes.tsv.gz,SF11949_snATAC,21534,TSV,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDH1 mutant oligodendroglioma,40,Male,,,,
GSE138794,SF11949_snATAC,GSM4119515,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020370,GSE138794,0,GSM4119515_SF11949_snATAC_matrix.mtx.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119515/suppl/GSM4119515_SF11949_snATAC_matrix.mtx.gz,SF11949_snATAC,158047152,MTX,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDH1 mutant oligodendroglioma,40,Male,,,,
GSE138794,SF11949_snATAC,GSM4119515,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020370,GSE138794,0,GSM4119515_SF11949_snATAC_peaks.bed.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119515/suppl/GSM4119515_SF11949_snATAC_peaks.bed.gz,SF11949_snATAC,1748049,BED,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Primary,IDH1 mutant oligodendroglioma,40,Male,,,,
GSE138794,SF11612_snATAC,GSM4119516,Public on Oct 12 2019,Oct 11 2019,Oct 15 2019,SRA,1,Brain,Homo sapiens,9606,total RNA,"Nuclei were extracted from frozen tissues following the “Frakenstein” protocol developed by Luciano Martelotto, Ph.D., Melbourne, Centre for Cancer Research, Victorian Comprehensive Cancer Centre, and available from 10X Genomics, For fresh tissues, 10.2 μL of live cells, at a concentration of 1700 live-cells/μL,were loaded into the10X Chromium Single Cell capture chip. For frozen tissues, ~15,000 nuclei were loaded per capture. Single-cell/nucleus capture, reverse transcription, cell lysis, and library preparation were performed per manufacturer’s protocol. Sequencing was performed on an Illumina NovaSeq using apaired-end 100bp protocol.",Single nuclei ATAC-Seq Bin Matrix,"The CellRanger ATAC software (version 1.1.0) was used for read alignment, deduplication, and identifying transposase cut sites.",GPL24676,"Aaron,,Diaz",aaron.diaz@ucsf.edu,Diaz Lab,Neurological Surgery,"University of California, San Francisco",1450 3rd St,San Francisco,CA,94158,USA,Illumina NovaSeq 6000,other,transcriptomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13020369,GSE138794,0,GSM4119516_SF11612_snATAC_barcodes.tsv.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4119nnn/GSM4119516/suppl/GSM4119516_SF11612_snATAC_barcodes.tsv.gz,SF11612_snATAC,22593,TSV,hg38,"Matrix file (mtx) includes sparse matrix of read counts, unique cell barcode files (tsv), and feature file (tsv)",glioma,Recurrent,oligodendroglioma,67,Male,,,,
