GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,RNA-seq reads were aligned to hg19 using STAR(doi,Genome_build,cell status,cell line,Supplementary_files_format_and_content,chip antibody
GSE139190,RNAseq_rep1_U2OS,GSM4133277,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human bone osteosarcoma epithelial cells-U2OS,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133277_YET151_HEK293_Rep1_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133277/suppl/GSM4133277_YET151_HEK293_Rep1_FPKM.txt.gz,RNAseq_rep1_U2OS,745562,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070643,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,U2OS,,
GSE139190,RNAseq_rep2_U2OS,GSM4133278,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human bone osteosarcoma epithelial cells-U2OS,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133278_YET152_HEK293_Rep2_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133278/suppl/GSM4133278_YET152_HEK293_Rep2_FPKM.txt.gz,RNAseq_rep2_U2OS,740551,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070642,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,U2OS,,
GSE139190,RNAseq_rep1_HEK293,GSM4133279,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human embryonic kidney cell-line 293,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133279_YET153_U2OS_Rep1_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133279/suppl/GSM4133279_YET153_U2OS_Rep1_FPKM.txt.gz,RNAseq_rep1_HEK293,751564,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070686,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,HEK293,,
GSE139190,RNAseq_rep2_HEK293,GSM4133280,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human embryonic kidney cell-line 293,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133280_YET154_U2OS_Rep2_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133280/suppl/GSM4133280_YET154_U2OS_Rep2_FPKM.txt.gz,RNAseq_rep2_HEK293,747550,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070641,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,HEK293,,
GSE139190,RNAseq_rep1_HepG2,GSM4133281,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human liver cancer cell-line HepG2,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133281_YET157_HepG2_Rep1_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133281/suppl/GSM4133281_YET157_HepG2_Rep1_FPKM.txt.gz,RNAseq_rep1_HepG2,726966,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070640,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,HepG2,,
GSE139190,RNAseq_rep2_HepG2,GSM4133282,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human liver cancer cell-line HepG2,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133282_YET158_HepG2_Rep2_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133282/suppl/GSM4133282_YET158_HepG2_Rep2_FPKM.txt.gz,RNAseq_rep2_HepG2,724490,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070639,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,HepG2,,
GSE139190,RNAseq_rep1_K562,GSM4133283,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human immortalised myelogenous leukemia cell line K562,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133283_YET155_K562_Rep1_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133283/suppl/GSM4133283_YET155_K562_Rep1_FPKM.txt.gz,RNAseq_rep1_K562,732060,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070638,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,K562,,
GSE139190,RNAseq_rep2_K562,GSM4133284,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human immortalised myelogenous leukemia cell line K562,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",total RNA,"For RNA-seq, total RNA was extracted from native cells using the NucleoSpin RNA Plus Kit (Clontech, cat# 740984.250), Single-end libraries were prepared using the Illumina TruSeq Stranded Total RNA Library Prep Gold kit (Illumina) and TruSeq RNA Single Indexes, pooled, and sequenced using an NextSeq500.",Supplementary_files_format_and_content: Tab-delimited text files that include FPKM values for each gene,GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,GSE139190,0,GSM4133284_YET156_K562_Rep2_FPKM.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133284/suppl/GSM4133284_YET156_K562_Rep2_FPKM.txt.gz,RNAseq_rep2_K562,723905,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070688,https://www.ncbi.nlm.nih.gov/sra?term,10.1093/bioinformatics/bts635) and PCR duplicates were removed using Picard tools(http://broadinstitute.github.io/picard/). Reads aligning to ribosomal RNA were then filtered out of the alignment. Genomic coverage from filtered alignments were calculated by normalizing to sequencing depth using bedtools(https://doi.org/10.1093/bioinformatics/btq033). FPKMs were calculated using Cufflinks(https://doi.org/10.1038/nbt.1621),hg19,native cells,K562,,
GSE139190,H3K27Ac_rep1_U2OS_ChIPsep,GSM4133285,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human bone osteosarcoma epithelial cells-U2OS,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",genomic DNA,"For ChIP-seq, chromatin from 1% formaldehyde-fixed cells were fragmented to 200-500 bps by sonication for 5-6 mins using the Branson sonifer SFX250, Sequencing libraries were prepared with 3 ng of each H3K27Ac ChIP DNA and input sample using SMARTer ThruPLEX DNA-seq kit (Takara, Cat# R400675). Libraries were sequenced with single-end (SE) 75 cycles on an Illumina Nextseq 500 system",ChIP-seq reads were aligned to human reference genome hg19 using Burrows-Wheeler Alignment (BWA) tool (PMC2705234). Genome-wide coverage was calculated after extending to 200 bases(approximate fragment size) and averaged over 25 bp windows using igvtools (https://doi.org/10.1093/bib/bbs017). Coverage was then normalized and scaled using RSeqC (http://rseqc.sourceforge.net/#normalize-bigwig-py),GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE139190,0,GSM4133285_YET163_rep1_U2OS_H3K27Ac.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133285/suppl/GSM4133285_YET163_rep1_U2OS_H3K27Ac.bw,H3K27Ac_rep1_U2OS_ChIPsep,170672815,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070687,https://www.ncbi.nlm.nih.gov/sra?term,,hg19,native cells,U2OS,bigwig files for visualization on igv,"H3K27Ac antibody (Active motif, cat#, lot#10918010)"
GSE139190,H3K27Ac_rep2_U2OS_ChIPsep,GSM4133286,Public on Dec 31 2020,Oct 21 2019,Jan 01 2021,SRA,1,Human bone osteosarcoma epithelial cells-U2OS,Homo sapiens,9606,"U2OS cells and HEK293 cells were grown in DMEM supplemented with 10% fetal bovine serum and 1% penicillin/streptomycin until 80% confluent. HepG2 cells  were grown in EMEM with 10% FBS and 1% penicillin and streptomycin. K562 cells were grown in RPMI supplemented with 10% heat-inactivated FBS, 2 mM GlutaMax, and 1% penicillin and streptomycin.",genomic DNA,"For ChIP-seq, chromatin from 1% formaldehyde-fixed cells were fragmented to 200-500 bps by sonication for 5-6 mins using the Branson sonifer SFX250, Sequencing libraries were prepared with 3 ng of each H3K27Ac ChIP DNA and input sample using SMARTer ThruPLEX DNA-seq kit (Takara, Cat# R400675). Libraries were sequenced with single-end (SE) 75 cycles on an Illumina Nextseq 500 system",ChIP-seq reads were aligned to human reference genome hg19 using Burrows-Wheeler Alignment (BWA) tool (PMC2705234). Genome-wide coverage was calculated after extending to 200 bases(approximate fragment size) and averaged over 25 bp windows using igvtools (https://doi.org/10.1093/bib/bbs017). Coverage was then normalized and scaled using RSeqC (http://rseqc.sourceforge.net/#normalize-bigwig-py),GPL18573,"Keith,,Joung",esther.ygt@gmail.com,MGH,149 13th st,Charlestown,MA,02129,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE139190,0,GSM4133286_YET207_rep2_U2OS_H3K27Ac.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4133nnn/GSM4133286/suppl/GSM4133286_YET207_rep2_U2OS_H3K27Ac.bw,H3K27Ac_rep2_U2OS_ChIPsep,211276290,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN13070685,https://www.ncbi.nlm.nih.gov/sra?term,,hg19,native cells,U2OS,bigwig files for visualization on igv,"H3K27Ac antibody (Active motif, cat#, lot#10918010)"
