GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,response,tissue,cell type,disease state,BioSample,SRA,Genome_build,Supplementary_files_format_and_content
GSE142604,SS01 ATAC-seq,GSM4232756,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232756_SS02.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232756/suppl/GSM4232756_SS02.bw,SS01 ATAC-seq,642364769,BW,Complete response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682813,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS11 ATAC-seq,GSM4232757,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232757_SS01.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232757/suppl/GSM4232757_SS01.bw,SS11 ATAC-seq,505207896,BW,Complete response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682851,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS04 ATAC-seq,GSM4232758,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232758_SS03.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232758/suppl/GSM4232758_SS03.bw,SS04 ATAC-seq,1031993047,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682850,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS06 ATAC-seq,GSM4232759,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232759_SS04.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232759/suppl/GSM4232759_SS04.bw,SS06 ATAC-seq,498880349,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682849,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS08 ATAC-seq,GSM4232760,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232760_SS05.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232760/suppl/GSM4232760_SS05.bw,SS08 ATAC-seq,481233056,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682848,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS10 ATAC-seq,GSM4232761,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232761_SS06.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232761/suppl/GSM4232761_SS06.bw,SS10 ATAC-seq,936416992,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682847,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS12 ATAC-seq,GSM4232762,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232762_SS07.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232762/suppl/GSM4232762_SS07.bw,SS12 ATAC-seq,567004454,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682846,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS13 ATAC-seq,GSM4232763,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232763_SS08.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232763/suppl/GSM4232763_SS08.bw,SS13 ATAC-seq,634820944,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682845,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS28 ATAC-seq,GSM4232764,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232764_SS09.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232764/suppl/GSM4232764_SS09.bw,SS28 ATAC-seq,759851395,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682844,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
GSE142604,SS29 ATAC-seq,GSM4232765,Public on Jan 03 2021,Dec 26 2019,Jan 03 2021,SRA,1,Peripheral blood CD8+ T cells,Homo sapiens,9606,"To obtain CD8+ T cells from thawed PBMCs were stained with appropriate antibodies (Abs), and sorted into CD8+ T cells using a BD FACSAria III™ cell sorter (BD Biosciences, San Jose, CA, USA).",genomic DNA,"Nuclei were isolated from CD8+ T cells and subjected to the transposition reaction with Illumina transposase in 1× Tagment DNA (TD) buffer, Library fragments were amplified with indexing primers from Nextera kit (Illumina, San Diego, CA, USA)","Basecalls performed using CASAVA version 1.8.2., ATAC-seq reads were processed using Trimmomatic software., ATAC-seq reads were aligned to the hg19 genome assembly using bowtie2 v2.3.4.1 with ""-k 4 -N 1 -R 5 --end-to-end"" options., The aligned reads were converted into browser extensible data (BED) format using “bedtools bamtobed”, and offset +4 base pair (bp) for positive strand and −5 bp for negative strand., The aligned reads were used for peak calling process using HOMER suite with “findPeaks” with “-style factor -tbp 3 -region” option.",GPL18573,"Hyun Mu,,Shin",hyunmu.shin@snu.ac.kr,Laboratory of Immunobiology,Biomedical Sciences,Seoul National University College of Medicine,"Biomedical Science Building 202, 103 Daehakro, Jongro-gu",Seoul,110-799,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,GSE142604,0,GSM4232765_SS10.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4232nnn/GSM4232765/suppl/GSM4232765_SS10.bw,SS29 ATAC-seq,733172898,BW,Partial response,Peripheral blood,Primary CD8+ T cells,gastric cancer,https://www.ncbi.nlm.nih.gov/biosample/SAMN13682841,https://www.ncbi.nlm.nih.gov/sra?term,hg19,"bigwigs (BWs), genome-wide ATAC-seq signal enrichment."
