GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,BioSample,SRA,cell line,sirna
GSE143684,siNT1_ATAC-seq rep1,GSM4272555,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Cntl1,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272555_19MO5_A-01.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272555/suppl/GSM4272555_19MO5_A-01.bw,siNT1_ATAC-seq rep1,487796419,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864255,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,non-targeting
GSE143684,siSM2_ATAC-seq  rep1,GSM4272556,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Smarca2 knockdown,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272556_19MO5_A-02.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272556/suppl/GSM4272556_19MO5_A-02.bw,siSM2_ATAC-seq  rep1,476578700,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864254,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,Smarca2
GSE143684,siNT2_ATAC-seq  rep1,GSM4272557,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Cntrl2,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272557_19MO5_A-03.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272557/suppl/GSM4272557_19MO5_A-03.bw,siNT2_ATAC-seq  rep1,437277952,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864259,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,non-targeting
GSE143684,siGLI1_ATAC-seq  rep1,GSM4272558,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Gli1 knockdown,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272558_19MO5_A-04.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272558/suppl/GSM4272558_19MO5_A-04.bw,siGLI1_ATAC-seq  rep1,550156780,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864258,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,Gli1
GSE143684,siNT1_ATAC-seq rep2,GSM4272559,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Cntl1,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272559_19MO5_2-01.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272559/suppl/GSM4272559_19MO5_2-01.bw,siNT1_ATAC-seq rep2,317343821,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864257,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,non-targeting
GSE143684,siSM2_ATAC-seq  rep2,GSM4272560,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Smarca2 knockdown,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272560_19MO5_2-02.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272560/suppl/GSM4272560_19MO5_2-02.bw,siSM2_ATAC-seq  rep2,476673629,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864256,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,Smarca2
GSE143684,siNT2_ATAC-seq  rep2,GSM4272561,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Cntrl2,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272561_19MO5_2-03.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272561/suppl/GSM4272561_19MO5_2-03.bw,siNT2_ATAC-seq  rep2,404181312,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864253,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,non-targeting
GSE143684,siGLI1_ATAC-seq  rep2,GSM4272562,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Gli1 knockdown,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272562_19MO5_2-04.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272562/suppl/GSM4272562_19MO5_2-04.bw,siGLI1_ATAC-seq  rep2,430486552,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864252,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,Gli1
GSE143684,siNT1_ATAC-seq rep3,GSM4272563,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Cntl1,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272563_19MO5_3-01.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272563/suppl/GSM4272563_19MO5_3-01.bw,siNT1_ATAC-seq rep3,465092417,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864251,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,non-targeting
GSE143684,siSM2_ATAC-seq  rep3,GSM4272564,Public on May 11 2020,Jan 14 2020,May 12 2020,SRA,1,skeletal muscle,Homo sapiens,9606,siRNA knockdown of Gli1 or SMARCA2 were incubated for 72 hours in standard cell culture conditions.,RMS13 cells grown in RPMI media with 10% fetal bovine supplemented.  Cells were replated before reaching comfluency and media was replaced as needed typically every 2-3 days.,genomic DNA,"DNA for ATAC-seq  was prepared from 20,000 cells following the OMNI-ATAC procedures from Corces et al. (Nature Methods 2017) and Buenrostro et al. (Curr Protoc Mol Biol 2016), with modifications, using the Nextera kit (Illumina).  The cells were lysed for 3 minutes on ice and transposed for 30 minutes at 37C.  DNA was cleaned-up using procedures of a DNA extraction column., The DNA libraries were prepared with 5-9 cycles of PCR amplification with the NEB High Fidelity Master Mix (New England Biolabs).  Clean up was done using the Zymo DNA Clean and Concentrator kit (Zymo Research) and followed with AMPure XP (Beckman Coulter) bead cleanup to remove primer dimers and under-digested chromatin.",Smarca2 knockdown,"Base calling was performed with the Illumina bcl2fastq, Sequences were trimmed with TrimGalore (v0.4.5), aligned to hg19 (NCBI build 37) using bowtie2 (v2.3.3.1) with maximum fragment length 2000.  Data was sorted to keep only chromosomal reads, remove mitochondrial reads, filtered to remove reads with MAPQ smaller than 30  and duplicates (picard v2.9.0) removed.  Bigwig files were generated with bamCoverage (deepTools 3.3.0) using a bin size of 10, scaling factoer of 0.5 and normalized to RPKM.",GPL20301,"Stephanie,Lynn,Safgren",safgren.stephanie@mayo.edu,Martin E. Fernandez-Zapico,Oncology Research,Mayo Clinic,"200 1st Street SW, Gonda 19 366C",Rochester,Minnesota,55920,USA,Illumina HiSeq 4000,other,genomic,ATAC-seq,GSE143684,0,GSM4272564_19MO5_3-02.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4272nnn/GSM4272564/suppl/GSM4272564_19MO5_3-02.bw,siSM2_ATAC-seq  rep3,518866289,BW,hg19,https://www.ncbi.nlm.nih.gov/biosample/SAMN13864250,https://www.ncbi.nlm.nih.gov/sra?term,RMS13,Smarca2
