GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,cell line,chip antibody,genotype,Genome_build,Supplementary_files_format_and_content,BioSample,SRA
GSE146539,ChIP-Seq SETD2_mut_H3K4me1_rep1,GSM4391908,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391908_JHRCC12_SETD2_mut_H3K4me1_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391908/suppl/GSM4391908_JHRCC12_SETD2_mut_H3K4me1_rep1.bw,ChIP-Seq SETD2_mut_H3K4me1_rep1,613557673,BW,JHRCC12,"H3K4me1 (Abcam, ab8895)",SETD2-deficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322338,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_mut_H3K4me1_rep2,GSM4391909,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391909_JHRCC12_SETD2_mut_H3K4me1_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391909/suppl/GSM4391909_JHRCC12_SETD2_mut_H3K4me1_rep2.bw,ChIP-Seq SETD2_mut_H3K4me1_rep2,510329502,BW,JHRCC12,"H3K4me1 (Abcam, ab8895)",SETD2-deficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322237,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_rescue_H3K4me1_rep1,GSM4391910,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391910_JHRCC12_SETD2_rescue_H3K4me1_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391910/suppl/GSM4391910_JHRCC12_SETD2_rescue_H3K4me1_rep1.bw,ChIP-Seq SETD2_rescue_H3K4me1_rep1,530853247,BW,JHRCC12,"H3K4me1 (Abcam, ab8895)",SETD2-proficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322333,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_rescue_H3K4me1_rep2,GSM4391911,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391911_JHRCC12_SETD2_rescue_H3K4me1_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391911/suppl/GSM4391911_JHRCC12_SETD2_rescue_H3K4me1_rep2.bw,ChIP-Seq SETD2_rescue_H3K4me1_rep2,603246453,BW,JHRCC12,"H3K4me1 (Abcam, ab8895)",SETD2-proficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322332,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_mut_H3K4me3_rep1,GSM4391912,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391912_JHRCC12_SETD2_mut_H3K4me3_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391912/suppl/GSM4391912_JHRCC12_SETD2_mut_H3K4me3_rep1.bw,ChIP-Seq SETD2_mut_H3K4me3_rep1,456387204,BW,JHRCC12,"H3K4me3 (Abcam, ab8580)",SETD2-deficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322331,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_mut_H3K4me3_rep2,GSM4391913,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391913_JHRCC12_SETD2_mut_H3K4me3_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391913/suppl/GSM4391913_JHRCC12_SETD2_mut_H3K4me3_rep2.bw,ChIP-Seq SETD2_mut_H3K4me3_rep2,332366024,BW,JHRCC12,"H3K4me3 (Abcam, ab8580)",SETD2-deficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322330,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_rescue_H3K4me3_rep1,GSM4391914,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391914_JHRCC12_SETD2_rescue_H3K4me3_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391914/suppl/GSM4391914_JHRCC12_SETD2_rescue_H3K4me3_rep1.bw,ChIP-Seq SETD2_rescue_H3K4me3_rep1,407496859,BW,JHRCC12,"H3K4me3 (Abcam, ab8580)",SETD2-proficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322329,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_rescue_H3K4me3_rep2,GSM4391915,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391915_JHRCC12_SETD2_rescue_H3K4me3_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391915/suppl/GSM4391915_JHRCC12_SETD2_rescue_H3K4me3_rep2.bw,ChIP-Seq SETD2_rescue_H3K4me3_rep2,443870389,BW,JHRCC12,"H3K4me3 (Abcam, ab8580)",SETD2-proficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322328,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_mut_H3K27ac_rep1,GSM4391916,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391916_JHRCC12_SETD2_mut_H3K27AC_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391916/suppl/GSM4391916_JHRCC12_SETD2_mut_H3K27AC_rep1.bw,ChIP-Seq SETD2_mut_H3K27ac_rep1,496396510,BW,JHRCC12,"H3K27ac (Abcam, ab4729)",SETD2-deficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322327,https://www.ncbi.nlm.nih.gov/sra?term
GSE146539,ChIP-Seq SETD2_mut_H3K27ac_rep2,GSM4391917,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"2 x 10^6 JHRCC12 cells were cross-linked with 1% paraformaldehyde for 10 min at room temperature and quenched by glycine. Cells were washed with cold PBS, pelleted by centrifugation, and lysed. After sonication, samples were spun down and incubated with 1 μg primary antibody for each ChIP experiment at 4 °C overnight. Magnetic beads (Thermo Fisher Scientific) were added the next day and incubated at 4 °C for 2h. Samples were then washed and histone complexes were eluted. The eluted samples were treated with RNase A, proteinase K, reversed crosslink, and purified with Qiagen PCR purification kit., Library preparation were performed by the Integrated Genomics Operation Core Facility at MSKCC.","Reads were aligned to hg19 using BWA (v0.7.17-r1188) with parameters ‘-q 5 -l 32 -k 2’. Uniquely aligned paired reads were extracted using SAMtools. PCR duplicates were removed using Picard tools (v2.18.16)., Peak calling was performed for each individual and pooled replicates of each cell type using MACS2 v2.1.2 with parameters ‘-g hs -p 0.01 --keep-dup all --no-model -c $input_dna_control’",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE146539, GSE146583",0,GSM4391917_JHRCC12_SETD2_mut_H3K27AC_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391917/suppl/GSM4391917_JHRCC12_SETD2_mut_H3K27AC_rep2.bw,ChIP-Seq SETD2_mut_H3K27ac_rep2,403125536,BW,JHRCC12,"H3K27ac (Abcam, ab4729)",SETD2-deficient,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322326,https://www.ncbi.nlm.nih.gov/sra?term
