GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,BioSample,SRA,cell line,genotype,chip antibody,cell type
GSE146583,ATAC-Seq JHRCC12_SETD2_mut_rep1,GSM4391896,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"50,000 JHRCC12 cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the hg19 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146537, GSE146583",0,GSM4391896_JHRCC12_SETD2_mut_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391896/suppl/GSM4391896_JHRCC12_SETD2_mut_rep1.bw,ATAC-Seq JHRCC12_SETD2_mut_rep1,488992930,BW,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322350,https://www.ncbi.nlm.nih.gov/sra?term,JHRCC12,SETD2-deficient,,
GSE146583,ATAC-Seq JHRCC12_SETD2_mut_rep2,GSM4391897,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"50,000 JHRCC12 cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the hg19 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146537, GSE146583",0,GSM4391897_JHRCC12_SETD2_mut_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391897/suppl/GSM4391897_JHRCC12_SETD2_mut_rep2.bw,ATAC-Seq JHRCC12_SETD2_mut_rep2,520227060,BW,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322349,https://www.ncbi.nlm.nih.gov/sra?term,JHRCC12,SETD2-deficient,,
GSE146583,ATAC-Seq JHRCC12_SETD2_mut_rep3,GSM4391898,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"50,000 JHRCC12 cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the hg19 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146537, GSE146583",0,GSM4391898_JHRCC12_SETD2_mut_rep3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391898/suppl/GSM4391898_JHRCC12_SETD2_mut_rep3.bw,ATAC-Seq JHRCC12_SETD2_mut_rep3,435934134,BW,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322348,https://www.ncbi.nlm.nih.gov/sra?term,JHRCC12,SETD2-deficient,,
GSE146583,ATAC-Seq JHRCC12_SETD2_rescue_rep1,GSM4391899,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"50,000 JHRCC12 cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the hg19 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146537, GSE146583",0,GSM4391899_JHRCC12_SETD2_rescue_rep1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391899/suppl/GSM4391899_JHRCC12_SETD2_rescue_rep1.bw,ATAC-Seq JHRCC12_SETD2_rescue_rep1,466418850,BW,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322347,https://www.ncbi.nlm.nih.gov/sra?term,JHRCC12,SETD2-proficient,,
GSE146583,ATAC-Seq JHRCC12_SETD2_rescue_rep2,GSM4391900,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"50,000 JHRCC12 cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the hg19 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146537, GSE146583",0,GSM4391900_JHRCC12_SETD2_rescue_rep2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391900/suppl/GSM4391900_JHRCC12_SETD2_rescue_rep2.bw,ATAC-Seq JHRCC12_SETD2_rescue_rep2,449076735,BW,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322346,https://www.ncbi.nlm.nih.gov/sra?term,JHRCC12,SETD2-proficient,,
GSE146583,ATAC-Seq JHRCC12_SETD2_rescue_rep3,GSM4391901,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Clear cell renal cell carcinoma cells,Homo sapiens,9606,"Cells were cultured in F10 medium (advanced DMEM/F12) with 10% FBS, 1× L-glutamine, 1× sodium pyruvate, 1× nonessential amino acid, and 1× penicillin/streptomycin).",genomic DNA,"50,000 JHRCC12 cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the hg19 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL16791,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146537, GSE146583",0,GSM4391901_JHRCC12_SETD2_rescue_rep3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391901/suppl/GSM4391901_JHRCC12_SETD2_rescue_rep3.bw,ATAC-Seq JHRCC12_SETD2_rescue_rep3,348785791,BW,hg19,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322345,https://www.ncbi.nlm.nih.gov/sra?term,JHRCC12,SETD2-proficient,,
GSE146583,ATAC-Seq RTE_SETD2_wt_rep1,GSM4391902,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Murine renal tubular epithelial cells,Mus musculus,10090,"Kidneys were dissected from Setd2(F/F)Ksp-Cre+ and Setd2(F/F) mice at 4-5 weeks of age. Kidney cortices were minced and digested in advanced DMEM/F12 (Thermo Fisher Scientific) containing liberase (Sigma) for 1h at 37 °C. Digested samples were filtered through 40 μm strainers (BD Biosciences) and washed with cold Hank's Balanced Salt Solution (HBSS, Thermo Fisher Scientific) twice. Finally, samples were resuspended in advanced DMEM/F12 supplemented with penicillin/streptomycin (Thermo Fisher Scientific), non-essential amino acids (NEAA, Thermo Fisher Scientific), glutamine (Thermo Fisher Scientific), 10 mM HEPES (Thermo Fisher Scientific), Insulin-transferrin-selenium (Thermo Fisher Scientific), 20 ng/ml EGF (R & D Systems), and 100 nM hydrocortisone (Sigma), and plated in dishes.",genomic DNA,"50,000 murine renal tubular epithelial cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the mm10 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL17021,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146538, GSE146583",0,GSM4391902_wt_Rep1_Norm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391902/suppl/GSM4391902_wt_Rep1_Norm.bw,ATAC-Seq RTE_SETD2_wt_rep1,242190834,BW,mm10,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322344,https://www.ncbi.nlm.nih.gov/sra?term,,SETD2-proficient,,primary renal tubular epithelial (RTE) cells
GSE146583,ATAC-Seq RTE_SETD2_wt_rep2,GSM4391903,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Murine renal tubular epithelial cells,Mus musculus,10090,"Kidneys were dissected from Setd2(F/F)Ksp-Cre+ and Setd2(F/F) mice at 4-5 weeks of age. Kidney cortices were minced and digested in advanced DMEM/F12 (Thermo Fisher Scientific) containing liberase (Sigma) for 1h at 37 °C. Digested samples were filtered through 40 μm strainers (BD Biosciences) and washed with cold Hank's Balanced Salt Solution (HBSS, Thermo Fisher Scientific) twice. Finally, samples were resuspended in advanced DMEM/F12 supplemented with penicillin/streptomycin (Thermo Fisher Scientific), non-essential amino acids (NEAA, Thermo Fisher Scientific), glutamine (Thermo Fisher Scientific), 10 mM HEPES (Thermo Fisher Scientific), Insulin-transferrin-selenium (Thermo Fisher Scientific), 20 ng/ml EGF (R & D Systems), and 100 nM hydrocortisone (Sigma), and plated in dishes.",genomic DNA,"50,000 murine renal tubular epithelial cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the mm10 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL17021,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146538, GSE146583",0,GSM4391903_wt_Rep2_Norm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391903/suppl/GSM4391903_wt_Rep2_Norm.bw,ATAC-Seq RTE_SETD2_wt_rep2,147987185,BW,mm10,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322343,https://www.ncbi.nlm.nih.gov/sra?term,,SETD2-proficient,,primary renal tubular epithelial (RTE) cells
GSE146583,ATAC-Seq RTE_SETD2_wt_rep3,GSM4391904,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Murine renal tubular epithelial cells,Mus musculus,10090,"Kidneys were dissected from Setd2(F/F)Ksp-Cre+ and Setd2(F/F) mice at 4-5 weeks of age. Kidney cortices were minced and digested in advanced DMEM/F12 (Thermo Fisher Scientific) containing liberase (Sigma) for 1h at 37 °C. Digested samples were filtered through 40 μm strainers (BD Biosciences) and washed with cold Hank's Balanced Salt Solution (HBSS, Thermo Fisher Scientific) twice. Finally, samples were resuspended in advanced DMEM/F12 supplemented with penicillin/streptomycin (Thermo Fisher Scientific), non-essential amino acids (NEAA, Thermo Fisher Scientific), glutamine (Thermo Fisher Scientific), 10 mM HEPES (Thermo Fisher Scientific), Insulin-transferrin-selenium (Thermo Fisher Scientific), 20 ng/ml EGF (R & D Systems), and 100 nM hydrocortisone (Sigma), and plated in dishes.",genomic DNA,"50,000 murine renal tubular epithelial cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the mm10 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL17021,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146538, GSE146583",0,GSM4391904_wt_Rep3_Norm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391904/suppl/GSM4391904_wt_Rep3_Norm.bw,ATAC-Seq RTE_SETD2_wt_rep3,241310231,BW,mm10,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322342,https://www.ncbi.nlm.nih.gov/sra?term,,SETD2-proficient,,primary renal tubular epithelial (RTE) cells
GSE146583,ATAC-Seq RTE_SETD2_KO_rep1,GSM4391905,Public on Nov 15 2021,Mar 06 2020,Nov 15 2021,SRA,1,Murine renal tubular epithelial cells,Mus musculus,10090,"Kidneys were dissected from Setd2(F/F)Ksp-Cre+ and Setd2(F/F) mice at 4-5 weeks of age. Kidney cortices were minced and digested in advanced DMEM/F12 (Thermo Fisher Scientific) containing liberase (Sigma) for 1h at 37 °C. Digested samples were filtered through 40 μm strainers (BD Biosciences) and washed with cold Hank's Balanced Salt Solution (HBSS, Thermo Fisher Scientific) twice. Finally, samples were resuspended in advanced DMEM/F12 supplemented with penicillin/streptomycin (Thermo Fisher Scientific), non-essential amino acids (NEAA, Thermo Fisher Scientific), glutamine (Thermo Fisher Scientific), 10 mM HEPES (Thermo Fisher Scientific), Insulin-transferrin-selenium (Thermo Fisher Scientific), 20 ng/ml EGF (R & D Systems), and 100 nM hydrocortisone (Sigma), and plated in dishes.",genomic DNA,"50,000 murine renal tubular epithelial cells were used for the transposition reaction at 37 °C for 30 min. After purification of the DNA with the MinElute PCR purification kit (Qiagen), material was amplified for 5 cycles as described previously (Buenrostro et al., 2013). Additional PCR cycles were evaluated by real time PCR. Final product was cleaned by AMPure Beads at a 1.5x ratio.","Raw reads were trimmed and filtered for quality using Trimmomatic (v0.38). Trimmed reads were mapped to the mm10 genome assembly using Bowtie2 (v2.3.4.3), and non-uniquely mapping reads were removed., Peak calling was performed on each replicate using MACS2 (v2.1.2) with ‘-p 1e-2 --extsize 200 --shift -100 --nomodel’ parameters.",GPL17021,"Christina,S,Leslie",Computational Biology Program,Memorial Sloan Kettering Cancer Center,417 E 68th St,New York,NY,10065,USA,Illumina HiSeq 2500,other,genomic,ATAC-seq,"GSE146538, GSE146583",0,GSM4391905_ko_Rep1_Norm.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4391nnn/GSM4391905/suppl/GSM4391905_ko_Rep1_Norm.bw,ATAC-Seq RTE_SETD2_KO_rep1,267393606,BW,mm10,Normalized coverage track in bigWig format,https://www.ncbi.nlm.nih.gov/biosample/SAMN14322341,https://www.ncbi.nlm.nih.gov/sra?term,,SETD2-deficient,,primary renal tubular epithelial (RTE) cells
