GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,tissue,chip antibody,chip antibody vendor,chip antibody cat.#,chip antibody lot/batch#,BioSample,SRA,Genome_build,Supplementary_files_format_and_content
GSE146617,DF_H3K27ac_2076_T,GSM4399724,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399724_H3K27ac_2076_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399724/suppl/GSM4399724_H3K27ac_2076_T.bw,DF_H3K27ac_2076_T,295176695,BW,localized prostate tissue,H3K27ac,Diagenode,C15410196,A1723-00411,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332947,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27ac_2208_T,GSM4399725,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399725_H3K27ac_2208_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399725/suppl/GSM4399725_H3K27ac_2208_T.bw,DF_H3K27ac_2208_T,180047750,BW,localized prostate tissue,H3K27ac,Diagenode,C15410196,A1723-00411,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332946,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27ac_2228_T,GSM4399726,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399726_H3K27ac_2228_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399726/suppl/GSM4399726_H3K27ac_2228_T.bw,DF_H3K27ac_2228_T,198496368,BW,localized prostate tissue,H3K27ac,Diagenode,C15410196,A1723-00411,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332960,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27ac_2477_T,GSM4399727,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399727_H3K27ac_2477_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399727/suppl/GSM4399727_H3K27ac_2477_T.bw,DF_H3K27ac_2477_T,163764559,BW,localized prostate tissue,H3K27ac,Diagenode,C15410196,A1723-00411,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332959,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27ac_2478_T,GSM4399728,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399728_H3K27ac_2478_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399728/suppl/GSM4399728_H3K27ac_2478_T.bw,DF_H3K27ac_2478_T,233883773,BW,localized prostate tissue,H3K27ac,Diagenode,C15410196,A1723-00411,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332958,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27me3_1726_T_A,GSM4399729,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399729_H3K27me3_1726_T_A.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399729/suppl/GSM4399729_H3K27me3_1726_T_A.bw,DF_H3K27me3_1726_T_A,293644772,BW,localized prostate tissue,H3K27me3,Cell Signaling Technology,9733S,08,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332957,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27me3_1752_T_A,GSM4399730,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399730_H3K27me3_1752_T_A.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399730/suppl/GSM4399730_H3K27me3_1752_T_A.bw,DF_H3K27me3_1752_T_A,392753116,BW,localized prostate tissue,H3K27me3,Cell Signaling Technology,9733S,08,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332956,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27me3_1820_T,GSM4399731,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399731_H3K27me3_1820_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399731/suppl/GSM4399731_H3K27me3_1820_T.bw,DF_H3K27me3_1820_T,347754083,BW,localized prostate tissue,H3K27me3,Cell Signaling Technology,9733S,08,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332955,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27me3_1944_T,GSM4399732,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399732_H3K27me3_1944_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399732/suppl/GSM4399732_H3K27me3_1944_T.bw,DF_H3K27me3_1944_T,323738440,BW,localized prostate tissue,H3K27me3,Cell Signaling Technology,9733S,08,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332954,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
GSE146617,DF_H3K27me3_2208_T,GSM4399733,Public on Oct 01 2020,Mar 09 2020,Oct 02 2020,SRA,1,Patient localized prostate tissue,Homo sapiens,9606,genomic DNA,"One (histone ChIP) or three (transcription factor ChIP) 2 mm2 frozen cores were pulverized using the Covaris CryoPrep system. Tissue was fixed using 1% formaldehyde and chromatin sheared to 300-500 bp in size using the Covaris E220 ultrasonicator. Resulting chromatin was incubated overnight with indicated antibodies. Purified immunoprecipitates were isolated and quantified by Qubit fluorometer., DNA sequencing libraries were prepared using the ThruPLEX-FD Prep kit (Rubicon Genomics). Libraries were sequenced using 75-bp reads on the Illumina platform at the Dana-Farber Cancer Institute.","Illumina Casava1.7 software used for basecalling., Reads were aligned to hg19 using BWA., For peak calling MACS2 was used.",GPL18573,"Xintao,,Qiu",Xintao_Qiu@dfci.harvad.edu,Dana Faber Cancer Institute,440 brookline ave,Boston,MA,02115,USA,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,GSE146617,0,GSM4399733_H3K27me3_2208_T.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4399nnn/GSM4399733/suppl/GSM4399733_H3K27me3_2208_T.bw,DF_H3K27me3_2208_T,243475319,BW,localized prostate tissue,H3K27me3,Cell Signaling Technology,9733S,08,https://www.ncbi.nlm.nih.gov/biosample/SAMN14332953,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bw files were generated using MACS2 using the chilin pipeline
