GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,BioSample,SRA,cell line,chip antibody,treatment,Library strategy,Genome_build,Supplementary_files_format_and_content
GSE74180,PC9_ATACseq,GSM1904729,Public on Jul 03 2017,Oct 09 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Nuclei were isolated before the transposition reactions were carried out as described in Buenrostro et al Nature Methods 2013., Sequencing libraries were prepared using a modified version of the Illumina Nextera DNA Sample prep kit.","Sequencing reads were aligned to human genome build hg19 using bowtie with essentially the same parameters as described previously (Buenrostro et al Nature Methods 2013). The reporting parameter was changed from -m1 to -M1 in order to include a randomly selected single alignment for reads mapping to multiple locations., Genome-wide accessibility data was calculated using a 150 bp sliding window (step size ",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,other,genomic,OTHER,"GSE73874, GSE74180",0,GSM1904729_PC9_Parental.trim.multi.sort.nuc.rmdup.bed.WIN150.STEP20.COUNT.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1904nnn/GSM1904729/suppl/GSM1904729_PC9_Parental.trim.multi.sort.nuc.rmdup.bed.WIN150.STEP20.COUNT.bw,PC9_ATACseq,136233222,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254244,https://www.ncbi.nlm.nih.gov/sra?term,PC9,none,none,ATAC-seq,hg19,"bigWig files were generated using the software available from UCSC (Kent et al., 2010)."
GSE74180,DTP_ATACseq,GSM1904730,Public on Jul 03 2017,Oct 09 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Nuclei were isolated before the transposition reactions were carried out as described in Buenrostro et al Nature Methods 2013., Sequencing libraries were prepared using a modified version of the Illumina Nextera DNA Sample prep kit.","Sequencing reads were aligned to human genome build hg19 using bowtie with essentially the same parameters as described previously (Buenrostro et al Nature Methods 2013). The reporting parameter was changed from -m1 to -M1 in order to include a randomly selected single alignment for reads mapping to multiple locations., Genome-wide accessibility data was calculated using a 150 bp sliding window (step size ",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,other,genomic,OTHER,"GSE73874, GSE74180",0,GSM1904730_PC9_DTP.trim.multi.sort.nuc.rmdup.bed.WIN150.STEP20.COUNT.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1904nnn/GSM1904730/suppl/GSM1904730_PC9_DTP.trim.multi.sort.nuc.rmdup.bed.WIN150.STEP20.COUNT.bw,DTP_ATACseq,133054754,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254245,https://www.ncbi.nlm.nih.gov/sra?term,PC9,none,8 day 1 μM erlotinib,ATAC-seq,hg19,"bigWig files were generated using the software available from UCSC (Kent et al., 2010)."
GSE74180,DTP_TSA_ATACseq,GSM1904731,Public on Jul 03 2017,Oct 09 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours. ALDH_High and ALDH_Low samples were obtained from PC9 cells treated with DMSO or 1 μM erlotinib erlotinib for 12 hours as indicated prior to aldefluor sorting by FACS.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Nuclei were isolated before the transposition reactions were carried out as described in Buenrostro et al Nature Methods 2013., Sequencing libraries were prepared using a modified version of the Illumina Nextera DNA Sample prep kit.","Sequencing reads were aligned to human genome build hg19 using bowtie with essentially the same parameters as described previously (Buenrostro et al Nature Methods 2013). The reporting parameter was changed from -m1 to -M1 in order to include a randomly selected single alignment for reads mapping to multiple locations., Genome-wide accessibility data was calculated using a 150 bp sliding window (step size ",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,other,genomic,OTHER,"GSE73874, GSE74180",0,GSM1904731_PC9_DTP_TSA.trim.multi.sort.nuc.rmdup.bed.WIN150.STEP20.COUNT.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1904nnn/GSM1904731/suppl/GSM1904731_PC9_DTP_TSA.trim.multi.sort.nuc.rmdup.bed.WIN150.STEP20.COUNT.bw,DTP_TSA_ATACseq,143681822,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254246,https://www.ncbi.nlm.nih.gov/sra?term,PC9,none,8 day 1 μM erlotinib + 5 hour 50 nM TSA,ATAC-seq,hg19,"bigWig files were generated using the software available from UCSC (Kent et al., 2010)."
GSE74180,PC9_H3K9me3_ChIPseq,GSM1912806,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912806_01_2067Genen_parental_H3K9me3_PE150_i85_uniqnorm_signal.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912806/suppl/GSM1912806_01_2067Genen_parental_H3K9me3_PE150_i85_uniqnorm_signal.bw,PC9_H3K9me3_ChIPseq,172291252,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254251,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K9me3 (abcam ab8898),none,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
GSE74180,PC9_H3K9me3_ChIPseq,GSM1912806,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912806_Parental_H3K9me3_intervals.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912806/suppl/GSM1912806_Parental_H3K9me3_intervals.txt.gz,PC9_H3K9me3_ChIPseq,427294,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254251,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K9me3 (abcam ab8898),none,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
GSE74180,DTP_H3K9me3_ChIPseq,GSM1912807,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912807_02_2067Genen_DTP_H3K9me3_PE150_i86_uniqnorm_signal.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912807/suppl/GSM1912807_02_2067Genen_DTP_H3K9me3_PE150_i86_uniqnorm_signal.bw,DTP_H3K9me3_ChIPseq,117694484,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254252,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K9me3 (abcam ab8898),8 day 1 μM erlotinib,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
GSE74180,DTP_H3K9me3_ChIPseq,GSM1912807,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912807_DTP_H3K9me3_intervals.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912807/suppl/GSM1912807_DTP_H3K9me3_intervals.txt.gz,DTP_H3K9me3_ChIPseq,829511,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254252,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K9me3 (abcam ab8898),8 day 1 μM erlotinib,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
GSE74180,DTP_TSA_H3K9me3_ChIPseq,GSM1912808,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912808_03_2067Genen_DTP+TSA_H3K9me3_PE150_i87_uniqnorm_signal.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912808/suppl/GSM1912808_03_2067Genen_DTP+TSA_H3K9me3_PE150_i87_uniqnorm_signal.bw,DTP_TSA_H3K9me3_ChIPseq,115224425,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254253,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K9me3 (abcam ab8898),8 day 1 μM erlotinib + 5 hour 50 nM TSA,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
GSE74180,DTP_TSA_H3K9me3_ChIPseq,GSM1912808,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912808_DTP_TSA_H3K9me3_intervals.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912808/suppl/GSM1912808_DTP_TSA_H3K9me3_intervals.txt.gz,DTP_TSA_H3K9me3_ChIPseq,917963,TXT,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254253,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K9me3 (abcam ab8898),8 day 1 μM erlotinib + 5 hour 50 nM TSA,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
GSE74180,DTP_H3K4me3_ChIPseq,GSM1912809,Public on Jul 03 2017,Oct 20 2015,May 15 2019,SRA,1,NSCLC,Homo sapiens,9606,"To generate DTPs, PC9 cells were treated with 1 μM erlotinib for 8 days. Media was replaced with fresh media supplemented with erlotinib every 3 days. Cells that survive the 8 day-treatment were considered DTPs. DTP_TSA samples were generated by treating DTPs on day 8 of erlotinib treatment with 50 nM TSA for 5 hours.",PC9 cells were cultured at 37 °C with 5% CO2 in RPMI-1640 (Invitrogen) supplemented with 10% FBS (HyClone).,genomic DNA,"Cells were fixed with 1% formaldehyde for 15 min and quenched with 0.125 M glycine.  Chromatin was isolated by the addition of lysis buffer, followed by disruption with a Dounce homogenizer. Lysates were sonicated and the DNA sheared to an average length of 300-500 bp., Illumina sequencing libraries were prepared from the ChIP and input DNAs following standard enzymatic steps consisting of end-polishing, dA-addition, and adaptor ligation. The resulting DNA libraries were quantified and sequenced as 150 bp paired-end reads using Illumina’s HiSeq 2500. The average size of the sequenced fragments were around 380 bp.","Sequencing reads were aligned to human genome build hg19 with BWA using default parameters (Li 2013)., Alignments were filtered to extract only reads that belonged to matching pairs; pairs of reads that spanned on the average ~350-400 nt and were in the correct orientation. Read pairs with mapping quality 0 (high quality mappings to multiple locations) were not used for further analysis; in addition, presumptive PCR duplicates and reads that did not pass Illumina’s purity filter were removed., Total number of reads was normalized according to the total number of reads that map to the Drosophila dm3 genome from each sample., H3K9me3 ChIPseq peaks were called with SICER using input files as control (Zang et al., 2009).",GPL16791,"Suchit,,Jhunjhunwala",suchitj@gene.com,Genentech,"1 DNA Way, MS-444A",South San Francisco,CA,94080,USA,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,"GSE74179, GSE74180",0,GSM1912809_08_2067Genen_DTP_H3K4me3_PE150_i92_uniqnorm_signal.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1912nnn/GSM1912809/suppl/GSM1912809_08_2067Genen_DTP_H3K4me3_PE150_i92_uniqnorm_signal.bw,DTP_H3K4me3_ChIPseq,35447112,BW,https://www.ncbi.nlm.nih.gov/biosample/SAMN04254254,https://www.ncbi.nlm.nih.gov/sra?term,PC9,H3K4me3 (Cell Signaling 9751),8 day 1 μM erlotinib,,hg19,Coverage files in bigWig format were generated by extending reads to 380 nt in silico and counting tags for 50-nt bins over the genome. Tab delimited text files report the genomic location along with the average number of tags for each H3K9me3-enriched regions (ChIPseq peaks).
