GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,tissue,origin,treatment,antibody,"For ChIP-seq, NEBNext Ultra DNA library prep kit for illumina (Cat #",BioSample,SRA,Genome_build,Supplementary_files_format_and_content
GSE89668,ATAC_D1_DMSO,GSM2386474,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE89668, GSE89669",0,GSM2386474_ATAC_D1_DMSO.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386474/suppl/GSM2386474_ATAC_D1_DMSO.bw,ATAC_D1_DMSO,71154179,BW,Natural Killer cell,Peripheral blood,DMSO,N/A," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006053,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,ATAC_D2_DMSO,GSM2386475,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE89668, GSE89669",0,GSM2386475_ATAC_D2_DMSO.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386475/suppl/GSM2386475_ATAC_D2_DMSO.bw,ATAC_D2_DMSO,72638050,BW,Natural Killer cell,Peripheral blood,DMSO,N/A," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006067,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,ATAC_D1_J4,GSM2386476,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE89668, GSE89669",0,GSM2386476_ATAC_D1_J4.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386476/suppl/GSM2386476_ATAC_D1_J4.bw,ATAC_D1_J4,60351926,BW,Natural Killer cell,Peripheral blood,GSK-J4,N/A," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006066,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,ATAC_D2_J4,GSM2386477,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE89668, GSE89669",0,GSM2386477_ATAC_D2_J4.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386477/suppl/GSM2386477_ATAC_D2_J4.bw,ATAC_D2_J4,114175222,BW,Natural Killer cell,Peripheral blood,GSK-J4,N/A," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006065,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,DMSO_K4_D1,GSM2386478,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE89668, GSE89669",0,GSM2386478_DMSO_K4_D1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386478/suppl/GSM2386478_DMSO_K4_D1.bw,DMSO_K4_D1,2209547765,BW,Natural Killer cell,Peripheral blood,DMSO,H3K4me3," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006064,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,DMSO_K4_D2,GSM2386479,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE89668, GSE89669",0,GSM2386479_DMSO_K4_D2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386479/suppl/GSM2386479_DMSO_K4_D2.bw,DMSO_K4_D2,1666489281,BW,Natural Killer cell,Peripheral blood,DMSO,H3K4me3," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006063,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,DMSO_K4_D3,GSM2386480,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE89668, GSE89669",0,GSM2386480_DMSO_K4_D3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386480/suppl/GSM2386480_DMSO_K4_D3.bw,DMSO_K4_D3,2743019315,BW,Natural Killer cell,Peripheral blood,DMSO,H3K4me3," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006062,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,J4_K4_D1,GSM2386481,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE89668, GSE89669",0,GSM2386481_J4_K4_D1.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386481/suppl/GSM2386481_J4_K4_D1.bw,J4_K4_D1,1648336453,BW,Natural Killer cell,Peripheral blood,GSK-J4,H3K4me3," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006061,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,J4_K4_D2,GSM2386482,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE89668, GSE89669",0,GSM2386482_J4_K4_D2.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386482/suppl/GSM2386482_J4_K4_D2.bw,J4_K4_D2,1681349854,BW,Natural Killer cell,Peripheral blood,GSK-J4,H3K4me3," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006060,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
GSE89668,J4_K4_D3,GSM2386483,Public on Feb 28 2018,Nov 08 2016,May 15 2019,SRA,1,Natural Killer cell,Homo sapiens,9606,genomic DNA,ChIP and ATAC libraries were prepared for sequencing using standard NEB protocols designed for Illumina sequencing.  Libraries were sequenced on the Illumina Nextseq following the manufacturer's protocols.,"Sequenced reads were trimmed for adaptor sequence, and masked for low-complexity or low-quality sequence, then mapped to hg19 whole genome using bowtie v 1.1.2, Peak calling was performed using MACS v1.4.2 or SICER v1.1",GPL18573,"Adam,,Cribbs",adam.cribbs@ndorms.ox.ac.uk,WIMM,University of Oxford,John Radcliffe Hospital,Oxford,OX3 9DS,United Kingdom,Illumina NextSeq 500,ChIP,genomic,ChIP-Seq,"GSE89668, GSE89669",0,GSM2386483_J4_K4_D3.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2386nnn/GSM2386483/suppl/GSM2386483_J4_K4_D3.bw,J4_K4_D3,3253170272,BW,Natural Killer cell,Peripheral blood,GSK-J4,H3K4me3," E7420L) was used to prepare libraries. For ATAC-seq, transposed DNA was amplified using PCR",https://www.ncbi.nlm.nih.gov/biosample/SAMN06006059,https://www.ncbi.nlm.nih.gov/sra?term,hg19,bigwig files were generated using bedGraphToBigWig
