GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_relation,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build
GSE94272,ATAC-seq in MSCs infected with EWSFLI1 (rep3),GSM2472037,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC3,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC3.EWSFLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281697,"GSE94272, GSE94278",0,GSM2472037_MSC3.EWSFLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472037/suppl/GSM2472037_MSC3.EWSFLI1.ATACseq.bw,ATAC-seq in MSCs infected with EWSFLI1 (rep3),472941289,BW,hg19
GSE94272,ATAC-seq in MSCs infected with SYGQ2-FLI1 (rep3),GSM2472038,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC3,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC3.SYGQ2.FLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281696,"GSE94272, GSE94278",0,GSM2472038_MSC3.SYGQ2.FLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472038/suppl/GSM2472038_MSC3.SYGQ2.FLI1.ATACseq.bw,ATAC-seq in MSCs infected with SYGQ2-FLI1 (rep3),487587543,BW,hg19
GSE94272,ATAC-seq in MSCs infected with control (rep3),GSM2472039,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC3,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC3.control.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281699,"GSE94272, GSE94278",0,GSM2472039_MSC3.control.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472039/suppl/GSM2472039_MSC3.control.ATACseq.bw,ATAC-seq in MSCs infected with control (rep3),465265476,BW,hg19
GSE94272,ATAC-seq in MSCs infected with BAF47FLI1 (rep4),GSM2472040,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC4,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC4.BAF47FLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281700,"GSE94272, GSE94278",0,GSM2472040_MSC4.BAF47FLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472040/suppl/GSM2472040_MSC4.BAF47FLI1.ATACseq.bw,ATAC-seq in MSCs infected with BAF47FLI1 (rep4),464463172,BW,hg19
GSE94272,ATAC-seq in MSCs infected with control (rep2),GSM2472041,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC2,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC2.control.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281701,"GSE94272, GSE94278",0,GSM2472041_MSC2.control.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472041/suppl/GSM2472041_MSC2.control.ATACseq.bw,ATAC-seq in MSCs infected with control (rep2),438429473,BW,hg19
GSE94272,ATAC-seq in MSCs infected with EWSFLI1 (rep2),GSM2472042,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC2,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC2.EWSFLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281689,"GSE94272, GSE94278",0,GSM2472042_MSC2.EWSFLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472042/suppl/GSM2472042_MSC2.EWSFLI1.ATACseq.bw,ATAC-seq in MSCs infected with EWSFLI1 (rep2),361637683,BW,hg19
GSE94272,ATAC-seq in MSCs infected with EWSFLI1 (rep4),GSM2472043,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC4,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC4.EWSFLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281698,"GSE94272, GSE94278",0,GSM2472043_MSC4.EWSFLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472043/suppl/GSM2472043_MSC4.EWSFLI1.ATACseq.bw,ATAC-seq in MSCs infected with EWSFLI1 (rep4),342159533,BW,hg19
GSE94272,ATAC-seq in MSCs infected with EWS(YS37)-FLI1 (rep2),GSM2472044,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC2,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC2.EWS.YS37.FLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281691,"GSE94272, GSE94278",0,GSM2472044_MSC2.EWS.YS37.FLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472044/suppl/GSM2472044_MSC2.EWS.YS37.FLI1.ATACseq.bw,ATAC-seq in MSCs infected with EWS(YS37)-FLI1 (rep2),444819365,BW,hg19
GSE94272,ATAC-seq in MSCs infected with control (rep4),GSM2472045,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC4,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC4.control.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281690,"GSE94272, GSE94278",0,GSM2472045_MSC4.control.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472045/suppl/GSM2472045_MSC4.control.ATACseq.bw,ATAC-seq in MSCs infected with control (rep4),470549391,BW,hg19
GSE94272,ATAC-seq in MSCs infected with BAF47FLI1 (rep1),GSM2472046,Public on Aug 24 2017,Jan 30 2017,Aug 25 2017,SRA,1,MSC1,Homo sapiens,9606,source type: primary tissue,genomic DNA,"5x10^4 cells for each condition were first incubated in hypotonic buffer then resuspended in lysis buffer, centrifugated and resuspended in Transposase reaction mix for additional 30 min at 37C, following manufacturer recommendations (Nextera DNA sample Prep Kit, Illumina)., DNA was purified and adaptor sequences were added to the fragmented DNA by PCR to construct Illumina sequencing libraries. Purified PCR products were sequenced using the Illumina Nextseq device.",MSC1.BAF47FLI1.ATACseq,Reads were aligned to hg19 using bwa. Reads that aligned in the proper orientation and on the same chromosome were then filtered to exclude PCR duplicates. Signal densities were calculated over a sliding 150 bp window at 20 bp steps and normalized to 10M reads in each experiment,GPL18573,"Sowmya,,Iyer",sowmya.iyer@mgh.harvard.edu,Pathology,Massachusetts General Hospital,149 13th St,Boston,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06281694,"GSE94272, GSE94278",0,GSM2472046_MSC1.BAF47FLI1.ATACseq.bw,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2472nnn/GSM2472046/suppl/GSM2472046_MSC1.BAF47FLI1.ATACseq.bw,ATAC-seq in MSCs infected with BAF47FLI1 (rep1),468231906,BW,hg19
