GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_characteristics_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_laboratory,Sample_contact_department,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Reads were mapped to hg19 reference with tophat (v2.0.13) with parameters,gene counts were generated with htseq (v0.6.1p1) using parameters,Genome_build,Supplementary_files_format_and_content,BioSample,SRA
GSE97003,10.05_rna,GSM2549701,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549701_htseq_10-05_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549701/suppl/GSM2549701_htseq_10-05_noStrand.counts.txt.gz,10.05_rna,219817,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641980,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,10RN_rna,GSM2549702,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549702_htseq_10RN_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549702/suppl/GSM2549702_htseq_10RN_noStrand.counts.txt.gz,10RN_rna,226604,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641979,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,32.1_rna,GSM2549703,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549703_htseq_32-1_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549703/suppl/GSM2549703_htseq_32-1_noStrand.counts.txt.gz,32.1_rna,219068,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641978,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,38.5_rna,GSM2549704,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549704_htseq_38-5_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549704/suppl/GSM2549704_htseq_38-5_noStrand.counts.txt.gz,38.5_rna,212478,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641977,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,A_2.1_rna,GSM2549705,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549705_htseq_A_2_-1_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549705/suppl/GSM2549705_htseq_A_2_-1_noStrand.counts.txt.gz,A_2.1_rna,225245,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641976,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,A6L_rna,GSM2549706,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549706_htseq_A6L_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549706/suppl/GSM2549706_htseq_A6L_noStrand.counts.txt.gz,A6L_rna,226753,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641982,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,ASPC1_rna,GSM2549707,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549707_htseq_ASPC1_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549707/suppl/GSM2549707_htseq_ASPC1_noStrand.counts.txt.gz,ASPC1_rna,223082,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641981,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,BXPC3_rna,GSM2549708,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cancer,Homo sapiens,9606,cell type: Pancreatic ductal adenocarcinoma,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549708_htseq_BXPC3_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549708/suppl/GSM2549708_htseq_BXPC3_noStrand.counts.txt.gz,BXPC3_rna,223739,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641974,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,HPDE_rna,GSM2549709,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cell Control,Homo sapiens,9606,cell type: Pancreatic Cell Control,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549709_htseq_HPDE_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549709/suppl/GSM2549709_htseq_HPDE_noStrand.counts.txt.gz,HPDE_rna,224628,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641973,https://www.ncbi.nlm.nih.gov/sra?term
GSE97003,HPNE_rna,GSM2549710,Public on Sep 14 2017,Mar 24 2017,May 15 2019,SRA,1,Pancreatic Cell Control,Homo sapiens,9606,cell type: Pancreatic Cell Control,Regular growth media as described in the publication,total RNA,"Qiagen RNA Easy, RNA libraries were prepared for sequencing using standard Illumina Truseq protocols",Basecalls from Illumina HiSeq 2500 Sequencing System,GPL16791,"Amit,,Verma",amit.verma@einstein.yu.edu,Chanin,Medicine,Albert Einstein College of Medicine,1300 Morris Park Ave,Bronx,NY,10461,USA,Illumina HiSeq 2500,cDNA,transcriptomic,RNA-Seq,"GSE97003, GSE97018",0,GSM2549710_htseq_HPNE_noStrand.counts.txt.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2549nnn/GSM2549710/suppl/GSM2549710_htseq_HPNE_noStrand.counts.txt.gz,HPNE_rna,228362,TXT,--no-coverage-search -p 3 -g 1,--strand,hg19,count files are tab delimited txt containing the number of reads mapped to each gene.,https://www.ncbi.nlm.nih.gov/biosample/SAMN06641994,https://www.ncbi.nlm.nih.gov/sra?term
