GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_treatment_protocol_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_description,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_state,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Genome_build,Supplementary_files_format_and_content,BioSample,SRA,drug tx,population,cell line,cell type
GSE97680,EGFR-p9-noDrug_ATAC-seq,GSM2575288,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575288_EGFR-p9-noDrug.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575288/suppl/GSM2575288_EGFR-p9-noDrug.bedGraph.gz,EGFR-p9-noDrug_ATAC-seq,40570228,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711444,https://www.ncbi.nlm.nih.gov/sra?term,no drug,EGFR-high,WM989,melanoma
GSE97680,EGFR-p9-week1_ATAC-seq,GSM2575289,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575289_EGFR-p9-week1.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575289/suppl/GSM2575289_EGFR-p9-week1.bedGraph.gz,EGFR-p9-week1_ATAC-seq,72744848,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711443,https://www.ncbi.nlm.nih.gov/sra?term,week 1,EGFR-high,WM989,melanoma
GSE97680,EGFR-p9-week4_ATAC-seq,GSM2575290,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575290_EGFR-p9-week4.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575290/suppl/GSM2575290_EGFR-p9-week4.bedGraph.gz,EGFR-p9-week4_ATAC-seq,77983507,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711442,https://www.ncbi.nlm.nih.gov/sra?term,week 4,EGFR-high,WM989,melanoma
GSE97680,EGFR-p14-noDrug-v2_ATAC-seq,GSM2575291,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575291_EGFR-p14-noDrug-v2.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575291/suppl/GSM2575291_EGFR-p14-noDrug-v2.bedGraph.gz,EGFR-p14-noDrug-v2_ATAC-seq,54967317,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711441,https://www.ncbi.nlm.nih.gov/sra?term,no drug,EGFR-high,WM989,melanoma
GSE97680,EGFR-p14-week1-v2_ATAC-seq,GSM2575292,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575292_EGFR-p14-week1-v2.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575292/suppl/GSM2575292_EGFR-p14-week1-v2.bedGraph.gz,EGFR-p14-week1-v2_ATAC-seq,30061003,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711440,https://www.ncbi.nlm.nih.gov/sra?term,week1,EGFR-high,WM989,melanoma
GSE97680,EGFR-p14-week4-v2_ATAC-seq,GSM2575293,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575293_EGFR-p14-week4-v2.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575293/suppl/GSM2575293_EGFR-p14-week4-v2.bedGraph.gz,EGFR-p14-week4-v2_ATAC-seq,78968926,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711439,https://www.ncbi.nlm.nih.gov/sra?term,week 4,EGFR-high,WM989,melanoma
GSE97680,EGFR-week5-v2_ATAC-seq,GSM2575294,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575294_EGFR-week5-v2.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575294/suppl/GSM2575294_EGFR-week5-v2.bedGraph.gz,EGFR-week5-v2_ATAC-seq,69813401,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711438,https://www.ncbi.nlm.nih.gov/sra?term,week 5,EGFR-high,WM989,melanoma
GSE97680,mix-p9-noDrug_ATAC-seq,GSM2575295,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575295_mix-p9-noDrug.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575295/suppl/GSM2575295_mix-p9-noDrug.bedGraph.gz,mix-p9-noDrug_ATAC-seq,55764629,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711437,https://www.ncbi.nlm.nih.gov/sra?term,no drug,mix,WM989,melanoma
GSE97680,mix-p9-week1_ATAC-seq,GSM2575296,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575296_mix-p9-week1.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575296/suppl/GSM2575296_mix-p9-week1.bedGraph.gz,mix-p9-week1_ATAC-seq,19795228,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711436,https://www.ncbi.nlm.nih.gov/sra?term,week 1,mix,WM989,melanoma
GSE97680,mix-p9-week4_ATAC-seq,GSM2575297,Public on Apr 13 2017,Apr 12 2017,May 15 2019,SRA,1,WM989 cell line,Homo sapiens,9606,We treated cells with 1uM vemurafenib.,"We grew melanoma cell lines (WM989 and WM983B) from the lab of Meenhard Herlyn in Tu2% media containing 78% MCDB, 20% Leibovitz’s L-15 media, 2% FBS, and 1.68mM CaCl2.",genomic DNA,"We performed ATAC sequencing on WM989-A6 melanoma cells according to Buenrostro et al. Briefly, we lysed the cells and set up the transposition reaction with the Tn5 Transposes (Illumina Catalog #FC121-1030) at 37℃ for 30 minutes. We cleaned the reaction with a Qiagen MinElute Kit and then amplified the libraries using custom Nextera PCR primers.",ATAC-sequencing,"We aligned our reads to hg19 with bowtie2, HOMER package for peak calling, differential peak calling, motif analysis, and gene ontology analysis",GPL18573,"Sydney,M,Shaffer",sydshaffer@gmail.com,University of Pennsylvania,"210 S. 33rd Street, Skirkanich Room 410",PHILADELPHIA,PA,19104,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE97680, GSE97682",0,GSM2575297_mix-p9-week4.bedGraph.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2575nnn/GSM2575297/suppl/GSM2575297_mix-p9-week4.bedGraph.gz,mix-p9-week4_ATAC-seq,59645354,BEDGRAPH,hg19,bedGraph format,https://www.ncbi.nlm.nih.gov/biosample/SAMN06711435,https://www.ncbi.nlm.nih.gov/sra?term,week 4,mix,WM989,melanoma
