GSE,Sample_title,Sample_geo_accession,Sample_status,Sample_submission_date,Sample_last_update_date,Sample_type,Sample_channel_count,Sample_source_name_ch1,Sample_organism_ch1,Sample_taxid_ch1,Sample_growth_protocol_ch1,Sample_molecule_ch1,Sample_extract_protocol_ch1,Sample_data_processing,Sample_platform_id,Sample_contact_name,Sample_contact_email,Sample_contact_institute,Sample_contact_address,Sample_contact_city,Sample_contact_zip/postal_code,Sample_contact_country,Sample_instrument_model,Sample_library_selection,Sample_library_source,Sample_library_strategy,Sample_series_id,Sample_data_row_count,file,file_url,sample_name,file_size,type,Sample_treatment_protocol_ch1,BioSample,SRA,strain,cell type,Genome_build,Supplementary_files_format_and_content,biological replicate,antibody,peturbation
GSE99311,N5 ATAC-Seq,GSM2640269,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,N5 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640269_N5_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640269/suppl/GSM2640269_N5_ATAC.bigWig,N5 ATAC-Seq,365715446,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163680,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse normal pancreatic organoid (N5),hg19,bigWig,,,
GSE99311,N6 ATAC-Seq,GSM2640270,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,N6 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640270_N6_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640270/suppl/GSM2640270_N6_ATAC.bigWig,N6 ATAC-Seq,337287988,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163679,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse normal pancreatic organoid (N6),hg19,bigWig,,,
GSE99311,P2 ATAC-Seq,GSM2640271,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,P2 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640271_P2_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640271/suppl/GSM2640271_P2_ATAC.bigWig,P2 ATAC-Seq,393069932,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163694,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PanIN organoid (P2),hg19,bigWig,,,
GSE99311,P3 ATAC-Seq,GSM2640272,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,P3 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640272_P3_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640272/suppl/GSM2640272_P3_ATAC.bigWig,P3 ATAC-Seq,426904304,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163693,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PanIN organoid (P3),hg19,bigWig,,,
GSE99311,T3 ATAC-Seq,GSM2640273,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,T3 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640273_T3_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640273/suppl/GSM2640273_T3_ATAC.bigWig,T3 ATAC-Seq,137387817,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163692,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PDA primary tumor organoid (T3),hg19,bigWig,,,
GSE99311,T6 ATAC-Seq,GSM2640274,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,T6 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640274_T6_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640274/suppl/GSM2640274_T6_ATAC.bigWig,T6 ATAC-Seq,172125953,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163691,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PDA primary tumor organoid (T6),hg19,bigWig,,,
GSE99311,T23 ATAC-Seq,GSM2640275,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,T23 organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640275_T23_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640275/suppl/GSM2640275_T23_ATAC.bigWig,T23 ATAC-Seq,177732201,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163690,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PDA primary tumor organoid (T23),hg19,bigWig,,,
GSE99311,M1L ATAC-Seq,GSM2640276,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,M1L organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640276_M1L_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640276/suppl/GSM2640276_M1L_ATAC.bigWig,M1L ATAC-Seq,350943349,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163689,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PDA liver metastasis (M1L),hg19,bigWig,,,
GSE99311,M3P ATAC-Seq,GSM2640277,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,M3P organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640277_M3P_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640277/suppl/GSM2640277_M3P_ATAC.bigWig,M3P ATAC-Seq,246542202,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163688,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PDA peritoneum metastasis (M3P),hg19,bigWig,,,
GSE99311,M10P ATAC-Seq,GSM2640278,Public on Jul 31 2017,May 24 2017,May 15 2019,SRA,1,M10P organoid,Mus musculus,10090,Mouse/human PDA organoids or cell lines were cultured in conditions as described in this study.,genomic DNA,"Nuclear extract were prepared from 50,000 single cell dissociated of organoid cultures, incubated with Tn5 transposase, and purified with Qiagen MinElute kit for library construction., Sequencing libraries were constructed using a modified version of the Illumina Nextera DNA Sample prep kit, as originally described in Buenrostro et al. (2013).","Raw reads were mapped to the reference mouse (mm9) genome assembly using Bowtie allowing two-mismatches for only unique alignment; -v 2 -m 1 -best --strata. To avoid clonal artifacts introduced in the library amplification steps, duplicated mapped reads were further discarded using SAMtools (http://samtools.sourceforge.net)., HOMER suite (http://homer.salk.edu/homer/) was used for overall analysis. Details were described in the experimental procedues of this study.",GPL19057,"Jae Seok,,Roe",jroe@yonsei.ac.kr,Yonsei University,"Yonsei-ro, 50",Seoul,03722,South Korea,Illumina NextSeq 500,other,genomic,ATAC-seq,"GSE99275, GSE99311",0,GSM2640278_M10P_ATAC.bigWig,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2640nnn/GSM2640278/suppl/GSM2640278_M10P_ATAC.bigWig,M10P ATAC-Seq,289254819,BIGWIG,,https://www.ncbi.nlm.nih.gov/biosample/SAMN07163687,https://www.ncbi.nlm.nih.gov/sra?term,C57BL/6,Mouse PDA peritoneum metastasis (M10P),hg19,bigWig,,,
